Id,Lambda,Phase,Bit,Base Size,Base Mean,Base Std,Size,Mean,Std,Pvalue,Mean Diff
42,5,0,8,1000,16854,320122,1000,6292,3363,0.297064632060288,-10562
43,5,0,9,1000,16854,320122,1000,6297,3647,0.297297925794392,-10557
36,5,0,1,1000,16854,320122,990,6388,3506,0.301477268715732,-10466
41,5,0,7,1000,16854,320122,957,6451,4042,0.304405931389463,-10403
37,5,0,3,1000,16854,320122,931,6476,3977,0.305568723718143,-10378
38,5,0,4,1000,16854,320122,963,6512,4320,0.307254257843956,-10342
40,5,0,6,1000,16854,320122,997,6642,4532,0.313374368705175,-10212
39,5,0,5,1000,16854,320122,969,6705,4654,0.316371662211773,-10149
46,6,0,4,994,7065,15220,1000,6472,3601,0.232134489347516,-593
50,6,0,8,994,7065,15220,973,6545,3727,0.295981892544742,-520
49,6,0,7,994,7065,15220,1000,6579,3844,0.329157608427444,-486
62,8,0,4,993,6760,5474,980,6296,3585,0.02588989211144,-464
45,6,0,3,994,7065,15220,965,6622,4410,0.378847951610839,-443
47,6,0,5,994,7065,15220,918,6630,4493,0.389230757268652,-435
61,8,0,2,993,6760,5474,1000,6337,4113,0.051438563989095,-423
48,6,0,6,994,7065,15220,994,6661,4117,0.419368169776068,-404
82,10,0,8,1000,6540,4490,1000,6144,3519,0.028302111888001,-396
80,10,0,6,1000,6540,4490,997,6168,3440,0.037812390087238,-372
59,8,0,0,993,6760,5474,1000,6395,4024,0.090252995726317,-365
52,7,0,3,1000,6519,4300,895,6216,3179,0.079342525189961,-303
83,10,0,9,1000,6540,4490,1000,6298,3267,0.168394880730911,-242
64,8,0,6,993,6760,5474,973,6521,4797,0.303114182936616,-239
78,10,0,4,1000,6540,4490,963,6322,3708,0.240299606335448,-218
16,2,0,7,972,6343,4218,991,6128,3381,0.213448714436887,-215
74,9,0,8,986,6605,4287,974,6398,3797,0.257828920787649,-207
72,9,0,6,986,6605,4287,1000,6452,3443,0.381093892244905,-153
7,1,0,7,1000,6323,3578,990,6172,3022,0.309139219740815,-151
67,8,0,9,993,6760,5474,1000,6610,4563,0.506640069217321,-150
44,6,0,0,994,7065,15220,1000,6928,13614,0.832289906047388,-137
65,8,0,7,993,6760,5474,1000,6633,4372,0.567404059964894,-127
60,8,0,1,993,6760,5474,994,6637,4796,0.594332556144799,-123
26,3,0,9,1000,6333,3993,997,6216,3924,0.509150603357364,-117
12,2,0,3,972,6343,4218,979,6287,3741,0.756481229005456,-56
53,7,0,4,1000,6519,4300,985,6480,4140,0.836933947235954,-39
58,7,0,9,1000,6519,4300,988,6493,4317,0.893011239049278,-26
23,3,0,6,1000,6333,3993,976,6311,3997,0.90261736726552,-22
29,4,0,3,959,6087,3102,1000,6077,3182,0.943860888103795,-10
79,10,0,5,1000,6540,4490,969,6533,4849,0.973513091471308,-7
76,10,0,0,1000,6540,4490,990,6534,5315,0.978313843499449,-6
75,9,0,9,986,6605,4287,1000,6602,4357,0.987661869960365,-3
66,8,0,8,993,6760,5474,983,6770,5147,0.966632867303795,10
9,1,0,9,1000,6323,3578,965,6339,3359,0.918592866136723,16
3,1,0,3,1000,6323,3578,954,6357,3451,0.830727570612998,34
73,9,0,7,986,6605,4287,985,6656,4494,0.796629444898782,51
68,9,0,1,986,6605,4287,990,6685,4666,0.691511219951584,80
70,9,0,4,986,6605,4287,977,6694,4553,0.655802367465841,89
24,3,0,7,1000,6333,3993,982,6425,4052,0.610829849222435,92
34,4,0,8,959,6087,3102,940,6190,3448,0.49418736071805,103
4,1,0,4,1000,6323,3578,952,6430,4052,0.53721255805246,107
69,9,0,2,986,6605,4287,1000,6725,5009,0.566180904485539,120
81,10,0,7,1000,6540,4490,957,6662,11933,0.766683549279379,122
56,7,0,7,1000,6519,4300,945,6646,4664,0.533184788273666,127
20,3,0,3,1000,6333,3993,1000,6462,5011,0.524483733647426,129
22,3,0,5,1000,6333,3993,976,6492,4650,0.415432274819342,159
57,7,0,8,1000,6519,4300,987,6693,4936,0.402537791966715,174
27,4,0,0,959,6087,3102,966,6265,3448,0.233911068726026,178
25,3,0,8,1000,6333,3993,938,6512,8067,0.540146253389354,179
63,8,0,5,993,6760,5474,956,6950,12672,0.669574643376986,190
11,2,0,2,972,6343,4218,977,6543,4458,0.309159437533589,200
21,3,0,4,1000,6333,3993,908,6535,4349,0.292373972989515,202
33,4,0,7,959,6087,3102,989,6308,3730,0.154796382566104,221
6,1,0,6,1000,6323,3578,1000,6549,4223,0.196833208041515,226
77,10,0,2,1000,6540,4490,931,6778,12586,0.585477603310007,238
71,9,0,5,986,6605,4287,999,6859,5010,0.224882038554423,254
5,1,0,5,1000,6323,3578,992,6588,4464,0.14418333056961,265
14,2,0,5,972,6343,4218,946,6609,5178,0.218272279699552,266
28,4,0,1,959,6087,3102,974,6384,5508,0.143579457640984,297
13,2,0,4,972,6343,4218,1000,6653,5229,0.14698139646005,310
54,7,0,5,1000,6519,4300,1000,6849,5081,0.117126446296254,330
18,2,0,9,972,6343,4218,974,6694,12508,0.406835676294221,351
30,4,0,4,959,6087,3102,1000,6455,5133,0.053890011798467,368
31,4,0,5,959,6087,3102,908,6483,5161,0.046170835124843,396
1,1,0,1,1000,6323,3578,975,6870,5500,0.009070066872572,547
32,4,0,6,959,6087,3102,988,7885,45321,0.213793680764655,1798
8,1,0,8,1000,6323,3578,916,8788,65294,0.254160966341509,2465
51,6,0,9,994,7065,15220,1000,16948,322013,0.332552982179668,9883
17,2,0,8,972,6343,4218,1000,16263,319165,0.325953179970082,9920
15,2,0,6,972,6343,4218,1000,16683,317590,0.303507396197641,10340
10,2,0,0,972,6343,4218,984,16818,321129,0.306494499488936,10475
2,1,0,2,1000,6323,3578,965,16864,325337,0.314458051638497,10541
55,7,0,6,1000,6519,4300,916,17688,333287,0.310771284169002,11169
35,4,0,9,959,6087,3102,943,23418,519685,0.30606296731488,17331
19,3,0,2,1000,6333,3993,914,28626,471772,0.153475926328599,22293
