Start Time,UP Time,Boot Time,Frequency,Interface,IP Address,MAC Address,Exec Time
1575607839066,0.68,2019-12-06 04:50:37,2000.169,eth0,192.168.1.1,2b:4b:80:de:1f:04,51.45158290863037
1575607838640,0.71,2019-12-06 04:50:37,2000.158,lo,127.0.0.1,fd:6d:9d:47:54:76,52.26139163970947
1575607848352,0.71,2019-12-06 04:50:47,2000.138,eth2,169.254.8.1,dd:19:b5:08:7b:20,47.241933822631836
1575607848979,0.63,2019-12-06 04:50:47,2000.138,eth2,169.254.8.1,bd:17:7f:4c:b5:35,50.11325192451477
1575607848658,0.71,2019-12-06 04:50:47,2000.138,eth2,169.254.8.1,03:27:9b:4f:08:0e,50.80312991142273
1575607857628,19.86,2019-12-06 04:50:37,2000.118,eth2,169.254.8.1,77:0f:8d:ca:7f:5c,43.192466497421265
1575607877589,50.85,2019-12-06 04:50:26,2000.174,eth2,169.254.8.1,c3:7c:b5:a9:30:00,24.923011541366577
1575607884647,47.13,2019-12-06 04:50:37,2000.174,lo,127.0.0.1,39:5b:76:42:e1:06,18.47407841682434
1575607886554,48.36,2019-12-06 04:50:37,2000.188,eth2,169.254.8.1,d3:67:d2:79:7a:17,17.130309343338013
1575607859391,0.70,2019-12-06 04:50:58,2000.118,eth0,192.168.1.1,97:7d:36:56:38:e9,44.75814247131348
1575607887441,50.17,2019-12-06 04:50:37,2000.164,eth2,169.254.8.1,bd:e7:df:7e:7f:58,16.790507555007935
1575607886372,48.73,2019-12-06 04:50:37,2000.169,eth0,192.168.1.1,4b:5c:77:77:f9:9b,18.395140647888184
1575607859475,0.74,2019-12-06 04:50:58,2000.118,eth2,169.254.8.1,9b:5d:40:c8:c2:19,46.30588960647583
1575607887664,49.67,2019-12-06 04:50:37,2000.16,eth2,169.254.8.1,c9:3b:15:62:a6:7c,19.800374507904053
1575607889044,1729.85,2019-12-06 04:22:39,2000.174,lo,127.0.0.1,d9:c8:61:fc:d1:c3,23.48714780807495
1575607898640,61.60,2019-12-06 04:50:37,2000.151,eth2,169.254.8.1,4f:82:4d:ff:75:ed,15.691752910614014
1575607899222,0.74,2019-12-06 04:51:38,2000.168,eth2,169.254.8.1,7b:a2:83:77:0e:a6,15.99735951423645
1575607899516,0.87,2019-12-06 04:51:38,2000.178,lo,127.0.0.1,a7:cc:47:67:d3:d8,16.074626684188843
1575607899744,0.79,2019-12-06 04:51:38,2000.174,eth2,169.254.8.1,31:97:74:69:50:3f,15.913733959197998
1575607887708,50.25,2019-12-06 04:50:37,2000.179,eth2,169.254.8.1,af:95:c0:a9:6d:00,32.306158781051636
1575607887726,49.72,2019-12-06 04:50:37,2000.179,lo,127.0.0.1,0f:35:9e:b7:8f:32,32.40714979171753
