GUID,CPU CPI,MAC Address,Success,Id,Boot ID,End Time,Request ID,Start Time,Protocol Time,Phases,Phase 1,Phase 2,Phase 3,Logs,Base Sample,Predecessors,Bit-1 Sample,IP Address,Bit-0 Sample,Bit-1 Pvalue,Error,Bit-0 Pvalue,Warm Start,Tag
10-16-02-52-2,7.859462,EA:B5:18:04:B5:B9,1,2,fb3fba0c-7b21-48ce-bfaf-654ae4c99789,2020-10-16 09:53:15,4df74d7c-8a64-4d16-a513-02e60b1918c9,2020-10-16 09:52:35,11,3,2,2,2,out/10-16-02-52/log,out/10-16-02-52/base_samples2,,out/10-16-02-52/bit1_samples2,169.254.76.1,out/10-16-02-52/bit0_samples2,0,,0.212133642955439,No,membus1536
10-16-02-52-4,7.781959,06:DB:11:D3:24:A6,1,4,ac77adef-4cbf-4b92-84c3-1d670ee27777,2020-10-16 09:53:15,8cc03e8c-8301-4291-a343-6a46c3fe2bcd,2020-10-16 09:52:35,11,3,4,4,4,out/10-16-02-52/log,out/10-16-02-52/base_samples4,,out/10-16-02-52/bit1_samples4,169.254.76.1,out/10-16-02-52/bit0_samples4,0,,0.726001175119767,No,membus1536
10-16-02-52-10,6.814226,C6:9F:91:0A:5D:F4,1,10,ddca3165-c418-459d-b953-4f6a227693f4,2020-10-16 09:53:15,9cedbd91-981e-48c4-b48e-d0134016db8d,2020-10-16 09:52:35,,3,10,10,10,out/10-16-02-52/log,out/10-16-02-52/base_samples10,,out/10-16-02-52/bit1_samples10,169.254.76.1,out/10-16-02-52/bit0_samples10,0,,0.152293606644097,No,membus3008
10-16-02-52-3,6.802577,4A:2B:A0:B2:C2:6D,1,3,7d3bc4e5-77b5-4cff-a7fa-f989a3de6c92,2020-10-16 09:53:15,704d32a8-c005-4b1b-aa21-2cf8ab249aa8,2020-10-16 09:52:35,,3,3,3,3,out/10-16-02-52/log,out/10-16-02-52/base_samples3,,out/10-16-02-52/bit1_samples3,169.254.76.1,out/10-16-02-52/bit0_samples3,0,,0.259396262534845,No,membus3008
10-16-02-52-8,7.688736,F6:86:F2:F2:08:B8,1,8,b1da15a6-9e62-4c87-a61f-fe773757632f,2020-10-16 09:53:15,5ce57f78-cf9d-4024-aeaa-aa84c64c2fb8,2020-10-16 09:52:35,11,3,8,8,8,out/10-16-02-52/log,out/10-16-02-52/base_samples8,,out/10-16-02-52/bit1_samples8,169.254.76.1,out/10-16-02-52/bit0_samples8,0,,0.138797681809116,No,membus1536
10-16-02-52-6,7.696271,66:03:89:B4:48:3F,1,6,db643cf5-1889-4caf-b708-53cf995beb45,2020-10-16 09:53:15,a207dce3-0f53-44dc-8700-215c6e8ec62b,2020-10-16 09:52:35,11,3,6,6,6,out/10-16-02-52/log,out/10-16-02-52/base_samples6,,out/10-16-02-52/bit1_samples6,169.254.76.1,out/10-16-02-52/bit0_samples6,0,,0.318226014217883,No,membus1536
10-16-02-52-1,6.651746,5A:DC:0A:D7:33:55,1,1,58c36671-595a-4998-b45d-fde97a271c4b,2020-10-16 09:53:15,e9787f3b-ce50-4a7f-b48a-c6432e19d34d,2020-10-16 09:52:35,,3,6,6,6,out/10-16-02-52/log,out/10-16-02-52/base_samples1,,out/10-16-02-52/bit1_samples1,169.254.76.1,out/10-16-02-52/bit0_samples1,5.78379106992118,,0.109860865471222,No,membus3008
10-16-02-52-5,6.838479,B2:15:F6:D0:07:05,1,5,adc8963b-8041-48ae-a384-35cf75508156,2020-10-16 09:53:15,a429dd6f-ffc8-4dda-af3a-2051dba8e368,2020-10-16 09:52:35,,3,5,5,5,out/10-16-02-52/log,out/10-16-02-52/base_samples5,,out/10-16-02-52/bit1_samples5,169.254.76.1,out/10-16-02-52/bit0_samples5,0,,0.868877928238954,No,membus3008
10-16-02-52-9,6.812023,C2:D0:33:D0:8F:2A,1,9,dff2827f-92df-48e7-a56d-c25aecbf2662,2020-10-16 09:53:15,abec2d33-e2aa-49d7-a299-e69e21958160,2020-10-16 09:52:35,,3,9,9,9,out/10-16-02-52/log,out/10-16-02-52/base_samples9,,out/10-16-02-52/bit1_samples9,169.254.76.1,out/10-16-02-52/bit0_samples9,0,,0.326527518441098,No,membus3008
10-16-02-52-7,7.759548,9E:04:D7:A0:AE:5E,1,7,dcfc675e-ea82-46da-856b-06fa67be663a,2020-10-16 09:53:15,e19f37b8-cce0-474b-a9e0-a6f339d68bb5,2020-10-16 09:52:35,11,3,7,7,7,out/10-16-02-52/log,out/10-16-02-52/base_samples7,,out/10-16-02-52/bit1_samples7,169.254.76.1,out/10-16-02-52/bit0_samples7,0,,0.661520534412904,No,membus1536
