Id,Lambda,Phase,Bit,Base Size,Base Mean,Base Std,Size,Mean,Std,KSvalue,Mean Diff
266,0,0,0,944,102401,2937435,1000,6265,3772,0.146746316868243,-96136
273,0,0,8,944,102401,2937435,1000,6749,4857,1.105020657942722,-95652
269,0,0,3,944,102401,2937435,948,6865,5407,0.612315229692941,-95536
271,0,0,6,944,102401,2937435,961,6872,5105,1.587656102261042,-95529
274,0,0,9,944,102401,2937435,962,6886,5595,0.414365516288766,-95515
272,0,0,7,944,102401,2937435,948,6924,5493,0.628591353114019,-95477
407,0,0,9,981,98043,2876139,915,6276,4265,0.199739224104605,-91767
403,0,0,3,981,98043,2876139,934,6321,4350,0.234361410652573,-91722
404,0,0,6,981,98043,2876139,1000,6435,4419,0.436671087319671,-91608
260,0,0,3,990,99896,2869723,979,8415,9969,0.44099394430918,-91481
261,0,0,4,990,99896,2869723,981,8428,10419,0.440249514769566,-91468
405,0,0,7,981,98043,2876139,991,6624,5167,0.276782994335175,-91419
401,0,0,0,981,98043,2876139,1000,6659,5406,0.276522482052283,-91384
402,0,0,1,981,98043,2876139,980,6788,5852,0.333506081996716,-91255
406,0,0,8,981,98043,2876139,999,6816,5508,0.381014394316661,-91227
258,0,0,1,990,99896,2869723,944,8697,20573,1.082475425808339,-91199
259,0,0,2,990,99896,2869723,943,8738,16527,1.222396710932197,-91158
262,0,0,6,990,99896,2869723,968,8756,18929,0.397529546719536,-91140
504,0,0,8,989,97561,2865805,1000,6777,9127,0.559619303384813,-90784
21,0,0,4,1000,97012,2857431,938,6353,4371,0.343932979722982,-90659
505,0,0,9,989,97561,2865805,949,7005,6184,0.206986396130985,-90556
25,0,0,8,1000,97012,2857431,976,6573,5110,0.484102253699045,-90439
23,0,0,6,1000,97012,2857431,948,6618,6024,0.670335693632776,-90394
19,0,0,2,1000,97012,2857431,890,6628,5157,0.214315819840731,-90384
551,0,0,4,1000,96751,2849113,953,6404,4920,0.601717561468597,-90347
24,0,0,7,1000,97012,2857431,891,6688,5367,0.09435660039666,-90324
503,0,0,7,989,97561,2865805,1000,7283,13277,0.404490467516696,-90278
263,0,0,7,990,99896,2869723,964,9629,20162,0.422982945271564,-90267
554,0,0,8,1000,96751,2849113,971,6523,4873,0.20338085362348,-90228
555,0,0,9,1000,96751,2849113,965,6525,4823,0.105810561602944,-90226
499,0,0,2,989,97561,2865805,980,7383,8901,0.558839654626321,-90178
552,0,0,5,1000,96751,2849113,1000,6657,6002,0.434501549047872,-90094
549,0,0,1,1000,96751,2849113,959,6678,5337,0.3168204115415,-90073
550,0,0,2,1000,96751,2849113,911,6707,5905,0.330925391746364,-90044
553,0,0,7,1000,96751,2849113,962,6779,6001,0.417965725310413,-89972
20,0,0,3,1000,97012,2857431,984,7219,6560,0.172650833755618,-89793
501,0,0,4,989,97561,2865805,938,7785,12814,0.5742771382039,-89776
500,0,0,3,989,97561,2865805,961,7825,18346,0.412266971562951,-89736
22,0,0,5,1000,97012,2857431,931,7902,15896,0.586501273408753,-89110
267,0,0,1,944,102401,2937435,992,13619,8491,4.180890550050094,-88782
502,0,0,5,989,97561,2865805,955,8944,14966,0.847261659225591,-88617
270,0,0,4,944,102401,2937435,977,13906,10252,4.243920928578529,-88495
268,0,0,2,944,102401,2937435,910,15388,11750,4.862175074607997,-87013
264,0,0,8,990,99896,2869723,937,51775,1313513,0.261715615842017,-48121
26,0,0,9,1000,97012,2857431,888,51810,1345229,0.273603220975306,-45202
610,0,0,3,970,48885,1288525,980,6265,4241,0.427245831171842,-42620
613,0,0,8,970,48885,1288525,931,6370,4671,0.465419656563335,-42515
609,0,0,2,970,48885,1288525,889,6420,9147,0.468360650774785,-42465
614,0,0,9,970,48885,1288525,1000,6436,4603,0.47022826459942,-42449
608,0,0,0,970,48885,1288525,964,6596,5457,0.730204799153612,-42289
222,0,0,5,975,48572,1285980,934,6394,4613,0.698316972522395,-42178
612,0,0,7,970,48885,1288525,955,6748,6521,0.478070307163107,-42137
225,0,0,8,975,48572,1285980,983,6524,5044,0.806954241415072,-42048
223,0,0,6,975,48572,1285980,881,6810,5568,0.277818704165779,-41762
