Logs,GUID,Predecessors,Boot ID,MAC Address,Phase 1,Phases,Start Time,End Time,Id,Request ID,Success,Error,Base Sample,Bit-1 Sample,Bit-0 Sample,Warm Start
out/09-21-23-17/log,09-21-23-17-34,,e22aa2e9-b0bd-4a57-a81b-b43e7b2e2315,9E:7D:DB:C7:89:A2,54,1,2020-09-22 06:17:42,2020-09-22 06:18:21,34,4206e220-e047-4236-ac2d-fd7930b8172a,1,,-,-,-,No
out/09-21-23-17/log,09-21-23-17-98,,92cea6df-754a-4492-9619-7c3ad1363a30,36:9B:A3:98:3F:8A,99,1,2020-09-22 06:17:42,2020-09-22 06:18:22,98,ff715d9d-273a-43ce-b421-35a4a4a63ad9,1,,-,-,-,No
out/09-21-23-17/log,09-21-23-17-73,,c4853eba-a41b-4dde-8b90-cea43ccd7b8e,1E:BC:00:F4:F2:21,73,1,2020-09-22 06:17:42,2020-09-22 06:18:21,73,fb4c0056-3b77-4685-ad08-9c6dde5cd13a,1,,-,-,-,No
out/09-21-23-17/log,09-21-23-17-28,,78c6c946-c97b-4679-85bd-9b5c76304524,1E:20:0E:B0:61:A5,28,1,2020-09-22 06:17:42,2020-09-22 06:18:21,28,2189edf7-3dca-4f5e-b79e-430f646ee7fa,1,,-,-,-,No
out/09-21-23-17/log,09-21-23-17-79,,ef24bf11-fd4c-4e16-9c96-8ad9af75ed9f,2A:BF:45:2E:87:9D,79,1,2020-09-22 06:17:42,2020-09-22 06:18:21,79,7a3a38c0-c59c-4302-8edc-0ac83ee06609,1,,-,-,-,No
out/09-21-23-17/log,09-21-23-17-85,,79e9f506-54d8-406c-9255-d6c87267f9f0,EE:8D:0B:81:EB:D4,85,1,2020-09-22 06:17:42,2020-09-22 06:18:21,85,c0f8de76-75eb-4d21-8eaf-f15a578d3ba8,1,,-,-,-,No
out/09-21-23-17/log,09-21-23-17-47,,39016fbe-cf49-46ca-accc-ed260b271605,1A:3D:4F:93:CE:1F,47,1,2020-09-22 06:17:42,2020-09-22 06:18:21,47,284c83d8-926d-45c4-8c73-6c41ee8444c4,1,,-,-,-,No
out/09-21-23-17/log,09-21-23-17-62,,ebd5d75f-7b98-4914-a146-e8fbe805bdcd,4E:23:23:72:CF:7C,62,1,2020-09-22 06:17:42,2020-09-22 06:18:22,62,b3aac2ff-56ae-4e8d-a1e0-4caa4afde56e,1,,-,-,-,No
out/09-21-23-17/log,09-21-23-17-16,,f68b7303-2881-4f9d-9d3e-9c07ee1aaaa3,CA:AD:A6:87:56:82,16,1,2020-09-22 06:17:42,2020-09-22 06:18:21,16,315a49e0-b612-44a9-ab00-3f23fe6ed721,1,,-,-,-,No
out/09-21-23-17/log,09-21-23-17-12,,172f8730-3689-4f27-bc6d-197e35142bea,56:DA:6A:1D:00:A4,12,1,2020-09-22 06:17:42,2020-09-22 06:18:22,12,27f8d88c-8fb8-4fdc-be63-9e348def4e21,1,,-,-,-,No
out/09-21-23-17/log,09-21-23-17-8,,c0989c52-df67-4168-979e-7ea21e8ddc76,8A:7D:4B:AD:0C:C7,8,1,2020-09-22 06:17:42,2020-09-22 06:18:21,8,ab0a8eb5-c6e1-41b2-bd88-3ce7c631523d,1,,-,-,-,No
out/09-21-23-17/log,09-21-23-17-61,,bc3e723d-6849-45ef-bd81-1a43f9828604,26:93:34:8F:EA:80,63,1,2020-09-22 06:17:42,2020-09-22 06:18:21,61,59ec854c-02e1-4f71-8371-139e029da15c,1,,-,-,-,No
out/09-21-23-17/log,09-21-23-17-38,,16a575a4-ed61-4625-be29-9e934e2c42a6,76:9F:8E:DE:B3:39,38,1,2020-09-22 06:17:42,2020-09-22 06:18:22,38,26e7f15b-8a38-47c5-82ba-6b7c08c8139a,1,,-,-,-,No
out/09-21-23-17/log,09-21-23-17-74,,9694fc8c-f514-4f3a-9278-31ac26b85bd8,A2:D2:86:CE:7A:F7,74,1,2020-09-22 06:17:42,2020-09-22 06:18:21,74,cca42fb8-8aeb-4d0d-964b-02587f601e8c,1,,-,-,-,No
out/09-21-23-17/log,09-21-23-17-100,,27ee8430-c5eb-4de8-87cc-23749cd7b09a,FA:55:9E:33:4C:7B,101,1,2020-09-22 06:17:42,2020-09-22 06:18:21,100,8dc960b1-9dec-48cd-8b53-1031fd82aff5,1,,-,-,-,No
out/09-21-23-17/log,09-21-23-17-29,,58d9603e-f301-4282-8194-ab5039bae1c4,02:54:CF:55:87:8B,89,1,2020-09-22 06:17:42,2020-09-22 06:18:21,29,ca20a07e-ccf9-463b-9198-34abc1335b4a,1,,-,-,-,No
out/09-21-23-17/log,09-21-23-17-70,,78ab6b43-5d5e-4ed3-bf5e-2a6cc896cb89,B6:5B:51:4D:B0:0F,96,1,2020-09-22 06:17:42,2020-09-22 06:18:21,70,5d719ffc-440e-48c5-8d3b-9478bf5e9069,1,,-,-,-,No
out/09-21-23-17/log,09-21-23-17-81,,7bf7f904-d6bc-46af-9e5c-68372a1c508a,3A:0D:E4:37:ED:48,81,1,2020-09-22 06:17:42,2020-09-22 06:18:21,81,3b3bfa43-1785-42dc-a35c-8a74fea92d59,1,,-,-,-,No
out/09-21-23-17/log,09-21-23-17-41,,62c260d1-7760-4f63-88b0-b3e63f6fc518,0A:43:D2:FA:EC:F1,41,1,2020-09-22 06:17:42,2020-09-22 06:18:22,41,e126138b-ebce-4833-9123-0455fbfd634c,1,,-,-,-,No
out/09-21-23-17/log,09-21-23-17-51,,a1f968a7-388e-424c-a50f-5a27d431b756,D6:BB:8A:5B:18:ED,74,1,2020-09-22 06:17:42,2020-09-22 06:18:21,51,da088b02-4eec-4616-83f0-a476cddf7a52,1,,-,-,-,No
out/09-21-23-17/log,09-21-23-17-20,,0aec73b0-9d0b-440a-9ed2-af0050089a13,D6:9A:19:96:31:49,20,1,2020-09-22 06:17:42,2020-09-22 06:18:21,20,adae8832-9aaa-429c-b431-432e34ad0306,1,,-,-,-,No
out/09-21-23-17/log,09-21-23-17-56,,7a357221-672d-4db4-b608-d270eca0e54d,A2:5A:CD:CC:81:CE,56,1,2020-09-22 06:17:42,2020-09-22 06:18:21,56,af2b2d07-6927-4c0b-95ad-2e3fa0bb289e,1,,-,-,-,No
out/09-21-23-17/log,09-21-23-17-15,,c2c08fb0-2b06-4ea6-aa65-cecc8b931d60,1E:DA:CB:B4:41:B4,20,1,2020-09-22 06:17:42,2020-09-22 06:18:22,15,f998724f-c03e-40fa-a8ee-0e7b10402bb5,1,,-,-,-,No
out/09-21-23-17/log,09-21-23-17-75,,c0a32b62-0ce4-4fb1-a387-57bb8f3452f5,3A:D9:A7:10:17:0B,75,1,2020-09-22 06:17:42,2020-09-22 06:18:21,75,951ebe61-8fab-450e-96d8-73046dd6a814,1,,-,-,-,No
