GUID,CPU CPI,Success,Id,Request ID,Start Time,Phases,Phase 1,Logs,Base Sample,Predecessors,Bit-1 Sample,IP Address,Bit-1 Pvalue,Bit-0 Sample,Error,Bit-0 Pvalue,MAC Address,End Time,Boot ID,Warm Start,Tag
10-15-22-30-9,7.829474,1,9,678f2512-f8aa-408d-8242-eda1d808ac66,2020-10-16 05:30:49,1,9,out/10-15-22-30/log,out/10-15-22-30/base_samples9,,out/10-15-22-30/bit1_samples9,169.254.76.1,0,out/10-15-22-30/bit0_samples9,,0.309146721817406,32:EA:A5:09:84:9E,2020-10-16 05:31:08,0570f8b7-53cd-46cb-8cba-a44ea0dc8d20,No,DEFAULT
10-15-22-30-10,8.009278,1,10,ebc6796b-4f66-47f1-a3b4-2123ea80dc34,2020-10-16 05:30:49,1,10,out/10-15-22-30/log,out/10-15-22-30/base_samples10,,out/10-15-22-30/bit1_samples10,169.254.76.1,0,out/10-15-22-30/bit0_samples10,,0.404568698442279,BE:A6:BD:AA:51:39,2020-10-16 05:31:08,1b1287c0-9405-48f7-abed-e8bf07339cf9,No,DEFAULT
10-15-22-30-4,7.991940,1,4,bcd027b4-ffef-4f88-8184-2f345738fc12,2020-10-16 05:30:49,1,4,out/10-15-22-30/log,out/10-15-22-30/base_samples4,,out/10-15-22-30/bit1_samples4,169.254.76.1,0,out/10-15-22-30/bit0_samples4,,0.190239440123514,7A:3E:F8:92:C5:0A,2020-10-16 05:31:08,15952fd1-a1a9-4236-9bfb-b9a921edddaf,No,DEFAULT
10-15-22-30-2,7.786902,1,2,c52a9c77-793e-4fb7-b120-8ac43fc60827,2020-10-16 05:30:49,1,2,out/10-15-22-30/log,out/10-15-22-30/base_samples2,,out/10-15-22-30/bit1_samples2,169.254.76.1,0,out/10-15-22-30/bit0_samples2,,0.153563672952115,36:00:F9:1E:66:36,2020-10-16 05:31:08,d2869797-7932-4e64-be28-e9c5a6662438,No,DEFAULT
10-15-22-30-6,7.770192,1,6,02245ffa-ad26-4eb7-a68b-119d119431c3,2020-10-16 05:30:49,1,6,out/10-15-22-30/log,out/10-15-22-30/base_samples6,,out/10-15-22-30/bit1_samples6,169.254.76.1,0,out/10-15-22-30/bit0_samples6,,0.375250525342956,62:2A:EE:74:D8:FF,2020-10-16 05:31:08,68378d2b-47f3-4742-990a-8af47325e11d,No,DEFAULT
10-15-22-30-8,7.877548,1,8,3b01681a-c455-4345-a755-907947fc508c,2020-10-16 05:30:49,1,8,out/10-15-22-30/log,out/10-15-22-30/base_samples8,,out/10-15-22-30/bit1_samples8,169.254.76.1,0,out/10-15-22-30/bit0_samples8,,0.531251956238789,FA:F6:59:96:D6:9A,2020-10-16 05:31:08,2849a73c-d2aa-4b73-8502-d0a52010b963,No,DEFAULT
10-15-22-30-3,7.772876,1,3,140cd8d6-149e-4882-ae76-d53072178c7f,2020-10-16 05:30:49,1,9,out/10-15-22-30/log,out/10-15-22-30/base_samples3,,out/10-15-22-30/bit1_samples3,169.254.76.1,5.26427584694357,out/10-15-22-30/bit0_samples3,,0.165403748984282,C2:16:7F:BA:0F:17,2020-10-16 05:31:08,d99d8d00-cdeb-44f6-af85-11b9b50e01db,No,DEFAULT
10-15-22-30-1,7.833864,1,1,8fdd7f2f-231b-420d-a0d6-994fff564a7d,2020-10-16 05:30:49,1,1,out/10-15-22-30/log,out/10-15-22-30/base_samples1,,out/10-15-22-30/bit1_samples1,169.254.76.1,0,out/10-15-22-30/bit0_samples1,,0.219816662528117,5A:69:F5:A1:9F:0F,2020-10-16 05:31:08,d29c7456-8f0c-42bc-a2cc-5393a06ca90d,No,DEFAULT
10-15-22-30-7,8.217636,1,7,fe18caa0-e89a-4303-b7b4-081616f374fd,2020-10-16 05:30:49,1,7,out/10-15-22-30/log,out/10-15-22-30/base_samples7,,out/10-15-22-30/bit1_samples7,169.254.76.1,0,out/10-15-22-30/bit0_samples7,,0.196452336419066,9E:E5:C1:4B:F2:AD,2020-10-16 05:31:08,dcff2e76-6c47-4c8e-b1d4-95b5f4182e23,No,DEFAULT
10-15-22-30-5,8.318909,1,5,826b39ac-5bb7-43db-a2b4-c85d29d80a9c,2020-10-16 05:30:49,1,5,out/10-15-22-30/log,out/10-15-22-30/base_samples5,,out/10-15-22-30/bit1_samples5,169.254.76.1,0,out/10-15-22-30/bit0_samples5,,0.163640189886218,5E:F7:FE:6F:65:5B,2020-10-16 05:31:08,2829a94f-c9d1-401a-bbe1-86b81212974d,No,DEFAULT
