In,Start Time,UP Time,Boot Time,Frequency,Interface,IP Address,MAC Address,Rdseed Enabled,Total Time,Exec Time
Both,1575695304704,44.17,2019-12-07 05:07:46,2000.163,eth1,169.254.8.130,a7:e7:53:34:6f:91,1,36.26697325706482,30.266160249710083
Both,1575695314696,45.14,2019-12-07 05:07:55,2000.174,lo,127.0.0.1,a1:b2:69:f3:5f:a2,1,26.39299201965332,20.392136812210083
Both,1575695315774,44.78,2019-12-07 05:07:56,2000.16,lo,127.0.0.1,27:f0:f0:52:d2:ba,1,25.33078169822693,19.329819917678833
Both,1575695310869,41.18,2019-12-07 05:07:55,2000.169,lo,127.0.0.1,63:ea:63:74:d8:48,1,30.28730273246765,24.2863290309906
Both,1575695316507,46.19,2019-12-07 05:07:56,2000.173,eth2,169.254.8.1,ff:68:ab:06:11:13,1,24.966068506240845,18.965240955352783
Both,1575695305226,44.89,2019-12-07 05:07:46,2000.176,lo,127.0.0.1,cd:bc:cd:cf:2e:c5,1,36.39240741729736,30.391536235809326
Both,1575695305205,44.88,2019-12-07 05:07:46,2000.176,eth2,169.254.8.1,2b:69:28:fe:07:34,1,36.238606452941895,30.237784385681152
Both,1575695315263,44.93,2019-12-07 05:07:56,2000.179,lo,127.0.0.1,63:34:1d:b4:e3:8f,1,26.589903116226196,20.58917474746704
Both,1575695315889,45.59,2019-12-07 05:07:56,2000.137,lo,127.0.0.1,0b:8d:d0:32:b9:d2,1,26.694072484970093,20.69326424598694
Both,1575695311368,41.67,2019-12-07 05:07:55,2000.169,eth0,192.168.1.1,61:65:ec:26:96:b6,1,31.9669828414917,25.966206312179565
Both,1575695316981,47.13,2019-12-07 05:07:55,2000.174,lo,127.0.0.1,f5:d9:f5:68:46:28,1,26.377018451690674,20.376123666763306
Both,1575695306333,46.04,2019-12-07 05:07:46,2000.163,lo,127.0.0.1,43:85:8d:fa:b0:09,1,37.128782510757446,31.127989053726196
Both,1575695317175,46.23,2019-12-07 05:07:56,2000.137,eth2,169.254.8.1,e5:0e:1c:ee:5a:7f,1,26.693721532821655,20.69291877746582
Both,1575695306339,45.53,2019-12-07 05:07:46,2000.163,eth0,192.168.1.1,57:30:05:6a:19:cb,1,37.56003451347351,31.55925154685974
