Logs,GUID,CPU CPI,Error,IP Address,Success,Id,Channel,MAC Address,Request ID,Start Time,Protocol Time,Phases,Phase 1,Phase 2,Phase 3,Predecessors,Bit-1 Sample,End Time,Boot ID,Base Sample,Bit-0 Sample,Warm Start,Tag,Bit-0 Pvalue,Bit-1 Pvalue
out/02-03-19-49/log,02-03-19-49-1,7.944980,,169.254.76.1,1,1,1,3A:88:72:1B:0A:D6,497baf28-dea7-468c-9009-52137fad58b2,2021-02-04 03:49:29,30,2,37,1,-1,"02-03-19-42-12,02-03-19-46-46",out/02-03-19-49/bit1_samples1,2021-02-04 03:50:22,503a0f6f-d91c-4e1a-a43f-0de53998a9d2,-,-,Yes,DEFAULT,-,-
out/02-03-19-49/log,02-03-19-49-16,7.951281,,169.254.76.1,1,16,2,C2:22:F4:13:DF:85,b95c1f4a-092f-48dc-870c-ae92e51d7451,2021-02-04 03:49:29,30,3,29,16,6,"02-03-19-33-81,02-03-19-34-4,02-03-19-35-1,02-03-19-39-12,02-03-19-42-100,02-03-19-46-25",out/02-03-19-49/bit1_samples16,2021-02-04 03:50:22,33d253ef-afb6-439a-9a1e-26fc405854ae,-,-,Yes,DEFAULT,-,-
out/02-03-19-49/log,02-03-19-49-66,7.701145,,169.254.76.1,1,66,-,FE:7A:85:D9:9C:97,17f4f93a-d87c-4570-8aed-803dffb6b5dd,2021-02-04 03:49:29,20,1,66,-1,-1,,-,2021-02-04 03:50:03,44be97c3-2a9c-4f1f-a4cc-3bbd029071e6,-,-,No,DEFAULT,-,-
out/02-03-19-49/log,02-03-19-49-22,7.849674,,169.254.76.1,1,22,-,0E:E1:1C:8F:BF:7C,82432ec7-9dd2-45ef-ae8b-ebb3d257b9ce,2021-02-04 03:49:29,30,3,92,87,72,"02-03-19-33-13,02-03-19-34-30,02-03-19-35-58,02-03-19-39-74,02-03-19-42-96,02-03-19-46-86",-,2021-02-04 03:50:13,91b6075e-0598-4799-9f3b-9128798bd10d,-,-,Yes,DEFAULT,-,-
out/02-03-19-49/log,02-03-19-49-58,7.856093,,169.254.76.1,1,58,3,E2:66:EA:C7:5E:45,1c84a71f-a1a1-4e7d-911f-7922f3831e58,2021-02-04 03:49:29,30,3,67,58,56,"02-03-19-39-13,02-03-19-42-42,02-03-19-46-66",-,2021-02-04 03:50:22,d367fc00-ba09-4516-b2a2-7eb2de200901,-,-,Yes,DEFAULT,-,-
out/02-03-19-49/log,02-03-19-49-4,7.802704,,169.254.76.1,1,4,-,AA:7F:7A:03:7E:7A,9032f8ed-8410-4fa0-93f8-48b59bdab5d3,2021-02-04 03:49:29,30,3,54,49,42,"02-03-19-33-53,02-03-19-34-50,02-03-19-35-89,02-03-19-39-33,02-03-19-42-41,02-03-19-46-55",-,2021-02-04 03:50:13,edc170c2-100a-425f-9d14-b8dfef6a96ae,-,-,Yes,DEFAULT,-,-
out/02-03-19-49/log,02-03-19-49-20,7.826623,,169.254.76.1,1,20,-,0E:00:C9:50:59:93,7ee601f5-a508-472d-b3a4-3df98d123220,2021-02-04 03:49:29,30,3,97,94,38,"02-03-19-39-29,02-03-19-42-56,02-03-19-46-48",-,2021-02-04 03:50:13,41f47044-bbcd-4112-a9b2-8ab880901361,-,-,Yes,DEFAULT,-,-
out/02-03-19-49/log,02-03-19-49-73,7.759679,,169.254.76.1,1,73,-,2A:02:CE:C7:F3:9B,20c351f7-13cc-416f-91de-a4de6e4a771c,2021-02-04 03:49:29,20,1,73,-1,-1,"02-03-19-33-85,02-03-19-34-89,02-03-19-35-48,02-03-19-39-93,02-03-19-42-83,02-03-19-46-90",-,2021-02-04 03:50:03,05ccf018-4079-4b45-bd2e-96454bf81af4,-,-,Yes,DEFAULT,-,-
out/02-03-19-49/log,02-03-19-49-55,7.844619,,169.254.76.1,1,55,4,76:11:D6:52:9A:0D,178e2cb7-5521-4086-95d4-376ac14df56f,2021-02-04 03:49:29,30,3,55,36,43,"02-03-19-33-93,02-03-19-34-51,02-03-19-35-13,02-03-19-39-63,02-03-19-42-38,02-03-19-46-57",-,2021-02-04 03:50:22,eb8e5217-8b7b-4d4f-bbb8-640423f7a058,-,-,Yes,DEFAULT,-,-
out/02-03-19-49/log,02-03-19-49-23,7.947386,,169.254.76.1,1,23,-,32:B6:46:0B:24:FE,d6cc4c11-50c3-4c79-856f-db5c12df30e8,2021-02-04 03:49:29,30,3,51,47,23,"02-03-19-33-96,02-03-19-34-72,02-03-19-35-12,02-03-19-39-41,02-03-19-42-8,02-03-19-46-47",-,2021-02-04 03:50:13,2c4bc01d-cd7a-44a7-a2a2-13e88f175d13,-,-,Yes,DEFAULT,-,-
out/02-03-19-49/log,02-03-19-49-10,7.845806,,169.254.76.1,1,10,5,0E:1E:ED:CC:A2:FB,e78fec72-95a9-4c87-b490-03fffe5592a7,2021-02-04 03:49:29,30,2,60,10,-1,"02-03-19-33-61,02-03-19-34-59,02-03-19-35-34,02-03-19-39-5,02-03-19-42-6,02-03-19-46-28",out/02-03-19-49/bit1_samples10,2021-02-04 03:50:22,890644e9-de77-4d86-b050-c656ca8796d5,-,-,Yes,DEFAULT,-,-
out/02-03-19-49/log,02-03-19-49-39,7.956994,,169.254.76.1,1,39,6,2A:FC:04:45:E9:BE,c704e516-5ab6-402b-abc3-69b0f775dd98,2021-02-04 03:49:29,30,3,93,39,26,"02-03-19-33-12,02-03-19-34-62,02-03-19-35-53,02-03-19-39-48,02-03-19-42-67,02-03-19-46-5",out/02-03-19-49/bit1_samples39,2021-02-04 03:50:22,9c58614a-e77f-40f9-ba8a-57ab6bd2497c,-,-,Yes,DEFAULT,-,-
out/02-03-19-49/log,02-03-19-49-84,7.630907,,169.254.76.1,1,84,-,BA:F7:FC:0C:76:04,d8dc1876-e91c-4569-93c7-f73fd556bd5d,2021-02-04 03:49:29,20,1,84,-1,-1,"02-03-19-33-11,02-03-19-34-24,02-03-19-35-35,02-03-19-39-90,02-03-19-42-80,02-03-19-46-3",-,2021-02-04 03:50:03,230ba39b-3883-4cf8-b075-11f770368be3,-,-,Yes,DEFAULT,-,-
out/02-03-19-49/log,02-03-19-49-75,7.829902,,169.254.76.1,1,75,-,EA:AC:8C:C1:0C:C4,b0b74f49-cd55-48ee-ba5d-092c61195ea1,2021-02-04 03:49:29,20,1,75,-1,-1,"02-03-19-33-60,02-03-19-34-83,02-03-19-35-33,02-03-19-39-67,02-03-19-42-91,02-03-19-46-97",-,2021-02-04 03:50:03,bd2e1b52-402e-48f4-9369-abae744f5a4a,-,-,Yes,DEFAULT,-,-
out/02-03-19-49/log,02-03-19-49-91,7.794368,,169.254.76.1,1,91,-,0A:8C:9B:02:DA:BE,8c3e9b67-7395-4c3e-beaa-05d70c35c88e,2021-02-04 03:49:29,20,1,91,-1,-1,,-,2021-02-04 03:50:03,8f8e8226-f3a7-4bd2-a499-c8faaee8666b,-,-,No,DEFAULT,-,-
