KS Max,KS SMean,KS DMean,CVM
-0.06715134316618031,0.20911834007056684,0.002416393903963956,621.7157915642463
0.07759772492244064,0.35810534834162633,0.005308279958630006,628.625616989531
0.03307931529066455,0.1827310960584964,0.0034154937601434125,632.5398174336068
0.03781049874913061,0.2129716550603951,0.002139536891314725,645.827003639787
0.07586513232651342,0.40278753592705574,0.0029054214821352922,645.9334736903191
0.08629192546583807,0.2960617248197726,0.003972377805391077,636.5154875702681
0.06320501249471863,0.1962438481147856,0.002563295871790787,688.3229645580868
0.6686568602261099,5.8385430867725905,0.0556955921762689,672.1588314172295
-0.023409886714730443,0.08781103301945781,0.002014891472706045,665.8941269368772
-0.14408607863974965,0.7325650739001844,0.0022585002125434235,654.7814734196523
0.09142931937172925,0.30523253403888706,0.0029756984293200037,675.1293970380685
