Logs,Boot ID,MAC Address,Bit-1 Sample,Base Sample,Phase 3,Bit-0 Sample,Phase 2,Phase 1,Phases,Start Time,End Time,Id,Request ID,Success,Error
out/09-09-23-14/log,efff3a23-efb5-4d87-8d65-ec9a30984f20,EE:33:E1:D2:9C:41,out/09-09-23-14/bit1_samples7,out/09-09-23-14/base_samples7,256,out/09-09-23-14/bit0_samples7,7,7,3,2020-09-10 06:14:19,2020-09-10 06:15:14,7,1f1aa66b-384b-40f9-a1cd-328a55ff207d,1,
out/09-09-23-14/log,44159729-d89f-487b-9dd6-9b8f1942ee06,B2:F6:2B:AC:21:C5,out/09-09-23-14/bit1_samples66,out/09-09-23-14/base_samples66,66,out/09-09-23-14/bit0_samples66,66,66,3,2020-09-10 06:14:14,2020-09-10 06:15:13,66,5356443e-bb50-4a5f-9e38-f97c234f3e89,1,
out/09-09-23-14/log,ddbf09cc-c76d-40b1-871f-403978b26c3b,3A:FA:F7:FB:8E:91,out/09-09-23-14/bit1_samples55,out/09-09-23-14/base_samples55,55,out/09-09-23-14/bit0_samples55,98,55,3,2020-09-10 06:14:14,2020-09-10 06:15:14,55,fecfa321-73e6-437a-9b06-97ba0542286e,1,
out/09-09-23-14/log,f04d0715-f970-4c44-a2fc-5285823759a6,9A:17:17:E7:B6:80,out/09-09-23-14/bit1_samples41,out/09-09-23-14/base_samples41,61,out/09-09-23-14/bit0_samples41,55,63,3,2020-09-10 06:14:14,2020-09-10 06:15:14,41,2f4979e8-4b4f-47fc-9340-e6ed9909b7d8,1,
out/09-09-23-14/log,94d3c4af-0789-4fdb-96bc-88e6d191ead7,FA:38:D5:5E:23:0F,out/09-09-23-14/bit1_samples60,out/09-09-23-14/base_samples60,60,out/09-09-23-14/bit0_samples60,60,60,3,2020-09-10 06:14:14,2020-09-10 06:15:13,60,6ddfe1b2-4f71-4995-b9e1-554818b8afe6,1,
out/09-09-23-14/log,c1460e84-16d8-4f6a-811c-425bc04ed49b,86:1E:13:B9:78:3A,out/09-09-23-14/bit1_samples47,out/09-09-23-14/base_samples47,47,out/09-09-23-14/bit0_samples47,47,47,3,2020-09-10 06:14:14,2020-09-10 06:15:14,47,8fbe672c-88f3-440e-aa88-ce02566fb54a,1,
out/09-09-23-14/log,d3251d52-751a-412d-92ae-351830f29926,3E:A9:BE:B7:1A:FF,out/09-09-23-14/bit1_samples20,out/09-09-23-14/base_samples20,93,out/09-09-23-14/bit0_samples20,77,85,3,2020-09-10 06:14:14,2020-09-10 06:15:13,20,fbc4cc67-5280-4dce-b556-5d1ec06c5f53,1,
out/09-09-23-14/log,ed03312d-6ca0-47e6-9483-185e3dd409df,CE:6B:AD:24:CA:3B,out/09-09-23-14/bit1_samples54,out/09-09-23-14/base_samples54,54,out/09-09-23-14/bit0_samples54,54,54,3,2020-09-10 06:14:14,2020-09-10 06:15:13,54,b8265977-788e-4f89-ace8-a6f7aaea76fd,1,
out/09-09-23-14/log,4353eec2-0bb6-4fe8-9c5f-cdff49468d5a,12:A6:6F:91:0C:FF,out/09-09-23-14/bit1_samples24,out/09-09-23-14/base_samples24,90,out/09-09-23-14/bit0_samples24,25,75,3,2020-09-10 06:14:14,2020-09-10 06:15:13,24,33777800-14ab-4ef6-a0ff-32007425f674,1,
out/09-09-23-14/log,7509747a-27db-47df-be78-b6e1d43690f9,5E:12:14:A1:F2:36,out/09-09-23-14/bit1_samples6,out/09-09-23-14/base_samples6,6,out/09-09-23-14/bit0_samples6,640,6,3,2020-09-10 06:14:19,2020-09-10 06:15:13,6,0839260a-f1c1-4bc9-95a6-d9a3fe46fb90,1,
