Id,Sender,Receiver,Rate,Bits,Sent Data,Rcvd Data,Sender Erasures,Receiver Erasures,SErasures,RErasures,Errors,Error %,Ones,OneErrs,OneErr%,Zeroes,ZeroErrs,ZeroErr%
1,89,40,10,50,10000001101001001100010001110010100001010001000100,11111111111111111111111111111111111111111111111111,,,0,0,33,66.0,17,0,0,33,33,100
2,82,73,10,50,11111111011110111111111110110011111101001111101011,11111111111111111111111111111111111111111111111111,,,0,0,10,20.0,40,0,0,10,10,100
3,49,15,10,50,11111111111111111111111111111111111111111111111111,11111111111111111111111111111111111111111111111111,,,0,0,0,0.0,50,0,0,0,0,-
4,69,37,10,50,10010001000001000100110100001110111110110100100101,11111111111111111111111111111111111111111111111111,,,0,0,28,56.0,22,0,0,28,28,100
5,86,75,10,50,11111111111010111110101101011111111111011111111111,11111111111111111111111111111111111111111111111111,,,0,0,7,14.0,43,0,0,7,7,100
6,67,45,10,50,00000011110001111010101000101000000011011010000110,11111111111111111111111111111111111111111111111111,,,0,0,30,60.0,20,0,0,30,30,100
7,83,61,10,50,00100000000000110010100010000000100010000000000011,11111111111111111111111111111111111111111111111111,,,0,0,40,80.0,10,0,0,40,40,100
8,38,14,10,50,00000000001000000000000000000000100000000000000000,11111111111111111111111111111111111111111111111111,,,0,0,48,96.0,2,0,0,48,48,100
9,88,19,10,50,11111111111111111111111111111111111111111111111111,11111111111111111111111111111111111111111111111111,,,0,0,0,0.0,50,0,0,0,0,-
10,79,42,10,50,00111000101011111010000101000000110011001010100111,11111111111111111111111111111111111111111111111111,,,0,0,27,54.0,23,0,0,27,27,100
11,71,70,10,50,01110000111010111000110001101111000101110100101101,11111111111111111111111111111111111111111111111111,,,0,0,23,46.0,27,0,0,23,23,100
12,92,62,10,50,00110111001010011000011001001110111001011011111111,11111111111111111111111111111111111111111111111111,,,0,0,21,42.0,29,0,0,21,21,100
13,99,68,10,50,01010011000000100001000000001011000100001000000000,11111111111111111111111111111111111111111111111111,,,0,0,39,78.0,11,0,0,39,39,100
14,52,13,10,50,00100000010001111101101101101111000011000101010011,11111111111111111111111111111111111111111111111111,,,0,0,26,52.0,24,0,0,26,26,100
15,78,74,10,50,11111111111111111111111111111111111111111111111111,11111111111111111111111111111111111111111111111111,,,0,0,0,0.0,50,0,0,0,0,-
16,51,3,10,50,11100110101111101111101111010111111111111111000110,11111111111111111111111111111111111111111111111111,,,0,0,12,24.0,38,0,0,12,12,100
17,44,21,10,50,10111011111111111111100010110100101101111111101100,11111111111111111111111111111111111111111111111111,,,0,0,14,28.0,36,0,0,14,14,100
18,98,26,10,50,10000001111101100111100010000110011001010000111011,11111111111111111111111111111111111111111111111111,,,0,0,26,52.0,24,0,0,26,26,100
19,100,81,10,50,10010011110110111111100111111110101101000011010111,11111111111111111111111111111111111111111111111111,,,0,0,17,34.0,33,0,0,17,17,100
20,30,4,10,50,11110101111101110011101100110111101111111111101111,11111111111111111111111111111111111111111111111111,,,0,0,11,22.0,39,0,0,11,11,100
21,58,50,10,50,00100101010000011010010101000110101101111011101000,11111111111111111111111111111111111111111111111111,,,0,0,27,54.0,23,0,0,27,27,100
22,7,1,10,50,11111110111111111110111111111011111111111111111111,11111111111111111111111111111111111111111111111111,,,0,0,3,6.0,47,0,0,3,3,100
23,85,59,10,50,00000101101000010001111000111100001010001101101101,11111111111111111111111111111111111111111111111111,,,0,0,28,56.0,22,0,0,28,28,100
24,24,12,10,50,01010000000000000100000000000010000100000000000001,11111111111111111111111111111111111111111111111111,,,0,0,44,88.0,6,0,0,44,44,100
25,33,25,10,50,00111100001101011100101001000010110100000001100001,11111111111111111111111111111111111111111111111111,,,0,0,30,60.0,20,0,0,30,30,100
26,95,39,10,50,00000000010000001000011001100000010100000000110001,11111111111111111111111111111111111111111111111111,,,0,0,39,78.0,11,0,0,39,39,100
27,93,72,10,50,00000010001000000000000100000000000000000000000000,11111111111111111111111111111111111111111111111111,,,0,0,47,94.0,3,0,0,47,47,100
