Start Time,Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,First Iteration,Rdrand Latency,Rdrand Stdev,Contention Rdrand Latency,Contention Rdrand Stdev,Total Latency,Boot ID,Elapsed Time
1575937417949,2500.012,ba:3e:1c:01:b9:66,90.00B,90.00B,5.486894130706787,2.454195022583008e-05,5.385854149429377e-06,2.4307584762573243e-05,4.060253927605161e-06,-2.3436546325683691e-07,a1d259d2-0707-4f8a-8301-658b754295ce,1558757663
1575937417875,2499.996,2a:ba:a7:87:2e:63,90.00B,90.00B,5.5231945514678955,2.765212059020996e-05,0.0001993428429745493,2.449054718017578e-05,6.248747790874469e-06,-3.161573410034179e-06,a5c1113c-b3c4-46b4-af14-37fe78ebf3ef,1558757636
1575937417923,2500.012,26:27:84:70:56:a9,90.00B,90.00B,5.492089509963989,2.4517822265625e-05,5.079585039456088e-06,2.5936269760131835e-05,0.00010485779310523169,1.4184474945068353e-06,de31cbad-ca7c-4851-8d2a-163931a5cadc,1558757662
1575937417842,2500.01,26:b5:6c:7b:cc:ad,176.00B,90.00B,5.5673346519470215,2.596149444580078e-05,1.2769352083823726e-05,2.5862884521484374e-05,2.5029173827033653e-05,-9.860992431640682e-08,6046e2c6-9fbd-4d28-a3a3-25b2aa117b4e,1558757291
1575937417857,2500.012,8a:78:28:ff:45:cd,90.00B,90.00B,5.567797899246216,2.5985240936279296e-05,7.037669664318498e-06,2.6029443740844726e-05,8.685121330107759e-06,4.420280456543001e-08,601d999d-e194-43c1-821c-4a29da4708a7,1558757373
1575937417906,2500.008,1a:dd:cc:18:b3:4c,90.00B,90.00B,5.537200927734375,2.5516653060913088e-05,2.1034547390137994e-05,2.489614486694336e-05,6.239385009416396e-06,-6.205081939697288e-07,3d19f9ff-8583-4478-85d8-54812da12933,1558757617
1575937417876,2499.996,a2:a4:80:8d:5c:16,90.00B,90.00B,5.545425891876221,2.554149627685547e-05,4.7224881754824845e-06,2.4762582778930665e-05,4.269123008987676e-06,-7.789134979248037e-07,67b197d1-51b2-40ca-8ba9-48d292917d8c,1558757651
1575937417892,2499.998,b2:87:bf:d0:da:01,180.00B,90.00B,5.532195568084717,2.6117753982543945e-05,9.814523948012592e-06,2.8273630142211914e-05,0.00015974873185610597,2.155876159667969e-06,4c14057e-0230-4830-b120-6d123f369934,1558757299
1575937417884,2500.01,d2:17:58:31:38:d0,180.00B,90.00B,5.554183483123779,2.566099166870117e-05,6.68170771732134e-06,2.5069379806518555e-05,5.120851362550525e-06,-5.916118621826157e-07,5a7168ea-223f-4149-965a-67fb1aed0616,1558757308
1575937417838,2500.004,ae:f9:23:c9:63:19,90.00B,90.00B,5.554981708526611,2.566986083984375e-05,5.030197370960009e-06,2.5825023651123046e-05,6.91777188451205e-06,1.5516281127929779e-07,f10ff173-e94c-496f-a699-1067bcccca0d,1558756980
