Id,Lambda,Phase,Bit,Base Size,Base Mean,Base Std,Size,Mean,Std,Pvalue,Mean Diff
1,81,0,0,2000,7418,6033,2000,0,0,,-7418
2,81,0,1,2000,7418,6033,2000,7154,5568,1.00705722156196,-264
3,81,0,2,2000,7418,6033,1967,7112,5390,1.008136662557384,-306
4,81,0,3,2000,7418,6033,2000,7119,5464,1.009259935085815,-299
5,81,0,4,2000,7418,6033,2000,0,0,,-7418
6,81,0,5,2000,7418,6033,2000,7228,8527,1.002480904361611,-190
7,81,0,6,2000,7418,6033,2000,0,0,,-7418
8,81,0,7,2000,7418,6033,2000,7077,5457,1.012094043194322,-341
9,81,0,8,2000,7418,6033,1959,6918,4927,1.024865968975491,-500
10,81,0,9,2000,7418,6033,2000,12305,225920,1.006328987805226,4887
11,81,1,0,2000,7418,6033,2000,0,0,,-7418
12,81,1,1,2000,7418,6033,2000,7100,5782,1.009865498752231,-318
13,81,1,2,2000,7418,6033,2000,7186,5653,1.005353514423064,-232
14,81,1,3,2000,7418,6033,2000,12025,227377,1.005548535843722,4607
15,81,1,4,2000,7418,6033,2000,0,0,,-7418
16,81,1,5,2000,7418,6033,2000,7124,5520,1.00885037983271,-294
17,81,1,6,2000,7418,6033,2000,0,0,,-7418
18,81,1,7,2000,7418,6033,2000,7100,5261,1.010941285785254,-318
19,81,1,8,2000,7418,6033,2000,7304,5806,1.001251590838107,-114
20,81,1,9,2000,7418,6033,1948,7146,5366,1.006058495470924,-272
21,81,2,0,2000,7418,6033,2000,0,0,,-7418
22,81,2,1,2000,7418,6033,2000,7267,9154,1.001478229973042,-151
23,81,2,2,2000,7418,6033,1958,7365,6022,1.000195158532598,-53
24,81,2,3,2000,7418,6033,1937,12691,229934,1.002884662235721,5273
25,81,2,4,2000,7418,6033,2000,0,0,,-7418
26,81,2,5,2000,7418,6033,2000,7233,5709,1.003361815012948,-185
27,81,2,6,2000,7418,6033,1927,0,0,,-7418
28,81,2,7,2000,7418,6033,1927,7370,6051,1.0001415483595,-48
29,81,2,8,2000,7418,6033,1974,7161,5667,1.005471454871017,-257
30,81,2,9,2000,7418,6033,1965,7123,5611,1.007029267683063,-295
