Mean,Median,50tile,80tile,90tile
9674.34,9339.5,9339.5,9388.6,9522.400000000001
17427.64285714286,19102.0,19102.0,19600.8,20183.2
16680.44827586207,19042,19042.0,19192.2,19305.6
9441.490196078432,9333,9333.0,9397.0,9426.0
18688.923076923078,19065.0,19065.0,19183.0,19212.5
9557.313725490196,9505,9505.0,9600.0,9647.0
14433.970588235294,12822.5,12822.5,19117.8,19174.8
9594.24,9340.0,9340.0,9396.2,9938.300000000001
29812.88,9537.5,9537.5,9641.2,9851.7
9984.5625,9491.5,9491.5,9822.0,11831.300000000005
15074.4375,15312.5,15312.5,19099.4,19665.100000000002
13172.405405405405,9558,9558.0,19060.0,19104.8
9487.176470588236,9429,9429.0,9541.0,9637.0
9798.326530612245,9343,9343.0,10265.600000000002,11244.6
16621.172413793105,19049,19049.0,19123.0,19204.8
9651.30612244898,9386,9386.0,9567.4,9814.0
9399.490196078432,9342,9342.0,9420.0,9471.0
10907.181818181818,9369.5,9369.5,9435.4,9460.7
18599.0,19085.0,19085.0,19174.0,19221.0
19718.92,19066,19066.0,19192.2,20561.600000000002
9719.28,9341.5,9341.5,9419.4,11267.4
19564.64,19165,19165.0,19477.600000000002,20445.200000000004
10134.04255319149,9347,9347.0,9363.8,9380.0
9472.26,9355.0,9355.0,9426.4,9488.699999999999
9410.862745098038,9351,9351.0,9467.0,9513.0
10558.239130434782,9548.5,9548.5,9681.0,10068.5
9910.0,9451.5,9451.5,10270.2,11505.7
