Logs,GUID,CPU CPI,Error,IP Address,Success,Id,Channel,MAC Address,Request ID,Start Time,Protocol Time,Phases,Phase 1,Phase 2,Phase 3,Predecessors,Bit-1 Sample,End Time,Boot ID,Base Sample,Bit-0 Sample,Warm Start,Tag,Bit-0 Pvalue,Bit-1 Pvalue
out/02-02-23-18/log,02-02-23-18-99,8.658868,,169.254.76.1,1,99,15,12:4A:76:7A:BC:05,4b4881ae-a022-40c2-a9f3-86048b3dc367,2021-02-03 07:18:15,30,3,99,89,74,02-02-23-12-90,-,2021-02-03 07:19:08,8d2e5b84-dd2a-4160-8298-15561a6bbf81,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-19,7.868706,,169.254.76.1,1,19,16,72:5B:A4:4E:DC:18,757d20b6-b956-49c4-baf6-5a8d120a8140,2021-02-03 07:18:15,30,3,67,19,5,02-02-23-12-24,out/02-02-23-18/bit1_samples19,2021-02-03 07:19:08,0a6e4e62-4d6b-4437-94d0-924fc7ddc007,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-22,7.818797,,169.254.76.1,1,22,-,3E:64:A0:56:BC:C8,0626dce3-754b-4add-864a-c0ec4d348f30,2021-02-03 07:18:15,20,1,22,-1,-1,02-02-23-12-55,-,2021-02-03 07:18:49,f2fb01a1-3336-488d-ab14-b4e018a11d95,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-55,7.852124,,169.254.76.1,1,55,17,4A:6C:D9:2C:DA:DB,9a4bb832-6001-4d5e-81fe-d64bd4e78d9c,2021-02-03 07:18:15,30,3,55,47,35,02-02-23-12-23,-,2021-02-03 07:19:09,837a226f-e0cf-4d6d-b127-36fa79f6b8fc,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-51,7.898235,,169.254.76.1,1,51,-,46:57:AF:88:65:79,94d766f0-edc7-4e72-8e6d-b011afa5971e,2021-02-03 07:18:15,30,3,97,68,51,02-02-23-12-79,-,2021-02-03 07:18:59,7139dc77-81fb-416e-ab18-9d7a57b2b448,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-40,7.687053,,169.254.76.1,1,40,-,C2:53:9C:5E:79:0D,d74464db-6b5e-4547-a0b0-c5e42185afaa,2021-02-03 07:18:15,20,1,40,-1,-1,02-02-23-12-16,-,2021-02-03 07:18:49,253428b5-50ad-49e6-9095-0b0037074d96,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-78,7.824111,,169.254.76.1,1,78,18,4E:BC:DF:E5:E1:E1,95bbfa78-b5af-4e71-b7a2-2d3e9a55958d,2021-02-03 07:18:15,30,3,90,78,23,02-02-23-12-93,out/02-02-23-18/bit1_samples78,2021-02-03 07:19:08,b6b389e0-a905-493d-a9ac-57ed41301428,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-1,7.887940,,169.254.76.1,1,1,-,82:79:9D:C5:9B:9C,789442f6-f5f6-441e-b102-ffa520f9e1df,2021-02-03 07:18:15,30,3,92,81,36,02-02-23-12-100,-,2021-02-03 07:18:59,f37341bb-52dd-446a-955f-3593eccc2ac6,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-95,8.366644,,169.254.76.1,1,95,-,DA:AB:3F:64:5C:32,4b60ed9a-0176-4fd8-8dc9-6f1bdda59585,2021-02-03 07:18:15,20,1,95,-1,-1,02-02-23-12-57,-,2021-02-03 07:18:49,353f7157-714a-46ee-a1db-67dbb74c91f2,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-91,7.806753,,169.254.76.1,1,91,-,E2:B7:2A:C3:C0:30,165b5810-f86a-4e71-94b7-29ce83a81b16,2021-02-03 07:18:15,20,1,91,-1,-1,02-02-23-12-27,-,2021-02-03 07:18:49,dd5f6c82-906d-4bf6-8c31-15dfee23e6da,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-81,7.913984,,169.254.76.1,1,81,19,BA:82:84:2D:3D:16,07d81ef2-c88f-4b15-af1c-550d62e408a0,2021-02-03 07:18:15,30,3,92,81,36,02-02-23-12-34,out/02-02-23-18/bit1_samples81,2021-02-03 07:19:08,558f0f63-9b2f-4aa2-a28b-91a10d860041,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-41,7.738261,,169.254.76.1,1,41,-,5E:D6:2D:FD:B5:13,4e5aeea8-735d-4052-ba92-d8f46b3e0876,2021-02-03 07:18:15,20,1,41,-1,-1,02-02-23-12-71,-,2021-02-03 07:18:49,6da75a9d-b0ce-4dcd-9304-21452e96112a,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-85,7.786293,,169.254.76.1,1,85,-,C6:64:A4:1F:2B:5F,4ab0281b-9e59-40f7-ab5e-89ee95ce039b,2021-02-03 07:18:15,20,1,85,-1,-1,02-02-23-12-26,-,2021-02-03 07:18:49,761604b9-2e98-469c-8ca5-5d1134b6fb17,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-50,7.780799,,169.254.76.1,1,50,20,16:8B:FF:2E:1D:38,ed2b5752-1fcd-4ebf-a7aa-df72228f7712,2021-02-03 07:18:15,30,2,64,50,-1,02-02-23-12-5,out/02-02-23-18/bit1_samples50,2021-02-03 07:19:08,ecd52090-c0d3-4897-9382-852d4401b283,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-42,7.994761,,169.254.76.1,1,42,2,3A:1F:D3:59:C3:D7,ceb2a93a-765d-4682-9992-d1df693d267c,2021-02-03 07:18:15,30,3,42,39,10,02-02-23-12-10,-,2021-02-03 07:19:08,eee3db10-1b96-471e-a98a-375face36d71,-,out/02-02-23-18/bit0_samples42,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-14,7.845507,,169.254.76.1,1,14,21,F2:3D:76:CB:75:D2,52696b7b-94b9-4599-a547-32f9e7d9dc2a,2021-02-03 07:18:15,30,2,59,14,-1,02-02-23-12-46,out/02-02-23-18/bit1_samples14,2021-02-03 07:19:08,218ed3cd-07d3-4d00-b90f-451ed12e3ae3,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-90,7.830769,,169.254.76.1,1,90,18,1E:DF:C9:BE:6C:9E,b1d2f29f-1587-4aed-bcc3-c307b1e61db5,2021-02-03 07:18:15,30,3,90,78,23,02-02-23-12-15,-,2021-02-03 07:19:08,9c8c5d4d-7626-462c-9ee7-3aaa028db8e4,-,out/02-02-23-18/bit0_samples90,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-53,7.828931,,169.254.76.1,1,53,-,AE:24:A7:AD:10:EC,3dbad7a2-9bae-4d79-ba85-3be2c96f2c72,2021-02-03 07:18:15,20,1,53,-1,-1,02-02-23-12-98,-,2021-02-03 07:18:49,39798615-c051-442c-892e-063b602dad9f,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-47,8.123197,,169.254.76.1,1,47,17,1A:BC:BE:3E:00:C6,08e05c27-a199-427f-96e3-2aa1c987130d,2021-02-03 07:18:15,30,3,55,47,35,02-02-23-12-84,out/02-02-23-18/bit1_samples47,2021-02-03 07:19:08,7489e8ed-7857-4e02-965b-8a457f7c8cd9,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-18,8.031673,,169.254.76.1,1,18,-,06:E2:CC:71:66:00,18984c94-39ba-4f3c-a8be-18094bfd78e5,2021-02-03 07:18:15,30,3,97,68,51,02-02-23-12-96,-,2021-02-03 07:18:59,5454d751-4ea8-493c-a670-e58ad7bdd4ce,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-24,7.997657,,169.254.76.1,1,24,-,AA:A4:C4:18:40:97,c2800c9d-c313-4dc7-8d45-edf99bae8ce3,2021-02-03 07:18:15,30,3,48,38,24,02-02-23-12-8,-,2021-02-03 07:18:59,935bb778-04d1-4883-a5bf-933e64679feb,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-15,7.826780,,169.254.76.1,1,15,-,6A:13:9D:10:07:B4,134c2a9f-9511-43d7-ba70-c3ee0472f685,2021-02-03 07:18:15,30,3,48,38,24,02-02-23-12-28,-,2021-02-03 07:18:59,0c50e788-29ab-4ab1-aa97-8a3d8dedabd4,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-13,7.952557,,169.254.76.1,1,13,22,FE:0F:32:56:D1:30,edba4291-39f4-4696-a6ab-3a9ef9784d69,2021-02-03 07:18:15,30,2,71,13,-1,02-02-23-12-72,out/02-02-23-18/bit1_samples13,2021-02-03 07:19:08,d6c6a1b9-e8e3-475f-938a-70e2a7f01496,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-49,7.810752,,169.254.76.1,1,49,3,FA:7C:02:16:DD:BA,9ec1d89b-2032-42b9-8d90-4d426cae8371,2021-02-03 07:18:15,30,3,52,49,8,02-02-23-12-81,out/02-02-23-18/bit1_samples49,2021-02-03 07:19:08,12a75932-e10a-4764-862c-fc58103815a7,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-68,7.852424,,169.254.76.1,1,68,7,9A:A3:60:4B:1C:A3,ba614758-d03c-4f1a-934a-4cbe075ac57e,2021-02-03 07:18:15,30,3,97,68,51,02-02-23-12-47,out/02-02-23-18/bit1_samples68,2021-02-03 07:19:08,386923f4-76c9-48bd-a4b2-0e4aa78c4a1d,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-98,8.454725,,169.254.76.1,1,98,23,A2:7B:63:71:A1:56,a6372746-14fd-4d88-8b5d-6d1a00c4e88f,2021-02-03 07:18:15,30,2,98,75,-1,02-02-23-12-89,-,2021-02-03 07:19:08,808b3c29-31fc-46f9-88bd-3caa111dbe9a,-,-,Yes,DEFAULT,-,-
