Mean,Median,50tile,80tile,90tile
18064.347826086956,19100,19100.0,19182.4,19246.2
18766.739130434784,19137,19137.0,19191.4,19231.2
17865.53846153846,19075.5,19075.5,19145.0,19184.5
19047.777777777777,19104.5,19104.5,19380.2,19593.2
19133.3,19093.5,19093.5,19153.6,19248.399999999998
18451.40740740741,19116,19116.0,19267.6,19426.6
18157.4,19077,19077.0,19126.0,19154.6
18462.333333333332,19093,19093.0,19141.6,19508.6
17870.76923076923,19085.0,19085.0,19144.0,19258.0
18287.125,19090.0,19090.0,19145.0,19172.0
