Logs,Boot ID,MAC Address,Base Sample,Phase 1,Phases,Bit Sample,Start Time,End Time,Id,Request ID,Success,Error
out/05-07-14-00/log,d17cc5df-2fed-46f8-9d39-3f32af7c22a4,D2:65:B6:D7:40:60,out/05-07-14-00/base_samples71,241,1,out/05-07-14-00/bit_samples71,2020-05-07 20:59:46,2020-05-07 20:59:59,71,ca25d684-4ba4-40ea-867a-a3c8841680ef,1,
out/05-07-14-00/log,24de953a-18c9-4294-8418-a39df12850ff,52:BB:3A:3B:6C:E6,out/05-07-14-00/base_samples1,51,1,out/05-07-14-00/bit_samples1,2020-05-07 20:59:46,2020-05-07 20:59:59,1,e7a91675-1170-4edb-9f43-b4d4c06fa015,1,
out/05-07-14-00/log,3218cff9-a2c4-4df1-bf22-fcbc18a0632f,1A:2A:34:C7:E7:69,out/05-07-14-00/base_samples221,389,1,out/05-07-14-00/bit_samples221,2020-05-07 20:59:46,2020-05-07 20:59:59,221,9b308809-1682-4bb4-8f56-e4e39b9c6646,1,
out/05-07-14-00/log,6902b62c-ce08-465e-acab-54e974eb22e3,46:C6:8E:F8:5E:84,out/05-07-14-00/base_samples201,231,1,out/05-07-14-00/bit_samples201,2020-05-07 20:59:46,2020-05-07 21:00:00,201,7905a700-747d-4556-8b8d-6d71b97b827b,1,
out/05-07-14-00/log,711655eb-aab4-40d6-b7f1-8f19388702cb,8E:DC:A9:C0:41:D9,out/05-07-14-00/base_samples51,51,1,out/05-07-14-00/bit_samples51,2020-05-07 20:59:46,2020-05-07 21:00:00,51,4d514502-fd34-45d0-bae9-661317cda164,1,
out/05-07-14-00/log,94a8889a-31c9-4070-bb85-f41111ed68aa,5E:8C:78:35:48:DE,out/05-07-14-00/base_samples281,281,1,out/05-07-14-00/bit_samples281,2020-05-07 20:59:46,2020-05-07 21:00:00,281,9ff87f06-ce36-4a00-a6ec-1c9f9e4dffc9,1,
out/05-07-14-00/log,5cb38f48-76fc-4a83-a2eb-f7ecee218829,8E:C6:87:E0:13:4A,out/05-07-14-00/base_samples21,351,1,out/05-07-14-00/bit_samples21,2020-05-07 20:59:46,2020-05-07 21:00:00,21,2e814062-a8fb-4589-bd57-f4283c67f0d5,1,
out/05-07-14-00/log,71479b34-a66b-40fa-a1ff-d00f98b53268,26:A3:61:E5:61:43,out/05-07-14-00/base_samples91,351,1,out/05-07-14-00/bit_samples91,2020-05-07 20:59:46,2020-05-07 21:00:00,91,1ec60948-41f0-462b-838b-eb00d7891cb3,1,
out/05-07-14-00/log,a0355bfe-9563-4e7f-ac75-672544a726e8,22:FA:02:09:36:D4,out/05-07-14-00/base_samples391,391,1,out/05-07-14-00/bit_samples391,2020-05-07 20:59:46,2020-05-07 21:00:00,391,c565c354-e6fd-4e53-90e8-9133f5738f49,1,
out/05-07-14-00/log,75c8f9f9-8c82-4fdd-8e4e-1e861855b368,6E:1A:AA:F3:A1:31,out/05-07-14-00/base_samples301,301,1,out/05-07-14-00/bit_samples301,2020-05-07 20:59:46,2020-05-07 21:00:00,301,3e156705-cb69-419a-bdec-d108e49e2f92,1,
