GUID,Success,Id,Boot ID,End Time,Request ID,Start Time,Phases,Phase 1,Phase 2,Phase 3,Logs,Base Sample,Predecessors,Bit-1 Sample,Bit-0 Sample,Bit-1 Pvalue,Error,Bit-0 Pvalue,MAC Address,Warm Start,Account
10-10-12-03-711,1,711,ced29b6d-9e5e-4e51-9c79-487ce6341063,2020-10-10 19:05:34,9eeec190-2954-4425-ac94-cb6dcf0fba20,2020-10-10 19:03:43,3,918,918,918,out/10-10-12-03/log,out/10-10-12-03/base_samples711,,out/10-10-12-03/bit1_samples711,out/10-10-12-03/bit0_samples711,7.46965725411695,,0.239968483142821,7A:52:87:27:F4:72,No,017371402075
10-10-12-03-521,1,521,0729945f-1791-46c7-9f6f-bfbbc3493ec5,2020-10-10 19:05:34,dd3440dc-1cc1-4df2-b604-2c7ae4b1659c,2020-10-10 19:03:40,3,942,942,942,out/10-10-12-03/log,out/10-10-12-03/base_samples521,,out/10-10-12-03/bit1_samples521,out/10-10-12-03/bit0_samples521,6.4324714887549,,0.389824247655266,02:C3:9D:C2:00:98,No,017371402075
10-10-12-03-407,1,407,f11114d6-f241-4379-94e8-3344dcf33f31,2020-10-10 19:05:34,c6fe8234-5481-4865-9272-fd97af8a9388,2020-10-10 19:03:36,3,989,989,989,out/10-10-12-03/log,out/10-10-12-03/base_samples407,,out/10-10-12-03/bit1_samples407,out/10-10-12-03/bit0_samples407,8.9549856228457,,0.370817582962966,C6:02:6F:3D:99:E3,No,017371402075
10-10-12-03-876,1,876,d0bb3c3d-45fd-41e7-b376-6e8026e3ed8a,2020-10-10 19:05:34,aa8cb71b-d37d-4fb2-87a6-cc4a72f686d6,2020-10-10 19:03:43,3,876,876,876,out/10-10-12-03/log,out/10-10-12-03/base_samples876,,out/10-10-12-03/bit1_samples876,out/10-10-12-03/bit0_samples876,0,,0.164659138805871,5E:55:6F:46:AA:40,No,017371402075
10-10-12-03-455,1,455,d9143a1a-2beb-4a81-8e60-82fd6252821e,2020-10-10 19:05:34,e7de7803-9e96-4018-ba50-032d59068a3f,2020-10-10 19:03:36,3,940,940,940,out/10-10-12-03/log,out/10-10-12-03/base_samples455,,out/10-10-12-03/bit1_samples455,out/10-10-12-03/bit0_samples455,7.89930866236296,,0.355772725305808,CA:01:27:75:13:0C,No,017371402075
10-10-12-03-481,1,481,9961c973-6438-4843-9d3c-805bf2072fbc,2020-10-10 19:05:34,e7c9e0e9-d3fe-4ce8-bea2-2b80ba4941d5,2020-10-10 19:03:36,3,742,742,742,out/10-10-12-03/log,out/10-10-12-03/base_samples481,,out/10-10-12-03/bit1_samples481,out/10-10-12-03/bit0_samples481,7.85634410621768,,0.264661222713404,66:33:A2:A8:5E:FE,No,017371402075
10-10-12-03-486,1,486,c5558669-2a34-41fb-a9c7-6b0c54767a51,2020-10-10 19:05:34,eef14959-434f-4c03-b8cf-b9124ca64012,2020-10-10 19:03:43,3,972,972,972,out/10-10-12-03/log,out/10-10-12-03/base_samples486,,out/10-10-12-03/bit1_samples486,out/10-10-12-03/bit0_samples486,8.80330263837635,,0.388861020025641,1A:FB:E5:74:DA:71,No,017371402075
10-10-12-03-166,1,166,b25a433d-1cb7-475f-a2bf-3d75665da924,2020-10-10 19:05:34,8a9bcfab-fb6b-4a22-9e12-9ca767dbf2de,2020-10-10 19:03:41,3,994,994,994,out/10-10-12-03/log,out/10-10-12-03/base_samples166,,out/10-10-12-03/bit1_samples166,out/10-10-12-03/bit0_samples166,8.66971630338185,,0.38876772062245,BA:F7:12:3C:0E:3E,No,017371402075
10-10-12-03-617,1,617,babf4e7c-247c-40bd-9d60-f4049448f761,2020-10-10 19:05:34,4b2b41f2-b1ef-45a4-915d-5cb2e0b05ac1,2020-10-10 19:03:39,3,998,998,998,out/10-10-12-03/log,out/10-10-12-03/base_samples617,,out/10-10-12-03/bit1_samples617,out/10-10-12-03/bit0_samples617,6.77421205435955,,0.266054929192887,B2:F0:10:02:A2:F9,No,017371402075
10-10-12-03-937,1,937,9761b6c1-3bd1-4a57-8ae6-285c14a33d43,2020-10-10 19:05:34,59d7fdfd-8fcc-44a8-b117-eada9addfd91,2020-10-10 19:03:43,3,975,975,975,out/10-10-12-03/log,out/10-10-12-03/base_samples937,,out/10-10-12-03/bit1_samples937,out/10-10-12-03/bit0_samples937,6.09925462906069,,0.217953681660236,D2:BD:09:E5:EC:43,No,017371402075
