Logs,Boot ID,MAC Address,Phase 3,Phase 2,Phase 1,Phases,Start Time,End Time,Id,Request ID,Success,Error,Base Sample,Bit Sample
out/05-21-15-09/log,1d581257-eb9e-45f4-9529-b81fc818f54f,62:82:B9:0C:6A:29,142,142,142,3,2020-05-21 22:09:04,2020-05-21 22:09:31,142,6cd7ad82-eb9a-4019-a8e1-84d9645838e4,1,,-,-
out/05-21-15-09/log,61aaacba-b7fb-4273-9519-fcffafb932e9,CE:52:C1:FE:90:48,140,132,140,3,2020-05-21 22:09:04,2020-05-21 22:09:31,82,776288e3-15c8-42a0-936a-80b707053f42,1,,-,-
out/05-21-15-09/log,e1904897-75ea-448f-b29a-4096b474805f,36:84:F0:21:A1:E5,122,122,65,3,2020-05-21 22:09:04,2020-05-21 22:09:31,10,79d8b3ff-4176-45d4-81cc-ce8992d2fc29,1,,-,-
out/05-21-15-09/log,21ec7fcf-6ed9-4c81-9552-aa2c61920931,86:7F:81:5E:FD:DD,118,189,146,3,2020-05-21 22:09:04,2020-05-21 22:09:31,118,28a6dc8d-decd-4c25-92ed-c9075d69b09a,1,,-,-
out/05-21-15-09/log,b60957e7-6476-47c9-a76d-a64c7bdc33f1,C6:CB:A7:E4:EA:8F,128,160,240,3,2020-05-21 22:09:04,2020-05-21 22:09:31,102,e1fb6c2e-d3bc-4efd-ade7-49d9e73aa5ea,1,,-,-
out/05-21-15-09/log,19eb2715-c81d-4b5e-b02b-7adcf3a71e57,EE:EF:12:E0:CE:B4,110,110,110,3,2020-05-21 22:09:04,2020-05-21 22:09:31,110,50f8c6d1-56a2-479f-b5f7-481a6157a63e,1,,-,-
out/05-21-15-09/log,9a69f434-eeef-4110-9103-b2cf0501b250,96:F1:94:77:C7:94,8,8,8,3,2020-05-21 22:09:04,2020-05-21 22:09:31,8,fd9b2947-f328-4bc5-bce5-f6dcead10fe1,1,,-,-
out/05-21-15-09/log,9a08c6d9-c197-4e08-a1e0-753747812029,4E:FA:A3:42:49:AA,160,164,50,3,2020-05-21 22:09:04,2020-05-21 22:09:31,50,7fe023af-49b4-4bda-86cf-879c0d3d3b36,1,,-,-
out/05-21-15-09/log,76bdd5c7-081b-4d0c-a19a-869f2dce984b,9A:B8:E3:C9:40:98,154,78,78,3,2020-05-21 22:09:04,2020-05-21 22:09:31,78,b22b3f7a-066e-469d-bc3a-2e5ea2b8ce4a,1,,-,-
out/05-21-15-09/log,1ad625da-25b7-4017-a8bd-df55cbc88878,22:45:C9:93:CE:9A,174,174,174,3,2020-05-21 22:09:04,2020-05-21 22:09:31,174,b0f1c82d-c583-4eb7-a50d-74522c8d5d02,1,,-,-
