start_time,Boot ID,UP Time 1,File NR 1,MAC Addr,nr_active_anon,nr_inactive_file,IP,max_value,avg_value,memory_time
1575245058252,aa48ec26-41a2-4e8c-bf2e-ca556bd055fd,2955.21,320,d6:e6:ae:cf:91:65,15503,13978,169.254.23.197,0.16330337524414062,0.16114073991775513,0.7159366607666016
1575245069932,aa48ec26-41a2-4e8c-bf2e-ca556bd055fd,2966.89,320,d6:e6:ae:cf:91:65,15503,13978,169.254.23.197,0.17737197875976562,0.16871272722880046,0.7414782047271729
1575245082084,aa48ec26-41a2-4e8c-bf2e-ca556bd055fd,2979.04,320,d6:e6:ae:cf:91:65,15506,13978,169.254.23.197,0.16390562057495117,0.16103795766830445,0.7349474430084229
1575245093858,aa48ec26-41a2-4e8c-bf2e-ca556bd055fd,2990.81,320,d6:e6:ae:cf:91:65,15506,13978,169.254.23.197,0.1608412265777588,0.1603138248125712,0.7342591285705566
1575245105463,aa48ec26-41a2-4e8c-bf2e-ca556bd055fd,3002.42,320,d6:e6:ae:cf:91:65,15506,13978,169.254.23.197,0.1734614372253418,0.16206245024998983,0.7158548831939697
1575245117133,aa48ec26-41a2-4e8c-bf2e-ca556bd055fd,3014.09,320,d6:e6:ae:cf:91:65,15506,13978,169.254.23.197,0.1641523838043213,0.16334054470062256,0.7198455333709717
1575245128974,aa48ec26-41a2-4e8c-bf2e-ca556bd055fd,3025.93,320,d6:e6:ae:cf:91:65,15507,13978,169.254.23.197,0.16195464134216309,0.16087825695673624,0.7337782382965088
1575245140583,aa48ec26-41a2-4e8c-bf2e-ca556bd055fd,3037.54,320,d6:e6:ae:cf:91:65,15508,13978,169.254.23.197,0.17038488388061523,0.16941836675008137,0.719383716583252
1575245152700,aa48ec26-41a2-4e8c-bf2e-ca556bd055fd,3049.65,320,d6:e6:ae:cf:91:65,15510,13978,169.254.23.197,0.17824435234069824,0.17005211114883423,0.7167060375213623
1575245164824,aa48ec26-41a2-4e8c-bf2e-ca556bd055fd,3061.78,320,d6:e6:ae:cf:91:65,15510,13978,169.254.23.197,0.17188382148742676,0.16983819405237835,0.7211959362030029
1575245177109,aa48ec26-41a2-4e8c-bf2e-ca556bd055fd,3074.06,320,d6:e6:ae:cf:91:65,15510,13978,169.254.23.197,0.16515421867370605,0.163556436697642,0.7186906337738037
1575245188918,aa48ec26-41a2-4e8c-bf2e-ca556bd055fd,3085.87,320,d6:e6:ae:cf:91:65,15510,13978,169.254.23.197,0.16823244094848633,0.16522025267283122,0.7265076637268066
1575245200761,aa48ec26-41a2-4e8c-bf2e-ca556bd055fd,3097.72,320,d6:e6:ae:cf:91:65,15510,13978,169.254.23.197,0.18266677856445312,0.17802896499633789,0.7495641708374023
1575245213461,aa48ec26-41a2-4e8c-bf2e-ca556bd055fd,3110.42,320,d6:e6:ae:cf:91:65,15510,13978,169.254.23.197,0.1631002426147461,0.16016973654429117,0.7193419933319092
1575245224945,aa48ec26-41a2-4e8c-bf2e-ca556bd055fd,3121.90,320,d6:e6:ae:cf:91:65,15510,13978,169.254.23.197,0.16477751731872559,0.16350277264912924,0.7203993797302246
1575245236633,aa48ec26-41a2-4e8c-bf2e-ca556bd055fd,3133.59,320,d6:e6:ae:cf:91:65,15510,13978,169.254.23.197,0.16084814071655273,0.15871049563090006,0.7208890914916992
1575245248103,aa48ec26-41a2-4e8c-bf2e-ca556bd055fd,3145.06,320,d6:e6:ae:cf:91:65,15511,13978,169.254.23.197,0.16487812995910645,0.16212111711502075,0.7225189208984375
1575245259717,aa48ec26-41a2-4e8c-bf2e-ca556bd055fd,3156.67,320,d6:e6:ae:cf:91:65,15511,13978,169.254.23.197,0.18120193481445312,0.17533825238545736,0.7481238842010498
1575245272243,aa48ec26-41a2-4e8c-bf2e-ca556bd055fd,3169.20,320,d6:e6:ae:cf:91:65,15511,13978,169.254.23.197,0.1590137481689453,0.1580202341079712,0.723522424697876
1575245283740,aa48ec26-41a2-4e8c-bf2e-ca556bd055fd,3180.70,320,d6:e6:ae:cf:91:65,15511,13978,169.254.23.197,0.16514039039611816,0.16156580050786337,0.7218937873840332
