Logs,GUID,Error,IP Address,Success,Id,CPU CPI,MAC Address,Request ID,Start Time,Protocol Time,Phases,Phase 1,Phase 2,Phase 3,End Time,Boot ID,Predecessors,Base Sample,Bit-1 Sample,Bit-0 Sample,Warm Start,Tag
out/10-16-16-50/log,10-16-16-50-39,,169.254.76.1,1,39,94.566129,52:60:CA:04:7E:E9,3ed18d51-75aa-4b31-a488-dc11015599f5,2020-10-16 23:50:18,19,3,39,39,39,2020-10-16 23:50:42,445b08cc-ec26-4734-9b9c-ca03618fe38e,"10-16-16-42-1,10-16-16-46-1,10-16-16-49-5",-,-,-,Yes,DEFAULT
out/10-16-16-50/log,10-16-16-50-35,,169.254.76.1,1,35,95.961105,DE:51:98:2A:8C:31,3eef43e6-0fd7-481d-9ce3-5522b0aef80e,2020-10-16 23:50:18,18,3,35,35,35,2020-10-16 23:50:42,15b4fb0a-edba-462b-99ff-07ba3a05c962,,-,-,-,No,DEFAULT
out/10-16-16-50/log,10-16-16-50-28,,169.254.76.1,1,28,95.581300,E2:12:C3:88:68:F8,4d1cba9e-e14f-4ffd-b2f3-d9ee536048bf,2020-10-16 23:50:18,19,3,28,28,28,2020-10-16 23:50:41,87c6a14c-73e4-483c-a79f-9c69abcd65b5,,-,-,-,No,DEFAULT
out/10-16-16-50/log,10-16-16-50-23,,169.254.76.1,1,23,95.057018,6A:91:15:02:D8:17,efb6db78-3a35-4041-bb88-8926433e47a4,2020-10-16 23:50:18,19,3,23,23,23,2020-10-16 23:50:42,4bdea994-3838-4b91-9640-f094dccd7485,,-,-,-,No,DEFAULT
out/10-16-16-50/log,10-16-16-50-2,,169.254.76.1,1,2,92.514094,AA:3A:D1:D0:B5:09,4389be6e-133e-4eed-8d6f-d05105b6f231,2020-10-16 23:50:18,19,3,2,2,2,2020-10-16 23:50:42,f3363ccf-99ff-47fd-a65d-0bca1e01662e,,-,-,-,No,DEFAULT
out/10-16-16-50/log,10-16-16-50-20,,169.254.76.1,1,20,95.982760,7A:00:0D:B9:EF:F8,ee318942-8149-4acd-9d0f-21b6fee5eb28,2020-10-16 23:50:18,19,3,20,20,20,2020-10-16 23:50:42,c31c22c6-aabe-46c2-a666-d8ec51c89ae6,10-16-16-49-1,-,-,-,Yes,DEFAULT
out/10-16-16-50/log,10-16-16-50-49,,169.254.76.1,1,49,97.427155,3E:C8:1E:53:F7:70,4150c6a4-13f4-4162-914d-687e9ef3fcd4,2020-10-16 23:50:18,18,3,49,49,49,2020-10-16 23:50:41,9b21280c-05b8-45a5-b77e-a390e8bbc6bf,10-16-16-49-3,-,-,-,Yes,DEFAULT
out/10-16-16-50/log,10-16-16-50-27,,169.254.76.1,1,27,96.033805,FA:F7:F8:4E:A5:9F,fa38454e-fe3c-411f-9900-e8b6c55e921b,2020-10-16 23:50:18,18,3,27,27,27,2020-10-16 23:50:42,d8fa02d2-afbc-4eda-a575-6685229093f5,,-,-,-,No,DEFAULT
out/10-16-16-50/log,10-16-16-50-40,,169.254.76.1,1,40,92.588769,06:19:BD:89:94:AD,2992de21-a7a5-4248-9243-126dc44c45af,2020-10-16 23:50:18,18,3,40,40,40,2020-10-16 23:50:41,f5f197fa-94aa-45b8-9b31-59adfda2da7e,,-,-,-,No,DEFAULT
out/10-16-16-50/log,10-16-16-50-4,,169.254.76.1,1,4,96.039881,F6:82:B7:B7:B6:C9,a89dac60-9c48-45fc-ac04-81d4ac6adfee,2020-10-16 23:50:18,19,3,4,4,4,2020-10-16 23:50:42,c84d5cab-bf8b-4a07-a1c3-a40cb2b645ba,,-,-,-,No,DEFAULT
