In,Start Time,Current Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Exec Time
Both,1575667794632,2500.002,36:57:fd:f0:7c:e6,90.00B,90.00B,24.715620040893555
Both,1575667794638,2500.006,06:dd:a1:a6:16:2e,90.00B,90.00B,24.641842126846313
Both,1575667794634,2500.006,86:a2:7e:4d:e8:2e,176.00B,90.00B,24.64640474319458
Both,1575667794642,2300.014,3e:c8:9c:85:85:7d,90.00B,90.00B,24.718477725982666
Both,1575667794639,2300.014,a6:ab:15:73:0c:f6,90.00B,176.00B,24.69637680053711
Both,1575667794643,2300.014,4e:70:f6:03:96:20,180.00B,90.00B,24.63180112838745
Both,1575667794638,2500.006,de:8e:c5:f1:3a:1b,90.00B,90.00B,24.637906551361084
Both,1575667794632,2500.002,2a:59:64:51:68:bb,90.00B,90.00B,24.69245982170105
Both,1575667794638,2500.006,f6:25:fb:9f:1d:f2,90.00B,90.00B,24.647801637649536
Both,1575667794636,2500.002,06:f8:6b:85:9b:e9,90.00B,90.00B,24.71169424057007
Both,1575667794636,2500.002,0e:2b:b9:d9:66:c7,90.00B,176.00B,24.618884086608887
Both,1575667794641,2300.016,92:9d:b0:80:36:44,90.00B,90.00B,24.634782791137695
Both,1575667794645,2300.014,e2:e5:a6:5f:89:dc,90.00B,90.00B,24.640806198120117
Both,1575667794632,2500.002,66:a5:7f:9a:3b:c1,90.00B,90.00B,24.62423348426819
Both,1575667794635,2500.002,06:de:93:18:06:5a,90.00B,90.00B,24.692737579345703
Both,1575667794636,2500.002,36:eb:da:00:88:b7,90.00B,90.00B,24.69772171974182
Both,1575667794632,2500.002,2a:b5:a6:ce:f5:44,90.00B,90.00B,24.681737899780273
Both,1575667794632,2500.002,ea:d7:b1:3e:88:65,180.00B,90.00B,24.679715156555176
Both,1575667794636,2500.002,66:17:a7:b0:8c:47,176.00B,90.00B,24.676326751708984
Both,1575667794622,2500.012,26:9b:d3:73:7a:5f,90.00B,90.00B,28.94375777244568
Both,1575667794621,2500.012,52:98:78:b1:23:84,90.00B,90.00B,28.95585584640503
Both,1575667794622,2500.012,72:24:2a:45:93:35,90.00B,90.00B,28.94712543487549
Both,1575667794628,2500.012,32:4d:29:89:87:55,90.00B,90.00B,28.949648141860962
Both,1575667794623,2500.012,3e:be:0a:15:2b:5a,90.00B,90.00B,28.95150661468506
Both,1575667794628,2500.012,56:97:62:4a:52:59,90.00B,176.00B,28.954103708267212
Both,1575667794623,2500.012,d2:d1:ae:75:44:58,180.00B,90.00B,28.954485416412354
Both,1575667794630,2500.012,32:a8:51:bc:55:84,90.00B,90.00B,28.950064659118652
