In,Start Time,Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Total Time,Exec Time
2300,1575670514984,2300.014,de:b2:02:e9:25:17,90.00B,176.00B,26.083295106887817,20.076387882232666
2300,1575670514858,2300.016,e6:bb:48:1d:72:51,90.00B,90.00B,26.170520305633545,20.163309574127197
2300,1575670514898,2300.014,de:df:c5:04:52:94,90.00B,90.00B,26.097736597061157,20.090851545333862
2300,1575670514950,2300.014,66:eb:09:43:d9:ff,90.00B,90.00B,26.130383729934692,20.123512744903564
2300,1575670514908,2300.014,9a:40:74:7e:68:10,90.00B,180.00B,26.09871220588684,20.091787338256836
2300,1575670514922,2300.016,ea:57:bd:8e:5c:8a,90.00B,90.00B,26.22288703918457,20.216031312942505
2300,1575670514961,2300.016,86:87:74:54:02:46,90.00B,90.00B,26.1917986869812,20.184926509857178
2300,1575670514994,2300.016,b2:6f:97:2a:80:6a,90.00B,90.00B,26.208316564559937,20.20132064819336
2300,1575670514983,2300.014,4e:ed:e4:b3:00:d2,90.00B,90.00B,28.260626792907715,22.25369930267334
2300,1575670514992,2300.016,4e:d9:bd:fe:0d:d2,90.00B,90.00B,28.260088205337524,22.253233671188354
2300,1575670514958,2300.016,de:72:33:a5:37:f9,90.00B,90.00B,28.300233125686646,22.293312072753906
2300,1575670515006,2300.014,86:bd:64:25:4c:64,90.00B,90.00B,28.277087211608887,22.27127742767334
2300,1575670514945,2300.014,6a:5d:6a:42:1d:61,90.00B,90.00B,28.34892988204956,22.34202218055725
2300,1575670515013,2300.016,22:43:50:12:49:9c,90.00B,90.00B,28.28340482711792,22.276304006576538
2300,1575670514949,2300.016,d6:6d:c9:f3:dc:ce,90.00B,90.00B,28.362958192825317,22.356037616729736
2300,1575670515050,2300.014,8a:4c:74:d7:98:79,90.00B,176.00B,28.32880663871765,22.321934461593628
2300,1575670515038,2300.016,92:5a:29:96:01:1b,90.00B,90.00B,28.337241172790527,22.33031463623047
