GUID,Success,Id,Boot ID,End Time,Request ID,Start Time,Phases,Phase 1,Phase 2,Phase 3,Logs,Base Sample,Predecessors,Bit-1 Sample,Bit-0 Sample,Bit-1 Pvalue,Error,Bit-0 Pvalue,MAC Address,Warm Start
09-26-23-00-367,1,367,f8fdf609-1666-440f-96aa-54409016bbc6,2020-09-27 06:02:05,704b5d86-053c-4fa1-8dc7-c1e96b71bf47,2020-09-27 06:00:10,3,367,367,367,out/09-26-23-00/log,out/09-26-23-00/base_samples367,,out/09-26-23-00/bit1_samples367,out/09-26-23-00/bit0_samples367,0,,0.402922825777337,CE:BB:67:CC:AF:C5,No
09-26-23-00-19,1,19,6407820b-2dbb-45e9-93bd-e5b741855d33,2020-09-27 06:02:05,5482099f-1f46-467e-858b-d39bce9ee4ba,2020-09-27 06:00:07,3,390,390,390,out/09-26-23-00/log,out/09-26-23-00/base_samples19,,out/09-26-23-00/bit1_samples19,out/09-26-23-00/bit0_samples19,6.16047334901718,,0.279680839120299,C2:7A:94:35:BD:9D,No
09-26-23-00-779,1,779,e8304a33-efa7-4972-a513-35c4c442d2ce,2020-09-27 06:02:05,e6f76a07-0f27-4449-b5df-5806a94536d2,2020-09-27 06:00:18,3,779,779,779,out/09-26-23-00/log,out/09-26-23-00/base_samples779,,out/09-26-23-00/bit1_samples779,out/09-26-23-00/bit0_samples779,0,,0.445629596338801,0E:07:A5:D6:7E:33,No
09-26-23-00-546,1,546,de75232e-3358-4e90-b63d-53fcf7fb1fca,2020-09-27 06:02:05,2216a10f-915c-4042-a1c5-884650e831c5,2020-09-27 06:00:16,3,615,615,615,out/09-26-23-00/log,out/09-26-23-00/base_samples546,,out/09-26-23-00/bit1_samples546,out/09-26-23-00/bit0_samples546,7.85883970848264,,0.7485378970677,3E:86:4C:81:88:20,No
09-26-23-00-92,1,92,3adcbc41-c8b1-4f1b-873b-6ab72e5fcda2,2020-09-27 06:02:05,494a6d60-41b1-4d32-902e-e824c7cc7c45,2020-09-27 06:00:06,3,554,554,554,out/09-26-23-00/log,out/09-26-23-00/base_samples92,,out/09-26-23-00/bit1_samples92,out/09-26-23-00/bit0_samples92,5.96597451207241,,0.27293328943566,EE:4E:A5:2D:B6:D5,No
09-26-23-00-400,1,400,23c3b3a2-dc0a-4e4a-9bcf-191eb951b0df,2020-09-27 06:02:05,3fc14d94-c71f-4983-a63e-5e665bf4527e,2020-09-27 06:00:11,3,400,400,400,out/09-26-23-00/log,out/09-26-23-00/base_samples400,,out/09-26-23-00/bit1_samples400,out/09-26-23-00/bit0_samples400,0,,0.304622043779185,6A:75:C4:2A:EE:02,No
09-26-23-00-143,1,143,7cd0c49d-0697-4821-aeb7-9344df3dc9ae,2020-09-27 06:02:05,2eabf647-0792-4c06-9492-5ca75508c7c7,2020-09-27 06:00:07,3,143,143,143,out/09-26-23-00/log,out/09-26-23-00/base_samples143,,out/09-26-23-00/bit1_samples143,out/09-26-23-00/bit0_samples143,0,,0.264041678664441,B2:B9:FD:5C:A2:53,No
09-26-23-00-726,1,726,707e19e2-3061-416a-a5df-8afa5cf3b3eb,2020-09-27 06:02:05,48df718a-68a9-4c1c-8909-277613c36c1b,2020-09-27 06:00:19,3,889,889,889,out/09-26-23-00/log,out/09-26-23-00/base_samples726,,out/09-26-23-00/bit1_samples726,out/09-26-23-00/bit0_samples726,5.77984802295558,,0.722196553129664,AA:6B:DE:B8:9F:8B,No
09-26-23-00-583,1,583,6cc88b00-dc0f-4c31-9c53-d9b7d6f40859,2020-09-27 06:02:05,184b462b-60a3-4c39-96ec-adcd742aeae8,2020-09-27 06:00:14,3,583,583,583,out/09-26-23-00/log,out/09-26-23-00/base_samples583,,out/09-26-23-00/bit1_samples583,out/09-26-23-00/bit0_samples583,0,,0.671917027047291,EE:05:87:00:3E:34,No
09-26-23-00-716,1,716,1074eaa6-783d-4ebb-8999-9e6f22d5103c,2020-09-27 06:02:05,cfd6e009-ec5c-4313-aa93-20a1b85382fc,2020-09-27 06:00:17,3,731,731,731,out/09-26-23-00/log,out/09-26-23-00/base_samples716,,out/09-26-23-00/bit1_samples716,out/09-26-23-00/bit0_samples716,6.12555850922061,,0.242244449438823,82:E6:3F:D1:E0:CD,No
09-26-23-00-632,1,632,41f3d795-f1f7-437e-9cd2-fa72644a88f9,2020-09-27 06:02:05,fcfb78ba-c599-404a-bd62-e82ed414e843,2020-09-27 06:00:20,3,637,637,637,out/09-26-23-00/log,out/09-26-23-00/base_samples632,,out/09-26-23-00/bit1_samples632,out/09-26-23-00/bit0_samples632,5.71637362039956,,0.372297670815399,52:7B:26:D0:3A:52,No
