In,Start Time,Node Name,Current Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Total Time,Exec Time
Both,1575690055367,169.254.32.77,2500.008,f6:5d:1a:da:96:71,90.00B,90.00B,24.115453720092773,18.103408575057983
Both,1575690055409,169.254.104.149,2500.006,be:06:79:dc:9e:44,90.00B,90.00B,24.08672332763672,18.074521780014038
Both,1575690055459,169.254.10.125,2500.008,aa:c4:65:ad:3d:4c,90.00B,90.00B,24.04314684867859,18.031131982803345
Both,1575690055396,169.254.241.69,2500.012,c2:27:72:d7:78:69,90.00B,90.00B,24.11017680168152,18.097211599349976
Both,1575690055361,169.254.40.181,2500.004,ee:0a:80:0d:33:2f,90.00B,90.00B,24.144699811935425,18.132719039916992
Both,1575690055288,169.254.161.93,2499.996,f2:60:d5:05:61:c7,176.00B,90.00B,24.196109294891357,18.18392586708069
Both,1575690055457,169.254.243.245,2500.004,c2:5d:ae:09:af:35,90.00B,90.00B,24.05192232131958,18.03979468345642
Both,1575690055452,169.254.6.189,2500.002,92:2d:74:fe:2a:87,90.00B,90.00B,24.052332162857056,18.039979934692383
Both,1575690055355,169.254.17.109,2500.01,82:a0:5c:ff:c0:73,90.00B,90.00B,24.158847332000732,18.14661431312561
Both,1575690055448,169.254.8.61,2500.008,22:c3:97:db:03:9c,90.00B,90.00B,24.064073085784912,18.052093505859375
Both,1575690055383,169.254.123.165,2500.01,0e:6d:65:36:e5:47,90.00B,90.00B,24.130210876464844,18.11796236038208
Both,1575690055489,169.254.162.253,2500.002,62:67:c7:83:25:9e,90.00B,90.00B,24.032408237457275,18.020069122314453
Both,1575690055399,169.254.33.237,2500.008,da:89:79:bc:de:ff,90.00B,90.00B,24.126391410827637,18.11354112625122
Both,1575690055429,169.254.104.181,2500.006,6a:4b:f0:54:c4:4b,90.00B,90.00B,24.092850923538208,18.0806405544281
Both,1575690055425,169.254.86.117,2500.012,46:95:0a:ea:50:5e,90.00B,90.00B,24.111034393310547,18.09886384010315
Both,1575690055387,169.254.85.29,2500.004,ee:f3:2b:61:d7:08,176.00B,90.00B,24.149175882339478,18.136908531188965
Both,1575690055477,169.254.6.237,2500.002,76:0b:bd:6f:7a:bc,90.00B,90.00B,24.05548071861267,18.04693031311035
Both,1575690055492,169.254.10.173,2500.008,0e:10:b5:56:a8:2b,90.00B,90.00B,24.041165351867676,18.029066562652588
Both,1575690055412,169.254.45.173,2500.004,5a:81:c0:ce:3c:62,90.00B,90.00B,24.134106636047363,18.121820211410522
Both,1575690055403,169.254.124.245,2500.01,9e:bd:ba:b1:8c:80,90.00B,90.00B,24.143295288085938,18.13077688217163
Both,1575690055405,169.254.86.21,2500.012,c2:cf:72:c3:82:a1,90.00B,90.00B,24.14209270477295,18.129818439483643
Both,1575690055357,169.254.124.77,2500.006,da:71:21:9c:cb:1a,90.00B,90.00B,24.189944982528687,18.17756152153015
Both,1575690055296,169.254.161.181,2499.996,4e:87:81:07:3e:7d,90.00B,176.00B,24.241961240768433,18.229870080947876
Both,1575690055387,169.254.124.85,2500.01,6e:ab:6d:c1:d0:39,90.00B,90.00B,24.17673349380493,18.16495656967163
Both,1575690055311,169.254.205.93,2500.002,1a:cf:e9:dd:12:82,90.00B,90.00B,24.258574724197388,18.246670961380005
Both,1575690055442,169.254.36.125,2500.004,ba:f6:39:a3:0e:f0,90.00B,90.00B,24.131832122802734,18.119924068450928
Both,1575690055393,169.254.6.45,2499.994,ca:ef:b9:41:55:4f,90.00B,90.00B,24.190356969833374,18.178529024124146
Both,1575690055385,169.254.204.53,2500.012,36:ff:a6:a8:10:eb,90.00B,90.00B,24.204820156097412,18.192383766174316
Both,1575690055331,169.254.161.245,2499.996,76:dc:e0:e3:b3:a2,90.00B,90.00B,24.23578190803528,18.223997116088867
Both,1575690055354,169.254.35.165,2500.004,6a:36:84:7d:66:39,90.00B,90.00B,24.243552923202515,18.23139524459839
Both,1575690055371,169.254.14.117,2500.038,36:b1:1e:c7:72:79,90.00B,90.00B,24.229776620864868,18.217756748199463
Both,1575690055431,169.254.89.149,2500.008,36:f1:1b:fb:95:76,90.00B,90.00B,24.170413494110107,18.15855383872986
Both,1575690055425,169.254.244.5,2500.01,22:c7:56:7a:34:08,90.00B,180.00B,24.177237272262573,18.165001153945923
Both,1575690055349,169.254.204.237,2500.006,6a:22:5d:67:12:3f,90.00B,90.00B,24.255300283432007,18.24321675300598
Both,1575690055469,169.254.45.213,2500.004,6e:e8:be:19:36:4f,90.00B,90.00B,24.134511947631836,18.12177610397339
Both,1575690055434,169.254.109.69,2500.008,d2:61:66:19:e7:50,90.00B,90.00B,24.178813934326172,18.166990756988525
Both,1575690055367,169.254.89.85,2500.008,1e:29:2e:a1:df:f9,90.00B,90.00B,24.248475790023804,18.23682141304016
Both,1575690055469,169.254.46.117,2500.004,8e:57:34:68:21:fc,176.00B,176.00B,24.149874448776245,18.137425899505615
Both,1575690055461,169.254.90.101,2500.008,96:61:98:26:a2:40,90.00B,90.00B,24.16114377975464,18.149182081222534
Both,1575690055421,169.254.86.157,2500.012,6e:42:bb:4a:1a:c4,180.00B,90.00B,24.206644773483276,18.194199323654175
Both,1575690055471,169.254.47.165,2500.004,76:cc:92:ad:c5:de,90.00B,90.00B,24.157252073287964,18.14518666267395
Both,1575690055378,169.254.180.253,2500.012,7e:b7:e7:41:4a:42,90.00B,90.00B,24.25007128715515,18.238177061080933
Both,1575690055479,169.254.110.61,2500.008,92:4c:67:47:91:99,90.00B,90.00B,24.17253017425537,18.1599440574646
Both,1575690055474,169.254.100.149,2500.002,56:01:b8:32:7b:ad,180.00B,90.00B,24.186681032180786,18.174688577651978
Both,1575690055352,169.254.206.149,2500.002,9e:cb:67:21:d0:bf,90.00B,90.00B,24.309088706970215,18.296465158462524
Both,1575690055390,169.254.98.237,2500.01,7a:43:99:f4:f7:9f,90.00B,176.00B,24.273519039154053,18.264127731323242
Both,1575690055443,169.254.207.197,2500.002,26:ab:a9:7a:01:08,90.00B,90.00B,24.229374408721924,18.21745800971985
Both,1575690055502,169.254.110.101,2500.008,9e:05:07:1c:64:eb,90.00B,90.00B,24.173202991485596,18.160958290100098
Both,1575690055437,169.254.181.5,2500.012,2e:2c:50:e3:30:63,90.00B,90.00B,24.23873281478882,18.226727962493896
Both,1575690055439,169.254.162.245,2500.002,2a:aa:2d:37:81:10,90.00B,90.00B,24.251977682113647,18.24001383781433
Both,1575690055461,169.254.99.5,2500.01,b2:07:42:1c:db:76,90.00B,90.00B,24.236844062805176,18.22491979598999
Both,1575690055488,169.254.205.213,2500.012,e2:30:f4:27:c6:e5,90.00B,90.00B,24.220876693725586,18.208522081375122
Both,1575690055444,169.254.162.237,2500.002,26:e5:a9:ba:1e:3c,176.00B,90.00B,24.26693630218506,18.254854202270508
Both,1575690055498,169.254.99.61,2500.01,4a:ae:6d:a9:37:5f,90.00B,90.00B,24.221089124679565,18.209160804748535
Both,1575690055462,169.254.208.229,2500.002,62:31:80:f3:0b:3f,180.00B,90.00B,24.25727868080139,18.245535612106323
Both,1575690055476,169.254.205.101,2500.006,4a:2a:db:44:23:21,90.00B,90.00B,24.250445127487183,18.238240957260132
Both,1575690055463,169.254.162.205,2499.996,2e:be:f6:32:f1:ce,90.00B,90.00B,24.251587629318237,18.239284992218018
Both,1575690055453,169.254.181.13,2500.012,02:66:b0:c0:9d:cf,90.00B,90.00B,24.315335273742676,18.303290843963623
Both,1575690056388,169.254.108.181,2500.01,2e:ea:22:80:e1:e5,90.00B,90.00B,24.23834776878357,18.226290941238403
