In,Start Time,Node Name,Current Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Total Time,Exec Time
Both,1575690055063,169.254.174.53,2500.002,ce:fd:be:7a:f8:25,90.00B,176.00B,23.862748384475708,17.850718021392822
Both,1575690055059,169.254.71.245,2500.012,4a:a4:17:d4:aa:e0,90.00B,90.00B,23.871160745620728,17.858795166015625
Both,1575690054983,169.254.104.253,2500.01,b6:c0:49:66:e2:e8,90.00B,90.00B,23.939247608184814,17.92704486846924
Both,1575690055003,169.254.5.109,2500.002,c2:a4:03:4f:8b:30,90.00B,90.00B,23.941468000411987,17.929620265960693
Both,1575690055003,169.254.98.109,2500.01,de:b5:ac:82:6a:0c,90.00B,90.00B,23.942919969558716,17.930619478225708
Both,1575690055141,169.254.46.181,2500.004,6a:22:ed:60:68:5d,90.00B,90.00B,23.81338882446289,17.800646543502808
Both,1575690054974,169.254.5.61,2499.994,6a:fa:8e:ed:28:7c,90.00B,90.00B,23.99383306503296,17.984899759292603
Both,1575690055057,169.254.93.85,2500.008,8e:a5:07:71:ca:e8,90.00B,90.00B,23.911439657211304,17.899397611618042
Both,1575690054999,169.254.242.45,2500.01,42:15:20:c2:58:09,90.00B,90.00B,23.970593690872192,17.95824933052063
Both,1575690055003,169.254.88.117,2500.008,9e:91:e8:a9:7e:2b,90.00B,90.00B,23.97837471961975,17.965920448303223
Both,1575690054999,169.254.243.117,2500.004,c6:d8:2e:6d:b8:ae,90.00B,90.00B,23.959685564041138,17.947240829467773
Both,1575690055075,169.254.123.53,2500.006,42:61:8d:6d:7d:79,90.00B,90.00B,23.907585620880127,17.895529747009277
Both,1575690055108,169.254.17.109,2500.01,26:1b:d3:9c:7b:7f,90.00B,90.00B,23.87656569480896,17.864312648773193
Both,1575690055105,169.254.72.45,2500.012,9a:72:cf:4a:a7:af,90.00B,180.00B,23.889204263687134,17.880005836486816
Both,1575690055007,169.254.5.157,2500.002,26:af:5f:15:66:1c,90.00B,90.00B,23.995990991592407,17.984285593032837
Both,1575690055057,169.254.5.205,2500.002,1e:11:08:ed:58:97,90.00B,90.00B,23.9468514919281,17.934509754180908
Both,1575690055078,169.254.17.13,2500.01,ee:2f:f2:25:23:c4,90.00B,90.00B,23.928565979003906,17.916561126708984
Both,1575690055048,169.254.153.245,2500.012,96:0f:e1:73:11:a3,180.00B,176.00B,23.959240436553955,17.946460247039795
Both,1575690055053,169.254.170.245,2500.0,e2:9a:ac:c7:5c:fc,90.00B,176.00B,23.9608314037323,17.946378231048584
Both,1575690054990,169.254.110.141,2500.002,ba:a6:4f:75:f5:4c,90.00B,90.00B,24.024914741516113,18.012936115264893
Both,1575690054985,169.254.9.97,2500.008,56:43:45:97:5c:48,90.00B,90.00B,24.038057565689087,18.02637028694153
Both,1575690055050,169.254.186.157,2500.01,a6:d0:40:41:3d:50,90.00B,90.00B,23.97557258605957,17.9637713432312
Both,1575690054998,169.254.9.141,2500.008,46:37:b1:23:3d:48,90.00B,90.00B,24.031496286392212,18.019705533981323
Both,1575690054992,169.254.13.221,2500.01,6e:21:13:c3:ab:29,90.00B,90.00B,24.036959886550903,18.024953842163086
Both,1575690055020,169.254.110.229,2500.002,e6:1b:33:78:ee:82,90.00B,90.00B,24.007784128189087,17.997875690460205
Both,1575690055028,169.254.112.85,2500.002,4e:47:44:9f:9f:39,90.00B,90.00B,24.00567388534546,17.9933865070343
Both,1575690055118,169.254.93.117,2500.008,4e:8f:9f:c2:50:3a,90.00B,90.00B,23.91823959350586,17.906022548675537
Both,1575690054998,169.254.178.149,2500.006,12:64:9e:f2:43:46,90.00B,176.00B,24.033451557159424,18.021275997161865
Both,1575690055104,169.254.35.253,2500.0,7e:2a:f2:88:54:92,90.00B,90.00B,23.921076774597168,17.90891981124878
Both,1575690055046,169.254.9.193,2500.008,92:4a:a1:4a:99:3c,90.00B,90.00B,23.982742071151733,17.970754861831665
Both,1575690055104,169.254.37.29,2500.0,4a:f1:58:66:5b:20,90.00B,90.00B,23.94202756881714,17.9294593334198
Both,1575690054989,169.254.179.149,2500.012,2a:6a:44:0b:2b:14,90.00B,90.00B,24.055315256118774,18.043076515197754
Both,1575690055062,169.254.17.61,2500.01,e6:40:18:1c:59:4c,90.00B,90.00B,23.98827815055847,17.975762128829956
Both,1575690055105,169.254.239.165,2500.004,b6:de:9c:34:6f:64,90.00B,90.00B,23.949626207351685,17.937381505966187
Both,1575690055085,169.254.172.213,2500.0,3e:d3:5a:bd:87:e3,90.00B,90.00B,23.966785430908203,17.954445600509644
Both,1575690055089,169.254.161.181,2500.01,de:f2:1e:d5:fd:1c,90.00B,90.00B,23.967232704162598,17.955238580703735
Both,1575690055065,169.254.161.141,2500.01,1a:46:2c:bd:63:04,90.00B,90.00B,24.0018310546875,17.9896023273468
Both,1575690055111,169.254.105.5,2500.01,9a:d9:db:a0:46:86,90.00B,90.00B,23.94905996322632,17.936742067337036
Both,1575690055055,169.254.8.61,2500.006,06:c5:48:18:47:72,176.00B,176.00B,24.014416456222534,18.0019314289093
Both,1575690055010,169.254.150.221,2500.01,0a:e9:5d:42:e2:43,90.00B,90.00B,24.064972162246704,18.052913188934326
Both,1575690055097,169.254.65.61,2500.002,3e:d8:51:47:41:25,90.00B,90.00B,23.98441195487976,17.971856117248535
Both,1575690055075,169.254.112.141,2500.002,26:f3:04:6f:27:44,90.00B,90.00B,24.007936477661133,17.995710134506226
Both,1575690055111,169.254.105.13,2500.01,12:2b:34:d8:3f:8a,90.00B,180.00B,23.958877086639404,17.946433782577515
Both,1575690055110,169.254.65.157,2500.002,4e:87:8f:16:3c:e1,90.00B,90.00B,23.977614164352417,17.965632438659668
Both,1575690055049,169.254.5.253,2500.002,16:7e:95:01:a9:00,90.00B,90.00B,24.038249731063843,18.025994300842285
Both,1575690055089,169.254.84.245,2500.004,22:6f:93:ee:ac:d2,90.00B,90.00B,24.003838300704956,17.99130344390869
Both,1575690055032,169.254.8.9,2500.006,a6:8a:1a:c4:c7:d5,90.00B,90.00B,24.061344623565674,18.048779487609863
Both,1575690055111,169.254.162.197,2500.01,d2:fc:b9:ae:67:e7,90.00B,90.00B,23.98987579345703,17.977209329605103
Both,1575690055137,169.254.153.253,2500.012,16:5c:3e:5d:3c:a2,90.00B,90.00B,23.962023496627808,17.9499294757843
Both,1575690054981,169.254.39.13,2500.004,f6:0b:fa:cc:7f:8e,90.00B,90.00B,24.12356686592102,18.11168336868286
Both,1575690054989,169.254.120.117,2500.01,f2:40:14:f1:24:31,90.00B,90.00B,24.118485927581787,18.106507062911987
Both,1575690055080,169.254.8.109,2500.006,82:7a:e4:56:9c:b9,90.00B,90.00B,24.026761770248413,18.01491928100586
Both,1575690055090,169.254.64.197,2500.002,f2:8e:57:5a:31:97,90.00B,90.00B,24.019323348999023,18.007469177246094
Both,1575690054995,169.254.150.149,2500.01,8e:7c:d2:b8:6c:b8,90.00B,90.00B,24.114202976226807,18.101669788360596
Both,1575690055087,169.254.5.157,2499.994,ca:a7:7d:d2:cd:da,90.00B,180.00B,24.024457216262817,18.012415647506714
Both,1575690055105,169.254.8.161,2500.006,4e:04:af:1f:fd:63,90.00B,90.00B,24.0091769695282,17.9977023601532
Both,1575690055122,169.254.203.165,2500.012,42:f7:d2:1b:0e:ed,90.00B,90.00B,24.00014066696167,17.98797631263733
Both,1575690055102,169.254.83.93,2500.012,12:6c:b8:fa:da:06,90.00B,90.00B,24.02022385597229,18.00704550743103
Both,1575690055080,169.254.240.5,2500.012,ba:a1:cf:c9:41:80,90.00B,90.00B,24.047171592712402,18.032618284225464
Both,1575690055067,169.254.16.225,2500.01,2e:0c:8a:10:a3:16,90.00B,90.00B,24.062403917312622,18.04990315437317
Both,1575690055071,169.254.9.233,2500.008,7e:16:07:a1:14:44,176.00B,90.00B,24.063377141952515,18.05094289779663
Both,1575690055110,169.254.158.253,2500.006,26:4d:95:ac:75:57,90.00B,90.00B,24.023751974105835,18.01138949394226
Both,1575690054986,169.254.40.53,2500.004,1a:93:04:b1:20:cc,90.00B,90.00B,24.15110945701599,18.139384031295776
Both,1575690055099,169.254.6.49,2500.002,ca:17:e3:ec:d6:ac,90.00B,90.00B,24.038022756576538,18.026262521743774
Both,1575690055010,169.254.106.173,2500.008,56:53:48:3b:0d:9c,90.00B,90.00B,24.12882161140442,18.11709761619568
Both,1575690055077,169.254.30.245,2500.008,f2:15:b8:73:96:87,90.00B,90.00B,24.062530517578125,18.05017852783203
Both,1575690055077,169.254.7.77,2500.008,ca:7b:a1:4d:5b:5b,90.00B,90.00B,24.070085763931274,18.05829882621765
Both,1575690055014,169.254.40.85,2500.004,12:f7:bd:fb:2a:2c,90.00B,90.00B,24.122965097427368,18.11042308807373
Both,1575690055118,169.254.112.221,2500.002,a6:be:a8:6f:4a:8e,90.00B,90.00B,24.027761697769165,18.01571798324585
Both,1575690055003,169.254.99.101,2500.002,6e:a5:98:48:a7:05,90.00B,90.00B,24.142743587493896,18.130515336990356
Both,1575690055028,169.254.7.29,2500.008,6a:42:c4:f3:34:cd,90.00B,90.00B,24.120362997055054,18.108243942260742
Both,1575690055078,169.254.10.29,2500.008,3a:d9:72:bd:0a:42,90.00B,90.00B,24.071314811706543,18.059308528900146
Both,1575690054989,169.254.40.61,2500.004,06:91:d4:eb:b1:bd,90.00B,90.00B,24.173270225524902,18.161182165145874
Both,1575690055035,169.254.30.93,2500.008,c6:86:f6:c5:d4:e8,90.00B,90.00B,24.129597425460815,18.116758584976196
Both,1575690055035,169.254.120.109,2500.01,16:f0:c3:c8:32:a6,90.00B,90.00B,24.14184546470642,18.12937617301941
Both,1575690055106,169.254.82.101,2500.012,5e:aa:ac:b4:e2:5a,90.00B,176.00B,24.05414891242981,18.042052268981934
Both,1575690055000,169.254.106.141,2500.008,a6:b2:cc:4c:76:9b,90.00B,90.00B,24.177441358566284,18.165445804595947
Both,1575690055046,169.254.88.149,2500.008,d2:c1:d0:8e:b9:a7,90.00B,90.00B,24.141173124313354,18.12911081314087
Both,1575690055065,169.254.120.157,2500.01,22:52:88:d2:cb:1c,90.00B,90.00B,24.12561583518982,18.113353729248047
Both,1575690055069,169.254.16.185,2500.01,d2:e6:15:f9:b6:26,180.00B,90.00B,24.122912645339966,18.11036205291748
Both,1575690055100,169.254.123.93,2500.006,ba:12:9e:af:b9:aa,90.00B,90.00B,24.094669818878174,18.082540035247803
Both,1575690055082,169.254.151.189,2500.01,a6:55:c7:8b:87:b4,180.00B,90.00B,24.11017155647278,18.098066329956055
Both,1575690055122,169.254.113.117,2500.002,72:3c:ab:c2:22:88,90.00B,90.00B,24.072962999343872,18.060794353485107
Both,1575690055009,169.254.203.93,2500.012,9a:7f:8a:63:e8:5b,90.00B,90.00B,24.192475080490112,18.180472373962402
Both,1575690055116,169.254.180.85,2500.012,4a:a3:aa:8a:c8:bd,90.00B,90.00B,24.08564853668213,18.07283639907837
Both,1575690055103,169.254.243.189,2500.004,22:82:d2:50:55:5f,180.00B,90.00B,24.098623514175415,18.08648419380188
Both,1575690054994,169.254.205.85,2500.002,26:42:b1:a6:03:e3,90.00B,90.00B,24.234586715698242,18.22221851348877
Both,1575690055015,169.254.98.101,2500.01,9a:3d:b5:62:83:83,90.00B,90.00B,24.209157466888428,18.197319507598877
Both,1575690055115,169.254.240.85,2500.012,26:1f:33:61:c2:f9,176.00B,90.00B,24.116095542907715,18.10401177406311
Both,1575690055095,169.254.179.197,2500.012,ba:d2:02:09:20:2f,90.00B,180.00B,24.13801145553589,18.12531542778015
Both,1575690055059,169.254.40.101,2500.004,fa:2a:e4:01:12:00,90.00B,90.00B,24.176851511001587,18.16729474067688
Both,1575690055035,169.254.98.117,2500.01,0a:c9:b9:f6:3c:b5,90.00B,90.00B,24.204375743865967,18.19231367111206
