Id,Lambda,Phase,Bit,Base Size,Base Mean,Base Std,Size,Mean,Std,KSvalue,Mean Diff
256,0,0,8,1904,101605,2918791,1954,6663,5535,0.285262136800194,-94942
252,0,0,4,1904,101605,2918791,2000,6736,5610,0.287808218035253,-94869
255,0,0,7,1904,101605,2918791,2000,6763,5931,0.217292295302755,-94842
257,0,0,9,1904,101605,2918791,1952,6796,5803,0.240428679292643,-94809
253,0,0,5,1904,101605,2918791,1998,6832,5811,0.218300528315403,-94773
251,0,0,3,1904,101605,2918791,1925,7259,7448,0.115444082679774,-94346
647,0,0,9,2000,96533,2851806,1988,6186,4087,0.360674911038518,-90347
645,0,0,7,2000,96533,2851806,1858,6333,4548,0.423752241865946,-90200
646,0,0,8,2000,96533,2851806,1926,6348,4767,0.257448958484519,-90185
639,0,0,0,2000,96533,2851806,1886,6410,4561,0.46701902930116,-90123
641,0,0,2,2000,96533,2851806,1930,6794,5570,0.185896815102607,-89739
642,0,0,3,2000,96533,2851806,2000,6806,6578,0.519605700883492,-89727
643,0,0,4,2000,96533,2851806,1928,6967,7791,0.473607101037681,-89566
254,0,0,6,1904,101605,2918791,1925,13220,15043,4.512395041415124,-88385
250,0,0,2,1904,101605,2918791,1979,13463,10246,4.182950244692133,-88142
248,0,0,0,1904,101605,2918791,1954,13913,20509,4.148854430008221,-87692
249,0,0,1,1904,101605,2918791,1901,14167,13033,5.030888519557994,-87438
644,0,0,5,2000,96533,2851806,1889,13758,9648,5.025506385218647,-82775
640,0,0,1,2000,96533,2851806,1959,13888,11017,5.223198610331715,-82645
72,0,0,4,1894,75644,2263593,1878,6700,5497,0.190700433737541,-68944
73,0,0,5,1894,75644,2263593,1966,6724,5765,0.090485990235742,-68920
75,0,0,7,1894,75644,2263593,1957,6803,5666,0.085183878850752,-68841
77,0,0,9,1894,75644,2263593,2000,6820,5566,0.281253986823393,-68824
76,0,0,8,1894,75644,2263593,1983,6837,5777,0.195480137377015,-68807
74,0,0,6,1894,75644,2263593,1857,6982,5941,0.312660281423398,-68662
71,0,0,2,1894,75644,2263593,2000,7145,8387,0.108218129158836,-68499
70,0,0,1,1894,75644,2263593,1935,27524,914317,0.163449760062615,-48120
362,0,0,6,1982,54046,2030315,1990,7176,5483,0.572273529222952,-46870
357,0,0,0,1982,54046,2030315,1968,7232,5790,0.668041823678713,-46814
684,0,0,9,1936,53055,2047374,2000,6241,4440,0.291047403867317,-46814
363,0,0,7,1982,54046,2030315,1960,7290,5878,0.547580128819156,-46756
680,0,0,1,1936,53055,2047374,1979,6307,4475,0.388185608493593,-46748
576,0,0,9,1954,53201,2038303,2000,6467,5257,0.302367134314517,-46734
365,0,0,9,1982,54046,2030315,1969,7359,6244,0.654130638213632,-46687
679,0,0,0,1936,53055,2047374,1921,6431,4969,0.484138024758106,-46624
683,0,0,8,1936,53055,2047374,1964,6432,4781,0.28057019312427,-46623
681,0,0,5,1936,53055,2047374,1974,6548,5207,0.194670593452161,-46507
