GUID,Success,Id,Request ID,Start Time,Phases,Phase 1,Logs,Base Sample,Bit-1 Pvalue,Bit-0 Sample,Error,Bit-0 Pvalue,MAC Address,End Time,Boot ID,Bit-1 Sample,Predecessors,Warm Start
09-17-13-56-34,1,34,97450bea-8937-45ff-a12f-184764eb7441,2020-09-17 20:56:27,1,64,out/09-17-13-56/log,out/09-17-13-56/base_samples34,5.67540512606865,out/09-17-13-56/bit0_samples34,,0.1808838167207,7A:2B:73:D6:07:58,2020-09-17 20:57:06,2224702d-ca12-4e22-b67d-79088f3c0b24,out/09-17-13-56/bit1_samples34,,No
09-17-13-56-29,1,29,c40739f7-b1a1-40ed-b1b2-d36a67451e15,2020-09-17 20:56:27,1,29,out/09-17-13-56/log,out/09-17-13-56/base_samples29,0,out/09-17-13-56/bit0_samples29,,0.315969780844626,DE:DD:06:34:A1:11,2020-09-17 20:57:06,3f8bc685-321d-415b-80c7-7e44d13fe2d7,out/09-17-13-56/bit1_samples29,,No
09-17-13-56-39,1,39,9b12bdcd-d029-4425-903c-7c46202c7494,2020-09-17 20:56:27,1,39,out/09-17-13-56/log,out/09-17-13-56/base_samples39,0,out/09-17-13-56/bit0_samples39,,0.273434740234785,76:9F:47:38:AE:6C,2020-09-17 20:57:06,7c0a7cc4-ad65-46c8-a87a-bdb0ba6464d0,out/09-17-13-56/bit1_samples39,,No
09-17-13-56-30,1,30,81b15a45-3fb9-4e32-918c-4cd0e5129e78,2020-09-17 20:56:27,1,30,out/09-17-13-56/log,out/09-17-13-56/base_samples30,0,out/09-17-13-56/bit0_samples30,,0.335832947781016,FA:CD:34:A0:D6:CD,2020-09-17 20:57:06,aefe0c2a-600d-485e-a655-3bef4446b549,out/09-17-13-56/bit1_samples30,,No
09-17-13-56-57,1,57,6735fe8f-3dbd-478e-9a97-2c1d41fa1384,2020-09-17 20:56:27,1,57,out/09-17-13-56/log,out/09-17-13-56/base_samples57,0,out/09-17-13-56/bit0_samples57,,0.596990796880856,DE:99:1D:6E:D3:35,2020-09-17 20:57:06,55239bc4-a500-4b80-bb88-35a87db4ccf2,out/09-17-13-56/bit1_samples57,,No
09-17-13-56-86,1,86,a4332af4-37dd-478a-8fc2-2de22b27fac7,2020-09-17 20:56:27,1,86,out/09-17-13-56/log,out/09-17-13-56/base_samples86,0,out/09-17-13-56/bit0_samples86,,0.239851831606515,EE:3E:6B:18:6B:70,2020-09-17 20:57:06,d584342b-3113-4c5c-a017-0374de852a1b,out/09-17-13-56/bit1_samples86,,No
09-17-13-56-66,1,66,dc3bcdae-038c-4cdd-8ef6-f4c1002e303d,2020-09-17 20:56:27,1,66,out/09-17-13-56/log,out/09-17-13-56/base_samples66,0,out/09-17-13-56/bit0_samples66,,0.196004107098037,92:FD:D3:DE:7F:2C,2020-09-17 20:57:06,9a8bd798-306b-4fe1-8543-bfc417298e37,out/09-17-13-56/bit1_samples66,,No
09-17-13-56-67,1,67,d43415e9-0f44-400b-9b2d-ae995b976e88,2020-09-17 20:56:27,1,91,out/09-17-13-56/log,out/09-17-13-56/base_samples67,6.01450688747385,out/09-17-13-56/bit0_samples67,,0.257242153759327,0A:2D:38:C0:A4:1D,2020-09-17 20:57:06,07bb0d2c-4f62-4386-8e81-0ae1aa88648b,out/09-17-13-56/bit1_samples67,,No
09-17-13-56-6,1,6,e39bb46b-f16b-486c-9471-7605e483e427,2020-09-17 20:56:27,1,56,out/09-17-13-56/log,out/09-17-13-56/base_samples6,5.78761467519837,out/09-17-13-56/bit0_samples6,,0.531816225038882,EA:01:B7:95:67:AB,2020-09-17 20:57:06,a69dcdb1-4c5a-43df-95e0-907d64ab707e,out/09-17-13-56/bit1_samples6,,No
09-17-13-56-10,1,10,278cea6f-66a1-4e14-bf85-de9ce0712e8c,2020-09-17 20:56:27,1,51,out/09-17-13-56/log,out/09-17-13-56/base_samples10,5.75840346567078,out/09-17-13-56/bit0_samples10,,0.520970297737788,B6:C9:E7:A1:03:73,2020-09-17 20:57:06,7ffaf021-129d-4893-b800-c526f676a212,out/09-17-13-56/bit1_samples10,,No
