GUID,Success,Id,Boot ID,End Time,Request ID,Start Time,Phases,Phase 1,Phase 2,Phase 3,Logs,Base Sample,Predecessors,Bit-1 Sample,Bit-0 Sample,Bit-1 Pvalue,Error,Bit-0 Pvalue,MAC Address,Warm Start,Account
10-11-12-03-890,1,890,cb007700-1418-4211-8135-9ef8eb7b5f5c,2020-10-11 19:05:32,852a895c-188a-45af-a99d-3e9d6a854bd1,2020-10-11 19:03:46,3,983,983,983,out/10-11-12-03/log,out/10-11-12-03/base_samples890,,out/10-11-12-03/bit1_samples890,out/10-11-12-03/bit0_samples890,5.77756064088955,,0.234444936097648,DA:EE:7F:1B:CA:8D,No,017371402075
10-11-12-03-284,1,284,54430511-a85b-4e36-8f9c-5323d0e2d800,2020-10-11 19:05:32,793b5d8c-5d9f-44c1-a161-8059823ee2fe,2020-10-11 19:04:04,3,624,624,624,out/10-11-12-03/log,out/10-11-12-03/base_samples284,,out/10-11-12-03/bit1_samples284,out/10-11-12-03/bit0_samples284,6.84031570916534,,0.291055649123489,22:E0:55:B0:3D:B5,No,017371402075
10-11-12-03-561,1,561,dec52e61-8cfb-4a58-9289-9e2f102717a4,2020-10-11 19:05:32,43ccfe10-5aba-4b14-b081-27a6506945e9,2020-10-11 19:03:46,3,902,902,902,out/10-11-12-03/log,out/10-11-12-03/base_samples561,,out/10-11-12-03/bit1_samples561,out/10-11-12-03/bit0_samples561,7.80096306414079,,0.540782016134529,8E:FB:BF:05:0C:8A,No,017371402075
10-11-12-03-271,1,271,3e60bc56-1cad-4ee7-9e34-4cc25e9d0be0,2020-10-11 19:05:32,eebddd5e-c90f-405d-8259-6c82efec826a,2020-10-11 19:03:33,3,749,749,749,out/10-11-12-03/log,out/10-11-12-03/base_samples271,,out/10-11-12-03/bit1_samples271,out/10-11-12-03/bit0_samples271,5.68378895170664,,0.204313894705392,EA:21:D2:CB:BE:4A,No,017371402075
10-11-12-03-134,1,134,c1cc709f-0d94-4b40-a097-2999a6f09767,2020-10-11 19:05:32,90b5b75f-c50b-4197-8784-7bc6ab554e56,2020-10-11 19:03:33,3,864,864,864,out/10-11-12-03/log,out/10-11-12-03/base_samples134,,out/10-11-12-03/bit1_samples134,out/10-11-12-03/bit0_samples134,8.8695764383098,,0.280379869833605,C6:49:D2:61:AE:5A,No,017371402075
10-11-12-03-433,1,433,1ac5e936-b897-4ab0-892d-c1db239158f4,2020-10-11 19:05:32,3665d225-3aaa-4fe0-93a9-9d1aba60c652,2020-10-11 19:03:35,3,984,984,984,out/10-11-12-03/log,out/10-11-12-03/base_samples433,,out/10-11-12-03/bit1_samples433,out/10-11-12-03/bit0_samples433,8.91323488495024,,0.104819461608854,4E:93:5D:F8:B5:96,No,017371402075
10-11-12-03-408,1,408,8c68716d-c2ec-42dc-830d-5b78c6017d73,2020-10-11 19:05:32,32327d37-0b32-484f-908b-dfa5a9701ba1,2020-10-11 19:03:36,3,862,862,862,out/10-11-12-03/log,out/10-11-12-03/base_samples408,,out/10-11-12-03/bit1_samples408,out/10-11-12-03/bit0_samples408,8.58764232673429,,0.328131795358207,36:8E:9A:1A:BE:38,No,017371402075
10-11-12-03-205,1,205,7441b1c9-00b7-463b-8b68-09bc147e2fe9,2020-10-11 19:05:32,b4c6c333-caa5-49ad-99b5-4ebe90c3e9f3,2020-10-11 19:03:33,3,747,747,747,out/10-11-12-03/log,out/10-11-12-03/base_samples205,,out/10-11-12-03/bit1_samples205,out/10-11-12-03/bit0_samples205,7.21149414531452,,0.775626314876488,CA:A1:2D:86:78:6A,No,017371402075
10-11-12-03-695,1,695,fcc0296a-9ba9-4430-91c5-c1a52db55c86,2020-10-11 19:05:32,cd9c51e5-eee6-4ad6-8092-fd73ffa21fa4,2020-10-11 19:03:39,3,695,695,695,out/10-11-12-03/log,out/10-11-12-03/base_samples695,,out/10-11-12-03/bit1_samples695,out/10-11-12-03/bit0_samples695,0,,0.192679061876589,1A:26:21:64:90:47,No,017371402075
10-11-12-03-601,1,601,fb2254d9-7fab-455b-b717-c5a19c6fd799,2020-10-11 19:05:32,fe271144-36ce-4753-8138-d75c4b34eb52,2020-10-11 19:03:39,3,926,926,926,out/10-11-12-03/log,out/10-11-12-03/base_samples601,,out/10-11-12-03/bit1_samples601,out/10-11-12-03/bit0_samples601,7.584791703147,,0.227844597871322,BA:93:44:43:8C:80,No,017371402075
