GUID,Success,Id,Request ID,Start Time,Phases,Phase 1,Logs,Base Sample,Bit-1 Pvalue,Bit-0 Sample,Error,Bit-0 Pvalue,MAC Address,End Time,Boot ID,Bit-1 Sample,Predecessors,Warm Start
09-17-02-44-686,1,686,32e861f1-8656-40cf-bc96-74e5ec993fcc,2020-09-17 09:44:14,1,686,out/09-17-02-44/log,out/09-17-02-44/base_samples686,0,out/09-17-02-44/bit0_samples686,,0.0322709880133976,CA:00:AC:45:25:1F,2020-09-17 09:45:40,b2b61a80-e064-4f1c-89f1-f1093d418dee,out/09-17-02-44/bit1_samples686,09-17-02-40-449,Yes
09-17-02-44-445,1,445,e51e9ebf-076e-477d-b509-6e16655f915c,2020-09-17 09:44:08,1,445,out/09-17-02-44/log,out/09-17-02-44/base_samples445,0,out/09-17-02-44/bit0_samples445,,0.667937651945653,CA:49:55:2B:97:36,2020-09-17 09:45:40,87f3bc57-66c8-4bcb-aaa3-5017a32241c0,out/09-17-02-44/bit1_samples445,"09-17-02-39-34,09-17-02-40-240",Yes
09-17-02-44-283,1,283,f5b21ad7-57f9-49bc-afa3-9803a64b5ce7,2020-09-17 09:44:02,1,283,out/09-17-02-44/log,out/09-17-02-44/base_samples283,0,out/09-17-02-44/bit0_samples283,,0.0249823489905558,EE:A1:35:CD:5B:F8,2020-09-17 09:45:40,c27313ae-478f-4846-a5d1-31660e4940c1,out/09-17-02-44/bit1_samples283,09-17-02-40-122,Yes
09-17-02-44-937,1,937,a23abb21-d79e-448f-b5a2-63e3cc1f5258,2020-09-17 09:44:19,1,937,out/09-17-02-44/log,out/09-17-02-44/base_samples937,0,out/09-17-02-44/bit0_samples937,,3.35642408935795e-32,32:7C:40:4E:18:B3,2020-09-17 09:45:40,0f674fea-e9e8-4961-b9ee-c7c6b2598803,out/09-17-02-44/bit1_samples937,09-17-02-40-612,Yes
09-17-02-44-443,1,443,91e8ada5-1239-4bb8-af1d-f6dc9357771d,2020-09-17 09:44:06,1,443,out/09-17-02-44/log,out/09-17-02-44/base_samples443,0,out/09-17-02-44/bit0_samples443,,0.0361706502609161,D2:41:69:D1:B7:8B,2020-09-17 09:45:40,282ca12e-005c-40ab-a9c6-54502455922f,out/09-17-02-44/bit1_samples443,09-17-02-40-664,Yes
09-17-02-44-449,1,449,a48cb2a1-c1d2-4c66-a1b3-e5bb42423806,2020-09-17 09:44:09,1,449,out/09-17-02-44/log,out/09-17-02-44/base_samples449,0,out/09-17-02-44/bit0_samples449,,1.23747252362715e-118,4E:4E:61:3E:6D:E9,2020-09-17 09:45:40,4c1c4999-58ca-4b71-bd8d-a069a89fc08d,out/09-17-02-44/bit1_samples449,09-17-02-40-65,Yes
09-17-02-44-826,1,826,839522d8-99cd-4c4b-aa39-df47d32d4844,2020-09-17 09:44:14,1,826,out/09-17-02-44/log,out/09-17-02-44/base_samples826,0,out/09-17-02-44/bit0_samples826,,6.75226411031033e-17,CA:1B:0D:5B:06:4C,2020-09-17 09:45:40,fb9338d7-bdb6-4fbf-9a6c-4ca2a322e6fe,out/09-17-02-44/bit1_samples826,09-17-02-40-670,Yes
09-17-02-44-100,1,100,face3e8f-d6b4-4e07-965a-e6b09758b8cb,2020-09-17 09:44:05,1,100,out/09-17-02-44/log,out/09-17-02-44/base_samples100,0,out/09-17-02-44/bit0_samples100,,0.00597919629692018,82:99:02:59:9D:B8,2020-09-17 09:45:40,2f53a8e1-377b-47ca-8061-2705e3ab026e,out/09-17-02-44/bit1_samples100,09-17-02-40-692,Yes
09-17-02-44-883,1,883,43f1ea35-14a5-4189-9f8a-beb673edc08c,2020-09-17 09:44:11,1,883,out/09-17-02-44/log,out/09-17-02-44/base_samples883,0,out/09-17-02-44/bit0_samples883,,1.41109232095695e-51,AE:3B:D6:42:C3:A9,2020-09-17 09:45:40,d36e546f-643b-4899-9c4a-7273df78dbae,out/09-17-02-44/bit1_samples883,09-17-02-40-589,Yes
09-17-02-44-768,1,768,b4582d79-16a3-4f2f-a1bf-9269c0b6e31c,2020-09-17 09:44:19,1,768,out/09-17-02-44/log,out/09-17-02-44/base_samples768,0,out/09-17-02-44/bit0_samples768,,5.09530038825877e-10,D2:1B:76:C0:E3:62,2020-09-17 09:45:40,03e90f41-7d16-40b7-b921-df85d7e486e7,out/09-17-02-44/bit1_samples768,09-17-02-40-754,Yes
09-17-02-44-573,1,573,74794df7-1cd0-4c3e-aedc-d31982870fc0,2020-09-17 09:44:21,1,573,out/09-17-02-44/log,out/09-17-02-44/base_samples573,0,out/09-17-02-44/bit0_samples573,,1.08219666445598e-15,E2:8A:60:F0:EC:CD,2020-09-17 09:45:40,715065d6-95f3-428e-8e49-5230c5ff536d,out/09-17-02-44/bit1_samples573,09-17-02-40-804,Yes
09-17-02-44-352,1,352,96b88794-8ac4-4bb2-88bf-184a077068d5,2020-09-17 09:44:17,1,352,out/09-17-02-44/log,out/09-17-02-44/base_samples352,0,out/09-17-02-44/bit0_samples352,,2.95796844474189e-181,72:99:65:3C:FC:DE,2020-09-17 09:45:40,9b4dcda0-4f8d-4c95-a1ca-a30e52ab7fc8,out/09-17-02-44/bit1_samples352,09-17-02-40-857,Yes
09-17-02-44-895,1,895,b6e6fd5f-8869-45ac-8cb1-bf7478b9fdba,2020-09-17 09:44:23,1,895,out/09-17-02-44/log,out/09-17-02-44/base_samples895,0,out/09-17-02-44/bit0_samples895,,0.00412349666600941,6A:F5:50:F7:36:C0,2020-09-17 09:45:40,4f4df694-a0bb-41a4-9ab3-a684a6ab7052,out/09-17-02-44/bit1_samples895,09-17-02-40-906,Yes
