Id,Lambda,Phase,Bit,Base Size,Base Mean,Base Std,Size,Mean,Std,Pvalue,Mean Diff
2530,0,0,8,1000,41694,1114600,1000,6091,1933,0.312689461695246,-35603
2529,0,0,7,1000,41694,1114600,945,6163,7325,0.313678863848999,-35531
2526,0,0,3,1000,41694,1114600,1000,10151,5185,0.371051176458796,-31543
2527,0,0,5,1000,41694,1114600,988,16356,143292,0.476046442167576,-25338
2248,0,0,9,1000,26223,453144,944,5988,1924,0.158234618646167,-20235
285,0,0,8,1000,26313,450880,980,6109,2190,0.156793612621114,-20204
2528,0,0,6,1000,41694,1114600,986,23341,336194,0.618420612622782,-18353
2247,0,0,5,1000,26223,453144,954,9114,84601,0.241167218840203,-17109
4296,0,0,2,989,26932,455676,993,11075,12054,0.274227771541207,-15857
4297,0,0,4,989,26932,455676,1000,11363,11422,0.283014527473696,-15569
1504,0,0,7,963,26078,618284,969,11493,6299,0.464349427148687,-14585
3138,0,0,3,957,27106,461242,898,12750,34363,0.337285571146568,-14356
3136,0,0,1,957,27106,461242,986,13073,25694,0.347568255495069,-14033
2246,0,0,4,1000,26223,453144,976,14013,15867,0.394671308574153,-12210
2245,0,0,2,1000,26223,453144,1000,14433,14458,0.411073844563718,-11790
2030,0,0,9,973,17863,356569,923,6145,2463,0.3055838739886,-11718
4076,0,0,0,962,17470,332687,967,5903,1245,0.28113807279285,-11567
4077,0,0,2,962,17470,332687,986,5920,1195,0.281844992416968,-11550
4312,0,0,3,933,17123,337391,942,5878,1148,0.308924511081614,-11245
2445,0,0,3,975,17053,330579,995,5856,816,0.290494687769243,-11197
731,0,0,7,980,17051,323892,1000,5866,1286,0.279941512511688,-11185
2448,0,0,6,975,17053,330579,969,5962,1139,0.295084453698234,-11091
3017,0,0,4,1000,16878,320718,971,5820,1256,0.275840451949074,-11058
3018,0,0,5,1000,16878,320718,991,5821,1774,0.275887461774773,-11057
4331,0,0,3,955,16905,328466,955,5852,918,0.298653202062528,-11053
2198,0,0,9,918,17119,333747,955,6077,2837,0.316420739400966,-11042
2449,0,0,7,975,17053,330579,938,6013,1969,0.297315291661377,-11040
2450,0,0,8,975,17053,330579,952,6040,3519,0.298516749005398,-11013
3020,0,0,8,1000,16878,320718,969,5865,2427,0.277808420132958,-11013
3440,0,0,4,977,16822,326647,947,5821,1042,0.292746002574334,-11001
3015,0,0,1,1000,16878,320718,956,5905,2387,0.279556169571269,-10973
3014,0,0,0,1000,16878,320718,1000,5921,3203,0.280267498354029,-10957
733,0,0,9,980,17051,323892,994,6113,2597,0.29070355353128,-10938
3019,0,0,6,1000,16878,320718,1000,5946,2592,0.281357421288428,-10932
4332,0,0,5,955,16905,328466,948,6011,1693,0.305658883070387,-10894
3888,0,0,7,967,16659,325051,947,5804,1355,0.299318831121414,-10855
2738,0,0,2,1000,16803,323923,1000,5973,2532,0.290658168563046,-10830
2215,0,0,4,1000,16982,326499,965,6193,2730,0.296313390897953,-10789
2257,0,0,9,947,16703,327816,964,5943,1813,0.312722173337585,-10760
