Logs,GUID,Predecessors,CPU CPI,Error,Success,Id,Channel,MAC Address,Request ID,Start Time,Protocol Time,Phases,Phase 1,Phase 2,IP Address,Bit-0 Sample,Phase 3,End Time,Boot ID,Base Sample,Bit-1 Sample,Warm Start,Tag,Bit-0 Pvalue,Bit-1 Pvalue
out/02-03-15-02/log,02-03-15-02-21,02-03-14-59-86,7.839105,,1,21,1,2E:A1:E0:D5:82:35,c4a7c73a-8e8e-4abe-8e78-cc47127fca6e,2021-02-03 23:02:45,30,2,21,10,169.254.76.1,out/02-03-15-02/bit0_samples21,-1,2021-02-03 23:03:37,aba81c03-eae4-4d0e-afcd-ec9aa5712572,-,-,Yes,DEFAULT,-,-
out/02-03-15-02/log,02-03-15-02-15,02-03-14-59-78,7.810965,,1,15,2,42:C9:AF:EE:73:45,fc62e6d7-1bf5-463d-ab7b-fbf090556398,2021-02-03 23:02:45,30,2,52,15,169.254.76.1,-,-1,2021-02-03 23:03:37,eaa3a754-e437-4d79-9865-8e7c6466989c,-,out/02-03-15-02/bit1_samples15,Yes,DEFAULT,-,-
out/02-03-15-02/log,02-03-15-02-6,"02-03-14-55-27,02-03-14-59-8",7.864812,,1,6,3,96:04:22:13:8C:6C,3e9a4d9c-7602-417f-bce1-4587934decd0,2021-02-03 23:02:45,30,2,86,6,169.254.76.1,-,-1,2021-02-03 23:03:37,ddfafc41-0e1f-411f-bae6-abc33ea41f78,-,out/02-03-15-02/bit1_samples6,Yes,DEFAULT,-,-
out/02-03-15-02/log,02-03-15-02-42,"02-03-14-32-25,02-03-14-35-89,02-03-14-38-2,02-03-14-42-2,02-03-14-45-13,02-03-14-49-5,02-03-14-52-92,02-03-14-55-13,02-03-14-59-2",7.753815,,1,42,4,EE:A3:61:6C:35:AC,22f94095-5c88-4cd9-8f42-0d5c0fc6c580,2021-02-03 23:02:45,30,2,83,42,169.254.76.1,-,-1,2021-02-03 23:03:37,4b2738a7-4a1c-4501-aa19-594fa1da4aa1,-,out/02-03-15-02/bit1_samples42,Yes,DEFAULT,-,-
out/02-03-15-02/log,02-03-15-02-20,02-03-14-59-70,7.947760,,1,20,5,5E:1C:4D:11:C8:E0,22ca92df-6d5d-4cb6-8740-2becc7800298,2021-02-03 23:02:45,30,2,20,11,169.254.76.1,out/02-03-15-02/bit0_samples20,-1,2021-02-03 23:03:37,a838e6c6-5e8c-468b-b392-d94209e31d8d,-,-,Yes,DEFAULT,-,-
out/02-03-15-02/log,02-03-15-02-17,,7.805911,,1,17,-,F2:C2:A9:C1:8F:EA,115e4e11-31cb-4bf0-8ee4-baf3c4587c1e,2021-02-03 23:02:45,20,1,17,-1,169.254.76.1,-,-1,2021-02-03 23:03:18,44b5880e-813b-4071-b728-bcb0db31881d,-,-,No,DEFAULT,-,-
out/02-03-15-02/log,02-03-15-02-8,,7.702822,,1,8,-,D6:45:1F:D4:B5:16,89ab0816-b820-44ba-a53d-b6c643b4f829,2021-02-03 23:02:45,20,1,8,-1,169.254.76.1,-,-1,2021-02-03 23:03:18,9f6c912c-8e73-403c-9e79-a13747e91214,-,-,No,DEFAULT,-,-
out/02-03-15-02/log,02-03-15-02-62,"02-03-14-22-46,02-03-14-25-11,02-03-14-28-58,02-03-14-32-57,02-03-14-35-4,02-03-14-38-46,02-03-14-42-37,02-03-14-45-65,02-03-14-49-8,02-03-14-52-4,02-03-14-55-44,02-03-14-59-9",7.905456,,1,62,6,6A:14:49:27:B0:0A,36bfec5c-5efb-4640-a20c-86723f8e1652,2021-02-03 23:02:45,30,3,78,62,169.254.76.1,-,49,2021-02-03 23:03:37,f5ac5ce8-9ba6-4ad8-a96b-dc2beea140aa,-,out/02-03-15-02/bit1_samples62,Yes,DEFAULT,-,-
out/02-03-15-02/log,02-03-15-02-25,"02-03-14-49-44,02-03-14-52-44,02-03-14-55-86,02-03-14-59-75",7.817236,,1,25,-,BE:69:DD:06:B2:E9,4b935f9d-f9f8-496b-8bb3-c30e6da71d46,2021-02-03 23:02:45,20,1,25,-1,169.254.76.1,-,-1,2021-02-03 23:03:18,927da0ba-bfb4-47f5-9db5-f9b42e27c3ee,-,-,Yes,DEFAULT,-,-
out/02-03-15-02/log,02-03-15-02-71,"02-03-14-45-75,02-03-14-49-11,02-03-14-52-29,02-03-14-55-16,02-03-14-59-18",7.789700,,1,71,-,B2:D3:B9:44:E3:9F,31d665fb-b830-4beb-9d42-2b6b564ed4a0,2021-02-03 23:02:45,20,1,71,-1,169.254.76.1,-,-1,2021-02-03 23:03:18,7147e049-6f0a-4ba1-85f6-1025270cc1a0,-,-,Yes,DEFAULT,-,-
out/02-03-15-02/log,02-03-15-02-86,,7.706199,,1,86,3,3A:12:ED:34:34:9C,c57958e9-b4f3-471e-898d-a703dbc0d2ca,2021-02-03 23:02:45,30,2,86,6,169.254.76.1,out/02-03-15-02/bit0_samples86,-1,2021-02-03 23:03:37,fbb6d64c-19ce-493a-84f2-150ecf6d76cc,-,-,No,DEFAULT,-,-
out/02-03-15-02/log,02-03-15-02-49,"02-03-14-55-93,02-03-14-59-11",7.798272,,1,49,-,66:40:E7:FF:3E:47,ff2d8a6f-4f48-412c-bc59-5c7dd1dfed70,2021-02-03 23:02:45,30,3,78,62,169.254.76.1,-,49,2021-02-03 23:03:28,fb2e2e30-1f6a-43af-8656-a3491f53e6a5,-,-,Yes,DEFAULT,-,-
out/02-03-15-02/log,02-03-15-02-19,"02-03-14-42-24,02-03-14-45-1,02-03-14-49-20,02-03-14-52-7,02-03-14-55-8,02-03-14-59-29",7.832054,,1,19,7,C6:24:E2:E0:66:18,eda87b57-6086-4812-a55c-93a0d0a0afb9,2021-02-03 23:02:45,30,2,19,18,169.254.76.1,-,-1,2021-02-03 23:03:37,0c36eccd-e576-4194-8a52-22da92a27ef6,-,-,Yes,DEFAULT,-,-
