GUID,Success,Id,Boot ID,End Time,Request ID,Start Time,Phases,Phase 1,Phase 2,Phase 3,Logs,Base Sample,Predecessors,Bit-1 Sample,Bit-0 Sample,Bit-1 Pvalue,Error,Bit-0 Pvalue,MAC Address,Warm Start
09-22-14-58-35,1,35,4d2e0fe6-fca4-47e0-8c13-7c38cb844967,2020-09-22 21:59:08,636ec544-afb9-490a-aae5-b562a2d075c2,2020-09-22 21:58:09,3,35,35,35,out/09-22-14-58/log,out/09-22-14-58/base_samples35,,out/09-22-14-58/bit1_samples35,out/09-22-14-58/bit0_samples35,0,,0.363310827201385,B6:F8:8B:D9:36:22,No
09-22-14-58-22,1,22,59526dcc-ebd6-4aaa-b994-f8b306e1c669,2020-09-22 21:59:08,889cb9dc-b2aa-410b-8736-5f5f5d9aa961,2020-09-22 21:58:09,3,22,22,22,out/09-22-14-58/log,out/09-22-14-58/base_samples22,,out/09-22-14-58/bit1_samples22,out/09-22-14-58/bit0_samples22,0,,0.213076962726169,CE:34:1B:3B:A5:B3,No
09-22-14-58-2,1,2,78d6125d-4b61-4b6f-b279-1c7a3eccfdec,2020-09-22 21:59:08,a2ad6f3d-fc44-4d3d-a8f4-8d65cb804bf4,2020-09-22 21:58:09,3,2,2,2,out/09-22-14-58/log,out/09-22-14-58/base_samples2,,out/09-22-14-58/bit1_samples2,out/09-22-14-58/bit0_samples2,0,,0.145859955398073,06:2E:31:91:EE:F5,No
09-22-14-58-37,1,37,815066e1-ec73-40c1-959e-e93618a9021a,2020-09-22 21:59:08,0535183f-8133-42fe-bd9b-2e5d57335947,2020-09-22 21:58:10,3,37,37,37,out/09-22-14-58/log,out/09-22-14-58/base_samples37,,out/09-22-14-58/bit1_samples37,out/09-22-14-58/bit0_samples37,0,,0.388673335849013,8A:A6:CF:A0:36:6F,No
09-22-14-58-53,1,53,3ecec3df-2f57-48e4-b58a-ef54f86df625,2020-09-22 21:59:08,6d5a0226-a994-4cda-8ba7-022f09a36178,2020-09-22 21:58:09,3,53,53,53,out/09-22-14-58/log,out/09-22-14-58/base_samples53,,out/09-22-14-58/bit1_samples53,out/09-22-14-58/bit0_samples53,0,,0.128165126229161,A6:53:E8:F7:4F:46,No
09-22-14-58-47,1,47,25aef8ed-f466-4a4d-baa7-385d22c983c0,2020-09-22 21:59:08,bad43c30-cc5d-4b06-8438-0367e55ee662,2020-09-22 21:58:09,3,47,47,47,out/09-22-14-58/log,out/09-22-14-58/base_samples47,,out/09-22-14-58/bit1_samples47,out/09-22-14-58/bit0_samples47,0,,0.408782432772657,7E:76:F7:63:BC:12,No
09-22-14-58-78,1,78,511286d7-f0e0-4f74-af08-a01eda90ea70,2020-09-22 21:59:08,4217916f-0fea-4ecc-b75d-c8b49a0b7f13,2020-09-22 21:58:09,3,78,78,78,out/09-22-14-58/log,out/09-22-14-58/base_samples78,,out/09-22-14-58/bit1_samples78,out/09-22-14-58/bit0_samples78,0,,0.34996145001796,E2:63:A1:43:2C:26,No
09-22-14-58-68,1,68,62068688-966f-479e-94a5-b1eaf1df3c83,2020-09-22 21:59:08,8672e97a-07f6-47a1-8df3-814b41253e13,2020-09-22 21:58:09,3,68,68,68,out/09-22-14-58/log,out/09-22-14-58/base_samples68,,out/09-22-14-58/bit1_samples68,out/09-22-14-58/bit0_samples68,0,,0.179772378371651,FA:EA:0E:D8:E8:62,No
09-22-14-58-41,1,41,999b6fde-2e62-4c5c-beb2-305d2959c1f0,2020-09-22 21:59:08,607b33a7-a0ef-4876-8aa1-aec384b8d415,2020-09-22 21:58:09,3,41,41,41,out/09-22-14-58/log,out/09-22-14-58/base_samples41,,out/09-22-14-58/bit1_samples41,out/09-22-14-58/bit0_samples41,0,,0.500035062191846,F6:E9:F3:C5:D2:01,No
09-22-14-58-80,1,80,3bf1ad9a-a314-42b8-9105-23397f5009e1,2020-09-22 21:59:08,95acac3b-1f74-427b-9cc6-a2dcf902c2d0,2020-09-22 21:58:09,3,80,80,80,out/09-22-14-58/log,out/09-22-14-58/base_samples80,,out/09-22-14-58/bit1_samples80,out/09-22-14-58/bit0_samples80,0,,0.455484055950773,66:84:17:30:48:80,No
09-22-14-58-64,1,64,0ef0eca4-a2e1-4aa7-9185-153b91960e1c,2020-09-22 21:59:08,f2d3bae6-941e-4665-b054-8f349aad6d69,2020-09-22 21:58:09,3,64,64,64,out/09-22-14-58/log,out/09-22-14-58/base_samples64,,out/09-22-14-58/bit1_samples64,out/09-22-14-58/bit0_samples64,0,,0.188367270796542,D2:A0:85:B3:26:EF,No
09-22-14-58-91,1,91,adc68551-9748-48f8-a091-1993027cca72,2020-09-22 21:59:08,4958d598-e31b-4591-ab3b-b44cb849d317,2020-09-22 21:58:09,3,91,91,91,out/09-22-14-58/log,out/09-22-14-58/base_samples91,,out/09-22-14-58/bit1_samples91,out/09-22-14-58/bit0_samples91,0,,0.269827890344476,86:41:B1:19:1D:BB,No
09-22-14-58-24,1,24,e2996ad0-56d5-4212-bc4f-a33dd5dde2b9,2020-09-22 21:59:08,e5ae6e99-f063-4416-b099-a415b6c6fbc2,2020-09-22 21:58:09,3,24,24,24,out/09-22-14-58/log,out/09-22-14-58/base_samples24,,out/09-22-14-58/bit1_samples24,out/09-22-14-58/bit0_samples24,0,,0.158388932071606,A2:08:E1:EC:DB:BC,No
09-22-14-58-42,1,42,1152ab7c-e71f-4c57-96c7-7f1f141cd7ce,2020-09-22 21:59:08,562ca480-f201-49b5-a660-4accf2e08215,2020-09-22 21:58:09,3,42,42,42,out/09-22-14-58/log,out/09-22-14-58/base_samples42,,out/09-22-14-58/bit1_samples42,out/09-22-14-58/bit0_samples42,0,,0.518699931904539,42:60:FE:BD:5A:BF,No
09-22-14-58-12,1,12,d868b092-2e28-483f-bbf4-7be956898a41,2020-09-22 21:59:08,0c5c1278-dd8c-400a-a546-d8cb382530c1,2020-09-22 21:58:09,3,91,91,91,out/09-22-14-58/log,out/09-22-14-58/base_samples12,,out/09-22-14-58/bit1_samples12,out/09-22-14-58/bit0_samples12,8.20503596412678,,0.213510517866997,1A:F5:7F:A7:F2:6C,No
