Id,Lambda,Phase,Bit,Base Size,Base Mean,Base Std,Size,Mean,Std,KSvalue,Mean Diff
296,0,0,5,5000,39235,1135905,4865,6689,5269,0.160973017526609,-32546
295,0,0,4,5000,39235,1135905,5000,6822,5612,0.290481,-32413
299,0,0,8,5000,39235,1135905,5000,12825,426809,0.311202,-26410
523,0,0,7,4896,31817,996708,4993,7005,7059,0.110103852402479,-24812
524,0,0,8,4896,31817,996708,4972,7142,7140,0.065191766246537,-24675
522,0,0,5,4896,31817,996708,4992,7250,11072,0.055726862845873,-24567
520,0,0,3,4896,31817,996708,5000,7330,6404,0.317698665244375,-24487
294,0,0,3,5000,39235,1135905,5000,14782,569131,0.185364,-24453
298,0,0,7,5000,39235,1135905,5000,19125,605073,0.093034,-20110
103,0,0,8,5000,26826,832454,5000,6914,6587,0.155611,-19912
96,0,0,1,5000,26826,832454,4901,6915,5995,0.127564324558742,-19911
98,0,0,3,5000,26826,832454,4935,6942,5742,0.264852199722267,-19884
525,0,0,9,4896,31817,996708,4960,15392,575737,0.094631737557105,-16425
519,0,0,2,4896,31817,996708,4880,15617,575870,0.260063196884273,-16200
300,0,0,9,5000,39235,1135905,4965,23270,805546,0.292482146533946,-15965
617,0,0,1,4960,22019,716672,4904,6795,7532,0.566202041279052,-15224
623,0,0,9,4960,22019,716672,5000,6847,5239,0.147280362774662,-15172
620,0,0,5,4960,22019,716672,4964,7093,6208,0.411922493357558,-14926
422,0,0,6,4901,21345,718340,5000,6802,5455,0.056465374091824,-14543
419,0,0,0,4901,21345,718340,4891,6831,5272,0.123176788785412,-14514
424,0,0,8,4901,21345,718340,5000,6923,5597,0.06973620743085,-14422
704,0,0,7,5000,21189,714050,5000,6821,6188,0.233228,-14368
670,0,0,1,4969,21337,718781,4875,6976,5941,0.09325391167198,-14361
728,0,0,8,4971,21336,711366,5000,7040,5597,0.463142372006501,-14296
564,0,0,4,4848,21412,720509,4892,7130,6970,0.284290511460912,-14282
421,0,0,3,4901,21345,718340,4880,7084,6617,0.101669435738281,-14261
705,0,0,8,5000,21189,714050,4986,6941,9017,0.084101792530884,-14248
673,0,0,7,4969,21337,718781,5000,7124,6620,0.127164419617093,-14213
566,0,0,7,4848,21412,720509,4979,7231,6287,0.461580876153152,-14181
674,0,0,8,4969,21337,718781,4934,7173,6212,0.084552158726884,-14164
726,0,0,4,4971,21336,711366,4910,7197,9614,0.071634762113501,-14139
675,0,0,9,4969,21337,718781,5000,7276,6661,0.117960820901142,-14061
549,0,0,4,4957,20541,711840,5000,6482,4431,0.36246083050122,-14059
548,0,0,3,4957,20541,711840,4972,6496,4963,0.213695203931652,-14045
100,0,0,5,5000,26826,832454,5000,13025,429392,0.283706,-13801
99,0,0,4,5000,26826,832454,5000,13260,428853,0.294213,-13566
1,0,0,1,5000,20051,644255,4879,7149,6022,0.809557438152755,-12902
7,0,0,7,5000,20051,644255,5000,7174,5860,0.470017,-12877
4,0,0,4,5000,20051,644255,4851,7236,6342,0.514433035243517,-12815
521,0,0,4,4896,31817,996708,4990,19076,604262,0.360364858511499,-12741
458,0,0,9,4965,19526,605335,5000,7047,5828,0.139515150571514,-12479
95,0,0,0,5000,26826,832454,5000,14978,11882,6.324502,-11848
703,0,0,5,5000,21189,714050,5000,9428,9289,1.512287,-11761
104,0,0,9,5000,26826,832454,4989,15113,568282,0.294984383291166,-11713
293,0,0,2,5000,39235,1135905,4918,28214,628030,6.591231958196778,-11021
292,0,0,1,5000,39235,1135905,4995,28799,627292,6.918232944056588,-10436
693,0,0,1,4902,17098,575510,4971,6918,5648,0.316403768014571,-10180
618,0,0,2,4960,22019,716672,4912,12786,429314,0.456995579932754,-9233
672,0,0,5,4969,21337,718781,5000,12977,429386,0.253821028222602,-8360
17,0,0,8,5000,15387,572554,4902,7044,5881,0.203325358646178,-8343
267,0,0,2,4898,15048,577046,4901,6729,5282,0.104069101837251,-8319
81,0,0,2,5000,15092,571217,5000,6831,6330,0.052247,-8261
271,0,0,7,4898,15048,577046,4912,6812,7491,0.0523360800351,-8236
562,0,0,1,4848,21412,720509,4886,13204,430920,0.118560590964647,-8208
87,0,0,9,5000,15092,571217,4972,6888,5894,0.105335915876617,-8204
135,0,0,7,5000,14615,567181,4974,6424,4343,0.244964742880765,-8191
128,0,0,0,5000,14615,567181,5000,6441,4280,0.072278,-8174
389,0,0,8,5000,15053,567460,5000,6884,5664,0.184988,-8169
706,0,0,9,5000,21189,714050,5000,13021,427816,0.099311,-8168
567,0,0,8,4848,21412,720509,4750,13318,436448,0.112526802872626,-8094
553,0,0,9,4957,20541,711840,5000,12462,426516,0.485209902511196,-8079
307,0,0,7,5000,14977,569363,4949,6953,5538,0.136443938947213,-8024
142,0,0,6,4902,14998,572815,5000,6983,7837,0.156562213025847,-8015
84,0,0,6,5000,15092,571217,5000,7087,7261,0.346279,-8005
114,0,0,9,5000,14432,570406,5000,6437,5062,0.066869,-7995
302,0,0,1,5000,14977,569363,5000,6992,6558,0.052572,-7985
15,0,0,6,5000,15387,572554,5000,7410,6454,0.074187,-7977
552,0,0,8,4957,20541,711840,4951,12570,428474,0.452038142644019,-7971
144,0,0,8,4902,14998,572815,5000,7052,9006,0.148664212977134,-7946
388,0,0,7,5000,15053,567460,5000,7136,6157,0.243507,-7917
145,0,0,9,4902,14998,572815,4998,7083,6053,0.127031641832182,-7915
136,0,0,8,5000,14615,567181,4898,6707,5197,0.093722098700906,-7908
353,0,0,7,4944,14680,571336,4880,6780,6315,0.123793460099377,-7900
187,0,0,8,4927,14733,573092,5000,6855,5580,0.20166721001935,-7878
174,0,0,2,4943,14553,428003,4955,6682,6158,0.69517797072871,-7871
110,0,0,5,5000,14432,570406,4893,6569,4764,0.167499679305874,-7863
35,0,0,9,4982,14648,568401,5000,6797,5468,0.108918767165977,-7851
152,0,0,8,4934,14806,571098,5000,7010,7715,0.157518441273026,-7796
16,0,0,7,5000,15387,572554,4978,7612,6745,0.252875612405659,-7775
188,0,0,9,4927,14733,573092,4961,6973,9939,0.13930140184643,-7760
613,0,0,5,4869,15114,574396,4867,7367,9412,0.427164574103311,-7747
185,0,0,6,4927,14733,573092,4985,7012,6568,0.311630881108908,-7721
355,0,0,9,4944,14680,571336,5000,6964,5770,0.259284015906446,-7716
390,0,0,9,5000,15053,567460,4995,7401,14316,0.146121239598464,-7652
150,0,0,6,4934,14806,571098,4989,7198,7355,0.20017283371168,-7608
382,0,0,0,5000,15053,567460,4929,7451,14943,0.11523250673997,-7602
147,0,0,2,4934,14806,571098,4930,7234,6858,0.1353473009147,-7572
610,0,0,1,4869,15114,574396,4894,7677,6405,0.870866594881942,-7437
30,0,0,4,4982,14648,568401,5000,7401,11709,0.380982028189549,-7247
102,0,0,7,5000,26826,832454,4961,19606,605286,0.41759242917998,-7220
106,0,0,1,5000,14432,570406,5000,7237,9367,0.273528,-7195
184,0,0,5,4927,14733,573092,4914,7560,6642,0.517863968237984,-7173
198,0,0,5,5000,14140,494614,4911,7001,5960,0.405985240369639,-7139
697,0,0,9,4902,17098,575510,5000,10081,26836,0.371180637874118,-7017
195,0,0,0,5000,14140,494614,4949,7161,6077,0.115045812677268,-6979
134,0,0,6,5000,14615,567181,4819,7637,6298,0.843253975573046,-6978
200,0,0,7,5000,14140,494614,5000,7173,6394,0.174417,-6967
201,0,0,8,5000,14140,494614,4917,7337,6649,0.160353802922053,-6803
722,0,0,0,4971,21336,711366,4982,14679,19408,5.555261353639677,-6657
2,0,0,2,5000,20051,644255,4951,13415,436205,0.785629447754183,-6636
189,0,0,3,4981,13589,429855,4934,7003,5966,0.160516684630812,-6586
173,0,0,1,4943,14553,428003,4873,7973,19098,1.027492349731728,-6580
192,0,0,7,4981,13589,429855,5000,7013,5503,0.332193478155315,-6576
484,0,0,9,4834,13130,435174,4957,6572,4812,0.145030323623491,-6558
10,0,0,0,5000,15387,572554,5000,8853,124089,0.071895,-6534
196,0,0,1,5000,14140,494614,4874,7614,7816,0.163874174745929,-6526
492,0,0,8,5000,13112,425848,5000,6633,8285,0.432136,-6479
430,0,0,8,4845,13029,434539,4924,6614,5193,0.146378525036878,-6415
480,0,0,1,4834,13130,435174,4989,6727,5133,0.106637170908544,-6403
493,0,0,9,5000,13112,425848,5000,6792,5205,0.324164,-6320
297,0,0,6,5000,39235,1135905,4954,32958,825131,6.591261823944389,-6277
190,0,0,5,4981,13589,429855,4873,7325,7498,0.154109411578878,-6264
456,0,0,7,4965,19526,605335,5000,13273,428277,0.156916495691766,-6253
671,0,0,2,4969,21337,718781,5000,15106,569979,0.300005760563114,-6231
723,0,0,1,4971,21336,711366,5000,15122,22440,5.472676862798037,-6214
721,0,0,9,5000,13180,428057,4861,6967,5668,0.417692795390505,-6213
51,0,0,5,5000,12999,428184,4979,6802,5338,0.107271434300223,-6197
191,0,0,6,4981,13589,429855,4911,7400,7721,0.063204876532883,-6189
167,0,0,5,5000,12699,430843,5000,6528,5202,0.195299,-6171
491,0,0,7,5000,13112,425848,5000,6956,5792,0.444843,-6156
404,0,0,8,5000,12806,427535,4841,6654,6415,0.067153379441128,-6152
496,0,0,2,4968,13236,426660,4991,7085,5954,0.231565914381877,-6151
719,0,0,7,5000,13180,428057,4830,7029,5549,0.181483115233042,-6151
171,0,0,9,5000,12699,430843,4987,6551,5477,0.098182597041199,-6148
428,0,0,6,4845,13029,434539,5000,6886,5943,0.064848614102652,-6143
46,0,0,0,5000,12999,428184,5000,6861,5211,0.35987,-6138
490,0,0,6,5000,13112,425848,4904,6979,5750,0.521006999451757,-6133
169,0,0,7,5000,12699,430843,4931,6579,7971,0.119452934764359,-6120
715,0,0,1,5000,13180,428057,4988,7070,5813,0.324092683589225,-6110
639,0,0,0,4954,12896,426981,4811,6800,5577,0.190934035650687,-6096
588,0,0,9,4898,12965,427489,4953,6895,6970,0.261621907416799,-6070
569,0,0,0,4952,12974,430738,5000,6912,6191,0.294139139237384,-6062
22,0,0,5,5000,12919,425490,4931,6890,5509,0.139332298761068,-6029
642,0,0,5,4954,12896,426981,5000,6874,9610,0.153231348704129,-6022
585,0,0,5,4898,12965,427489,4996,6952,5642,0.148843308976154,-6013
427,0,0,3,4845,13029,434539,4924,7029,6111,0.110394161984326,-6000
720,0,0,8,5000,13180,428057,5000,7184,6038,0.065272,-5996
643,0,0,7,4954,12896,426981,5000,6902,7941,0.060284905628373,-5994
637,0,0,8,4889,12990,432673,4878,7009,7281,0.115419841181705,-5981
77,0,0,7,5000,13040,427038,5000,7069,5802,0.568075,-5971
403,0,0,7,5000,12806,427535,4994,6842,7295,0.131012820139834,-5964
573,0,0,7,4952,12974,430738,4947,7026,5916,0.271905011055283,-5948
75,0,0,5,5000,13040,427038,5000,7103,8480,0.426889,-5937
636,0,0,7,4889,12990,432673,4968,7077,5970,0.111681865646015,-5913
582,0,0,0,4898,12965,427489,4872,7074,7142,0.185290390619631,-5891
