Id,Sender,Receiver,Rate,Bits,Sent Data,Rcvd Data,Sender Erasures,Receiver Erasures,RErasures,SErasures,Errors,Error %,Ones,OneErrs,OneErr%,Zeroes,ZeroErrs,ZeroErr%,Byte Errors,Byte Errors %
1,74,1,10,50,11110101111101010010110100001101111111111111011011,11110101111101010010110100001101111111111111011011,,,0,0,0,0.0,35,0,0,15,0,0,0,0.0
2,84,75,10,50,11111110111101111111010111101111111101111111010011,11111110111101111111010111101111111101111111010011,,,0,0,0,0.0,41,0,0,9,0,0,0,0.0
3,93,58,10,50,01001010111101100101011001000000100001010101000110,11001010111101100101011001000000100001010101000110,,,0,1,1,2.0,21,0,0,29,1,3,1,14.285714285714286
4,79,36,10,50,11111111010101111111011111110011110110111111011111,11111111010101111111011111110011110110111111011111,,,0,1,0,0.0,41,0,0,9,0,0,0,0.0
5,67,51,10,50,00010000100101011011000100101011000101001001001110,00010000100101011011000100101011000101001001001110,,,0,0,0,0.0,20,0,0,30,0,0,0,0.0
6,96,30,10,50,00011100100111101011110101010011011110100000100111,00011100100111101011110101010011011110100000100111,,,0,0,0,0.0,27,0,0,23,0,0,0,0.0
7,94,59,10,50,00111110111100111111011001111011011011111000111101,00111110111100111111011001111011011011111000111111,,,0,0,1,2.0,35,0,0,15,1,6,1,14.285714285714286
8,80,48,10,50,11011111111101110011011101111110110111011110111101,11011111111101110011011101111110110111011110111101,,,0,0,0,0.0,39,0,0,11,0,0,0,0.0
9,38,25,10,50,10010000000000000010000000101100000000000000011101,10010000000000000010000000101100000000000000011101,,,0,0,0,0.0,10,0,0,40,0,0,0,0.0
10,68,15,10,50,10111101001101111110111111111011101111011101011110,10111101001101111110111111111011101111011101011110,,,0,0,0,0.0,38,0,0,12,0,0,0,0.0
11,89,61,10,50,00000001000010101101110000010001100001000011001001,00000001000010101101110000010001100001000011001001,,,0,0,0,0.0,16,0,0,34,0,0,0,0.0
12,92,76,10,50,11111111111111111100111111001111111111111111111111,11111111111111111100111111001111111111111111111111,,,0,0,0,0.0,46,0,0,4,0,0,0,0.0
13,78,55,10,50,01001000010010001010000010000111111011110111111101,01001000010010001010000010000111111011110111111101,,,0,0,0,0.0,25,0,0,25,0,0,0,0.0
14,87,6,10,50,11111111111111111111111111111111111111111111111111,11111111111111111111111111111111111111111111111111,,,0,3,0,0.0,50,0,0,0,0,-,0,0.0
15,98,88,10,50,11011001111111111011011101001000111111101111101100,11011001111111111011011101001000111111101111101100,,,0,0,0,0.0,35,0,0,15,0,0,0,0.0
16,99,47,10,50,01111111111111111101001101111111001111111101101111,01111111111111111101001101111111001111111101101111,,,0,4,0,0.0,41,0,0,9,0,0,0,0.0
17,83,70,10,50,11111111111111111111111111111111111111111111111111,11111111111111111111111111111111111111111111111111,,,0,1,0,0.0,50,0,0,0,0,-,0,0.0
18,71,26,10,50,00000100000000001000100001000010001000100000000001,00000100000000001000100001000010001000100000000001,,,0,0,0,0.0,8,0,0,42,0,0,0,0.0
19,90,72,10,50,10001110110111100010001001001110111011010011111010,10001110110111100010001001001110111011010011111010,,,0,0,0,0.0,28,0,0,22,0,0,0,0.0
20,35,34,10,50,11111001110010111110111011111111001100111110111111,11111001110010111110111011111111001100111110111111,,,0,0,0,0.0,38,0,0,12,0,0,0,0.0
21,27,8,10,50,00111110011111011111111111111110111111111111011111,00111110011111011111111111111110111111111111011111,,,0,0,0,0.0,43,0,0,7,0,0,0,0.0
22,52,24,10,50,00111111111110110101111111111010011111010001111001,00111111111110110101111111111010011111010001111001,,,0,0,0,0.0,36,0,0,14,0,0,0,0.0
23,54,39,10,50,00011100000000001001101000110001001001100000000011,00011100000000001001101000110001001001100000000011,,,0,0,0,0.0,15,0,0,35,0,0,0,0.0
24,97,77,10,50,00001000100001100010100110010100001000000001001000,00001000100001100010100110010100001100000001001000,,,0,0,1,2.0,13,0,0,37,1,2,1,14.285714285714286
25,57,5,10,50,11111111111111111111111111111111111111111111111111,11111111111111111111111111111111111111111111111111,,,0,1,0,0.0,50,0,0,0,0,-,0,0.0
26,49,16,10,50,00010000101101110110101110010101100011110000010001,00010000101101110110101110010101100011110000011001,,,0,1,1,2.0,23,0,0,27,1,3,1,14.285714285714286
