MAC Addr,IP,Duration
c1:08:46:ca:f3:06,localhost,19.534351110458374
7b:a0:a4:75:9c:c0,localhost,22.357149839401245
5d:cc:db:cc:e5:ae,localhost,21.571555376052856
5f:75:c4:3c:4d:6a,localhost,23.42947268486023
b1:f7:77:6e:c9:28,localhost,24.042110681533813
71:56:36:98:bb:73,localhost,23.001914024353027
27:70:e3:a0:b1:4c,localhost,23.090744733810425
dd:fe:4b:7f:d7:97,localhost,24.32588219642639
65:7a:09:fb:09:bf,localhost,25.39676022529602
05:0f:ee:d4:ae:45,localhost,24.934720277786255
85:b9:4a:98:9d:f0,localhost,23.215101957321167
17:00:f0:8e:c2:44,localhost,25.582337379455566
21:0f:29:e1:3e:d3,localhost,25.872374773025513
3b:8f:8e:a1:94:80,localhost,25.518205881118774
03:24:71:7e:54:87,localhost,26.50313115119934
55:44:d3:f3:3b:91,localhost,27.500621557235718
bf:9a:f5:5d:2a:c0,localhost,27.027008056640625
51:97:d9:55:ea:ef,localhost,27.63356113433838
9d:d1:a8:53:cf:8c,localhost,27.774468421936035
f1:64:45:94:c4:a8,localhost,27.138808727264404
9b:8c:3e:6a:80:6e,localhost,26.899677991867065
47:76:dc:35:e4:f5,localhost,27.645636796951294
81:5a:7f:cd:07:1e,localhost,28.030420780181885
97:09:94:f0:26:ab,localhost,27.078885078430176
7f:d9:06:80:da:27,localhost,28.204257488250732
33:88:16:0e:4a:4e,localhost,28.12367868423462
9b:36:fa:d8:72:14,localhost,29.81538462638855
01:94:be:7e:b4:fa,localhost,29.557268381118774
c7:26:f6:78:41:10,localhost,29.535691738128662
cb:35:ee:80:1e:3e,localhost,29.978955268859863
3b:84:6e:80:01:cc,localhost,30.082552433013916
85:81:4f:b3:15:c9,localhost,29.467671632766724
b1:7c:0d:3f:24:28,localhost,30.334043264389038
f1:ed:eb:f8:04:25,localhost,30.481086254119873
bb:3a:71:ad:c6:91,localhost,29.063143730163574
05:9c:97:c5:e4:e5,localhost,29.643827438354492
bd:75:bf:0f:53:4f,localhost,30.708629369735718
11:9e:8b:ea:87:88,localhost,31.288467168807983
f1:1d:16:ca:eb:1a,localhost,28.8280930519104
31:81:a7:c3:13:ad,localhost,31.43277144432068
d9:73:35:06:3e:05,localhost,32.15439510345459
9f:44:b4:d3:2a:a8,localhost,31.528115034103394
