Id,Lambda,Phase,Bit,Base Size,Base Mean,Base Std,Size,Mean,Std,Pvalue,Mean Diff
733,109,0,9,998,6394,3897,1000,6222,3367,0.29136894314258,-172
2713,483,0,4,983,6459,3826,929,6288,3216,0.289372791012591,-171
981,150,0,9,1000,6753,9945,995,6583,4808,0.626758966792807,-170
1874,311,0,9,1000,6413,4157,948,6243,3711,0.340673473329003,-170
502,72,0,4,965,6359,3540,1000,6190,3166,0.265474835676577,-169
2082,350,0,7,1000,6106,3306,996,5937,2188,0.178127902042178,-169
1318,210,0,3,961,6278,3733,989,6110,3392,0.298893821858977,-168
744,112,0,1,947,6474,4631,1000,6307,4281,0.409545547915621,-167
258,35,0,4,995,6245,3630,986,6079,3232,0.282538906502414,-166
786,119,0,9,983,6810,8361,1000,6645,4566,0.586500789259302,-165
1204,191,0,6,1000,6219,3312,984,6056,2427,0.210914224200758,-163
986,151,0,9,1000,6653,4593,911,6491,4277,0.424825166233348,-162
1329,212,0,3,1000,7282,6330,975,7120,6214,0.566109580396174,-162
2080,350,0,0,1000,6106,3306,975,5945,2379,0.213494629366182,-161
1287,204,0,8,980,6237,3192,982,6077,2544,0.219893706422357,-160
2659,469,0,9,988,6351,3853,988,6191,3286,0.320847159003669,-160
1077,166,0,9,936,6602,4351,1000,6444,4117,0.412681687202174,-158
1106,171,0,9,998,6564,4680,915,6406,4065,0.42974082033127,-158
2430,419,0,9,984,6638,4994,919,6480,4559,0.470756624097356,-158
542,78,0,5,1000,6179,2944,952,6022,1803,0.153437538205972,-157
13,2,0,4,1000,6448,3939,1000,6292,3229,0.332979669511976,-156
726,108,0,7,1000,6294,3877,1000,6138,3546,0.347964155769609,-156
2019,337,0,9,1000,6422,4009,994,6268,3620,0.368125011348462,-154
1720,284,0,9,1000,6862,4585,953,6709,4300,0.446789462390364,-153
401,56,0,9,989,6915,5005,1000,6763,4699,0.485242255951188,-152
875,134,0,8,1000,6407,4184,1000,6255,3505,0.378686775503347,-152
2573,451,0,5,976,6246,3654,1000,6094,3479,0.344017740658608,-152
876,134,0,9,1000,6407,4184,976,6256,3613,0.390355199235641,-151
2079,349,0,9,1000,6383,3551,957,6232,2851,0.298856544631783,-151
2734,488,0,4,979,6171,3224,972,6020,2339,0.236424285158969,-151
1491,245,0,9,1000,6511,4377,926,6361,4644,0.466741574797005,-150
1690,279,0,9,1000,6490,3996,955,6340,3272,0.363090970438589,-150
38,5,0,4,950,6706,4424,1000,6557,7273,0.582692216322905,-149
393,55,0,8,996,6224,3324,984,6075,2573,0.264631603228649,-149
454,65,0,8,1000,6470,4205,1000,6322,3927,0.416112171557102,-148
31,4,0,5,1000,6271,4213,1000,6125,3491,0.398886314908128,-146
922,141,0,8,983,6553,4301,894,6407,3479,0.4171429522948,-146
1544,258,0,0,990,6447,4013,961,6301,2954,0.359295739290759,-146
2234,384,0,3,934,6178,3420,1000,6032,2294,0.27383371253698,-146
725,108,0,4,1000,6294,3877,997,6149,3236,0.364358534212358,-145
1917,320,0,7,978,6414,3858,976,6269,3346,0.374921582937699,-145
2395,412,0,9,1000,7277,6213,951,7133,5481,0.58687004005731,-144
2008,336,0,1,956,6211,3253,972,6069,2942,0.315234249591118,-142
2636,464,0,9,986,6552,4134,998,6410,3508,0.409839552484215,-142
969,148,0,9,930,6995,5331,1000,6854,4966,0.548580240996439,-141
1957,326,0,9,1000,6366,3323,950,6225,2972,0.323001245448167,-141
2367,407,0,3,999,6586,4499,1000,6445,6292,0.56449283098405,-141
2619,460,0,9,966,6498,3978,966,6358,3498,0.411575495399572,-140
2025,338,0,9,989,6335,3232,1000,6196,2866,0.310624383561768,-139
1925,321,0,9,986,6543,4679,1000,6405,4176,0.488378153347279,-138
1352,216,0,9,967,6856,10013,926,6719,4980,0.704540476539906,-137
1169,183,0,8,979,6623,4684,986,6487,4586,0.515640541378885,-136
83,10,0,9,982,6540,4784,988,6405,5315,0.553553037280692,-135
1098,170,0,4,1000,6404,4037,1000,6269,5201,0.516842268473527,-135
2012,336,0,7,956,6211,3253,967,6077,3239,0.365627351945179,-134
2656,469,0,1,988,6351,3853,966,6217,3156,0.400096334716817,-134
2548,446,0,9,989,6725,5417,935,6593,5097,0.581945853552681,-132
475,68,0,5,1000,6392,4148,958,6261,3187,0.432239454194929,-131
1468,240,0,9,989,6448,4206,1000,6317,3730,0.462707985148598,-131
1190,187,0,9,965,6177,2608,974,6047,2388,0.252696300129153,-130
1071,165,0,9,1000,6834,5248,907,6705,5041,0.58429437769687,-129
1307,208,0,5,917,6159,3480,965,6030,1356,0.294257101469204,-129
792,120,0,9,1000,6918,5248,915,6790,5497,0.603110444045083,-128
390,55,0,3,996,6224,3324,984,6097,2236,0.318238875369922,-127
1309,208,0,9,917,6159,3480,994,6032,2302,0.351131777621718,-127
1016,156,0,9,977,6829,5158,1000,6703,4554,0.565211000041025,-126
326,45,0,1,982,6321,3452,956,6196,3268,0.413039821184887,-125
2269,389,0,5,1000,6169,2356,966,6044,1824,0.187810038811902,-125
379,53,0,3,981,6350,4355,981,6226,3770,0.500315405378736,-124
2130,359,0,9,997,6277,2970,1000,6153,2904,0.345707307729509,-124
235,32,0,4,979,6590,4592,996,6468,3999,0.529332261884676,-122
872,134,0,4,1000,6407,4184,1000,6285,3875,0.49885248030193,-122
1702,281,0,7,978,6377,3649,1000,6256,3440,0.448287826695542,-121
2177,369,0,9,980,6250,4085,1000,6129,3319,0.470085309063121,-121
272,37,0,3,996,6122,2781,1000,6002,2251,0.289711075884652,-120
391,55,0,6,996,6224,3324,979,6104,2588,0.370467433190548,-120
