start_time,Boot ID,MAC Addr,IP,imax_value,iavg_value,fmax_value,favg_value
1575252395139,fbf672d1-887b-4ec7-8b0b-a76a4923ea33,36:b8:9c:dc:2a:74,169.254.191.181,0.0002052783966064453,2.4855518341064452e-05,0.0001308917999267578,2.5195360183715822e-05
1575252395147,1dbd5769-0999-4e6d-b5ab-8ac9e8d61668,ce:ab:63:73:70:d4,169.254.174.109,0.00018906593322753906,2.515535354614258e-05,0.00012803077697753906,2.5751304626464842e-05
1575252394636,1d98c412-ad4d-4ff1-b596-3da3f06b3e26,f6:06:b7:be:79:72,169.254.19.93,0.0001595020294189453,2.5696849822998047e-05,0.0023772716522216797,4.4881629943847654e-05
1575252395177,1b30fb64-3b37-4c2d-91fe-cfbd1d054c08,be:b7:80:f2:c3:1e,169.254.101.229,0.00033736228942871094,2.498302459716797e-05,0.00014209747314453125,2.5831890106201172e-05
1575252395202,ae319e91-b889-41c0-b8fb-770831455405,52:4f:7d:a2:a4:4e,169.254.191.189,0.00019121170043945312,2.4873733520507813e-05,0.0002474784851074219,2.5388526916503907e-05
1575252395209,bc9dc990-0676-41fd-b38c-2786fe7f9eca,72:7f:14:fd:e4:8f,169.254.68.109,0.0001327991485595703,2.5132226943969726e-05,0.0002090930938720703,2.6205825805664062e-05
1575252395207,9ac09f5e-a9a2-460a-b906-e7d9062e6b1a,12:28:65:e0:95:60,169.254.11.173,0.00018668174743652344,2.541036605834961e-05,0.00046634674072265625,2.6396799087524414e-05
1575252395135,5e2a5f8e-2a0e-4258-8903-23cece3df991,0a:10:59:13:8a:98,169.254.227.189,0.00019741058349609375,2.6374149322509766e-05,0.00030875205993652344,2.7568292617797852e-05
1575252395186,8b9a0ebd-135b-40cd-8cca-70710f267dc4,e2:d1:94:2b:97:94,169.254.16.253,0.00019121170043945312,2.5377941131591798e-05,0.00017261505126953125,2.611856460571289e-05
1575252395212,d05982b5-8b4a-4684-b8a8-a5a4ab818d00,f6:f9:12:de:4d:09,169.254.155.5,0.00024366378784179688,2.5468301773071288e-05,0.00019621849060058594,2.572221755981445e-05
1575252395206,f4fa6746-c9c4-4831-b497-a3466f1bb380,8a:8e:27:9b:c3:51,169.254.154.245,0.00018835067749023438,2.5270843505859375e-05,0.00016832351684570312,2.5748634338378908e-05
1575252395160,2e4b584b-38a4-49fc-8a6e-dbb232854529,6a:d5:75:1f:15:4b,169.254.68.73,0.0001704692840576172,2.557687759399414e-05,0.00018644332885742188,3.0913782119750976e-05
1575252395211,01344862-3f4b-4fb6-a17a-3be7d2fb6dd4,3a:ee:e0:bd:82:b4,169.254.64.109,0.00016617774963378906,2.5155830383300782e-05,0.0002110004425048828,2.609701156616211e-05
1575252395226,062bb52d-2084-4b2b-8e10-8ff6a03e0d15,ce:bc:4a:c2:c0:ed,169.254.101.253,0.0001773834228515625,2.4853992462158202e-05,0.00014495849609375,2.6024484634399415e-05
1575252395218,9cfefe8e-f51c-4848-96f4-44ed6df24c9e,c6:52:f0:fa:00:5d,169.254.69.69,0.00018858909606933594,2.5476884841918945e-05,0.00021576881408691406,2.62150764465332e-05
1575252395148,27d97a96-8b0a-4b1f-8a29-8d689a5f5bdf,2a:e0:af:83:07:50,169.254.189.77,0.0002715587615966797,2.58819580078125e-05,0.00018286705017089844,3.1400203704833984e-05
1575252395140,49798f0e-2213-4955-a3f3-c642640a7e5b,96:dd:03:6f:00:6b,169.254.0.73,0.008565425872802734,2.7840280532836914e-05,0.0002884864807128906,2.9445695877075195e-05
1575252395169,50d4de84-022a-4eb7-bd79-87669aec5c56,82:02:e2:3a:4f:ed,169.254.227.205,0.00019502639770507812,2.6241540908813476e-05,0.00026535987854003906,2.7207326889038084e-05
1575252395248,216488b2-4213-4918-8cfc-bd77924acb6b,12:78:e6:b8:50:46,169.254.174.141,0.00019884109497070312,2.4848556518554686e-05,0.00020265579223632812,2.5858592987060546e-05
1575252395255,7939d1f6-e073-4b6f-a4ac-be11a774b25d,1a:ac:91:0a:05:6d,169.254.71.81,0.00021219253540039062,2.540316581726074e-05,0.00023317337036132812,2.6265382766723634e-05
1575252395249,a4753499-bfd1-4c05-8600-66d247e803c0,42:38:2e:43:92:97,169.254.155.53,0.00018978118896484375,2.5377702713012695e-05,0.00017523765563964844,2.5686311721801757e-05
1575252395155,1d866d57-9cbb-46f1-9f83-5e66452b1484,3a:84:c4:d1:fb:5a,169.254.107.101,0.00019931793212890625,2.621479034423828e-05,0.00027632713317871094,3.146853446960449e-05
1575252395217,95829dc3-6d0b-4bba-8f3c-430c4fc984db,fa:29:53:34:25:b5,169.254.174.125,0.0002129077911376953,2.5600910186767578e-05,0.00020956993103027344,2.6639366149902343e-05
1575252395148,761a2c00-35a0-4f9f-918c-ccdff4945c65,b2:99:eb:56:a1:7d,169.254.107.93,0.00018787384033203125,2.5975751876831054e-05,0.002936124801635742,3.21042537689209e-05
1575252395239,21a732a6-e022-46ee-b5e1-e1a69afd9ef4,12:44:53:dc:ed:38,169.254.174.133,0.00019860267639160156,2.5507402420043945e-05,0.0005884170532226562,2.6842641830444337e-05
1575252395262,7eb8a3d6-c4dc-45da-afb3-3bc1467d2743,26:47:f4:0d:f0:b7,169.254.71.85,0.0001952648162841797,2.534184455871582e-05,0.00020384788513183594,2.6255130767822266e-05
