Cluster,Tag 0,Tag 1,Tag 0 %,Tag 1 %
1,0.5263157894736842,0.47368421052631576,52.63157894736842,47.368421052631575
2,1.0,1.0,50.0,50.0
3,1.6666666666666667,1.3333333333333333,55.555555555555564,44.444444444444436
4,1.25,2.75,31.25,68.75
5,2.0,3.0,40.0,60.0
6,3.0,3.0,50.0,50.0
7,4.0,3.0,57.142857142857146,42.857142857142854
