Boot ID,MAC Addr,raw_device_num,UP Time 2,UP Time 1,File NR 3,File NR 2,File NR 1
0850213e-01bb-4bfe-8aa6-c74087744d80,f2:28:c6:45:28:da,65024,3026.45,1513.94,18779,0,288
97ab9f60-f0e1-49f6-9607-a5f76464eb36,aa:dc:ee:7f:bc:7f,65024,3194.67,1598.13,18779,0,288
97ab9f60-f0e1-49f6-9607-a5f76464eb36,aa:dc:ee:7f:bc:7f,65024,3194.69,1598.14,18779,0,288
0850213e-01bb-4bfe-8aa6-c74087744d80,f2:28:c6:45:28:da,65024,3026.48,1513.96,18779,0,288
97ab9f60-f0e1-49f6-9607-a5f76464eb36,aa:dc:ee:7f:bc:7f,65024,3194.77,1598.18,18779,0,288
67fffe87-ce86-45e4-8ab6-d4b2d1fd86f5,12:c7:ad:80:d9:47,65024,995.30,498.19,18779,0,288
423ce96d-1e26-4f6b-bf48-6c7bd49fa9a7,4a:7b:aa:2e:82:63,65024,2713.45,1357.44,18779,0,288
dd25b049-7861-4c42-bca2-05dc015e9dff,62:cc:bb:60:8f:23,65024,1123.74,562.45,18779,0,288
c926b476-9f9e-4aa2-9f6b-4c5206ce4da0,d2:e7:c4:db:b7:43,65024,1495.16,748.17,18779,0,320
4abcf6e5-2765-4fd3-93e3-81c4c89112bf,7a:f9:28:dd:f5:80,65024,1809.51,905.46,18779,0,288
aa4e304a-da22-4833-8a9a-2beacd13dda2,0a:58:63:99:9e:78,65024,1442.38,721.84,18779,0,288
6d7e34e1-f263-460b-96bb-0f17e2b33f4e,ce:49:e6:73:97:39,65024,2812.74,1407.04,18779,0,288
5fcf642d-96f1-4d3f-854a-ce85bb54622c,fe:6a:1f:b8:6f:6c,65024,1045.95,523.53,18779,0,288
c40a3814-0844-4c5b-b6ee-c5f78e559d97,a6:37:23:e4:33:bd,65024,3618.34,1809.86,18779,0,288
f7806322-d9be-4085-80ea-a5fdb5da6efe,46:61:84:e8:a7:59,65024,1320.65,660.92,18779,0,288
00d60f6e-996e-4dad-9ec0-8c3a320bc5e4,76:7f:62:89:99:7c,65024,1403.92,702.55,18779,0,320
773131d2-dbac-4d89-881d-fd6f2fe51eed,fa:42:8d:84:07:64,65024,1024.78,512.96,18779,0,288
f20de40e-8ed9-4c71-b199-2d3716d01683,12:3b:79:04:cf:8e,65024,1788.39,894.82,18779,0,320
57a9cb85-404f-400d-8046-ec1eb1312fb0,4e:1f:55:b8:c1:4c,65024,2705.02,1353.13,18779,0,320
63b1ef34-b51d-4237-a3e5-e6b64a5ce08f,86:e1:0c:5c:e8:ca,65024,2390.19,1195.73,18779,0,288
a0971207-45c4-426d-9927-6b94bda5bfd4,9a:d8:64:3d:1a:8a,65024,1768.15,884.70,18779,0,288
8571e7cc-ae2b-461f-ae24-f6892f0c746c,86:86:94:ca:ff:3c,65024,1962.52,981.89,18779,0,288
f6ce5d9b-c9d6-441e-ba24-6f460a548987,2e:94:82:e4:da:fd,65024,1590.12,795.65,18779,0,288
f05e4d65-45bc-4aad-86e8-9495e9979942,3e:0d:ca:bc:46:f7,65024,1857.69,929.48,18779,0,288
b8b6d651-e8b0-44ba-9d32-14a78455653f,7a:d7:d3:c3:3a:ac,65024,1641.51,821.39,18779,0,288
0774974f-c458-4dc2-a937-d9885b56b523,e6:34:9c:bb:ea:42,65024,968.79,484.95,18779,0,320
91fee045-becd-4545-bf2d-3316d2a31525,ce:8f:37:83:50:0d,65024,3015.38,1508.36,18779,0,288
8e56cacc-cad5-49a0-8ade-d4c646825e9b,a2:cf:7d:e5:e8:dd,65024,1926.17,963.69,18779,0,320
401954b7-3832-4ba6-8c96-0e411ea01fd4,7e:ff:24:6f:b3:9b,65024,1490.33,745.79,18779,0,288
aca6570b-5989-408c-abc9-1fd50fbb87e8,76:7a:a9:21:5a:ff,65024,2110.31,1055.78,18779,0,288
318d878f-a1a2-4d17-89bd-a67519bb4e11,66:02:2d:89:c5:7b,65024,1249.30,625.27,18779,0,320
4bf31ed6-60e6-485b-89ae-7cedd3617d9e,76:58:b4:d7:d2:34,65024,1510.38,755.81,18779,0,288
89ac607a-c1f7-48b9-98e8-e89584537bbf,a6:7a:9b:66:49:a3,65024,1909.15,955.18,18779,0,320
0d8c773c-cae4-4cba-9ab5-572dc0b5bc52,3e:c5:a5:ca:6d:df,65024,1710.52,855.89,18779,0,288
77c21292-241b-4224-9170-7645364ef13f,b6:c6:8e:1c:80:2f,65024,1765.49,883.40,18779,0,288
85a7309b-a0f2-4989-aaa1-be6312ae555f,9a:d7:63:35:89:87,65024,1661.35,831.28,18779,0,288
1ffda96f-84d5-4b5b-a49b-ff77fe07739e,16:25:29:ea:68:a5,65024,2075.95,1038.59,18779,0,320
e708fb26-3543-4a95-8b91-64f8825c5943,ba:8c:c0:b8:7d:5c,65024,2120.80,1061.09,18779,0,320
0aed70a7-5178-4bb5-ba2f-724610a301df,16:a5:b5:2c:25:b2,65024,1662.54,831.83,18779,0,288
