Start Time,UP Time,Boot Time,Frequency,Interface,IP Address,MAC Address,Exec Time
1575609793076,1.87,2019-12-06 05:23:11,2000.083,lo,127.0.0.1,67:60:1b:6a:ef:af,52.59290885925293
1575609793662,1.52,2019-12-06 05:23:11,2000.083,eth2,169.254.8.1,65:0a:ab:05:94:78,52.048969984054565
1575609793418,1.64,2019-12-06 05:23:11,2000.169,eth1,169.254.8.130,77:de:bf:52:5c:34,52.418391704559326
1575609793485,2.07,2019-12-06 05:23:11,2000.073,eth2,169.254.8.1,95:02:b7:99:a8:26,52.39998126029968
1575609794690,2.45,2019-12-06 05:23:11,2000.178,eth0,192.168.1.1,ff:d7:86:a2:03:e4,51.22252869606018
1575609793582,1.55,2019-12-06 05:23:11,2000.169,lo,127.0.0.1,ff:b4:e4:17:26:16,52.42859959602356
1575609793538,2.39,2019-12-06 05:23:10,2000.073,eth1,169.254.8.130,19:39:1c:f3:02:55,52.50364112854004
1575609793665,1.46,2019-12-06 05:23:11,2000.076,eth0,192.168.1.1,d9:58:46:52:92:8a,52.50722646713257
1575609794492,1.30,2019-12-06 05:23:12,2000.186,eth0,192.168.1.1,7f:38:54:38:27:b5,51.76155209541321
1575609793357,1.96,2019-12-06 05:23:11,2000.167,lo,127.0.0.1,ed:1d:3e:b9:b9:4e,52.93852710723877
1575609794036,1.29,2019-12-06 05:23:12,2000.073,eth2,169.254.8.1,ff:8d:49:ca:15:63,52.26981854438782
1575609793335,1.73,2019-12-06 05:23:10,2000.076,lo,127.0.0.1,bb:c2:03:c5:57:8f,53.01461672782898
1575609792919,1.82,2019-12-06 05:23:10,2000.165,eth1,169.254.8.130,79:cc:bd:fb:c1:69,53.486751317977905
1575609794203,1.88,2019-12-06 05:23:12,2000.186,eth2,169.254.8.1,5f:2f:a4:5b:f0:fa,52.501630783081055
1575609794234,1.86,2019-12-06 05:23:12,2000.186,lo,127.0.0.1,53:6a:a9:2b:31:56,52.489664793014526
1575609794226,1.84,2019-12-06 05:23:11,2000.167,eth1,169.254.8.130,47:22:2d:9a:12:fd,52.47529196739197
1575609794700,2.59,2019-12-06 05:23:11,2000.178,eth2,169.254.8.1,05:50:b5:7f:65:98,52.08844518661499
1575609795856,1.97,2019-12-06 05:23:12,2000.178,eth2,169.254.8.1,6f:c2:9d:53:92:0c,51.56566095352173
1575609793276,1.74,2019-12-06 05:23:11,2000.165,lo,127.0.0.1,9d:64:ac:2e:9c:2a,54.12821936607361
1575609793525,2.14,2019-12-06 05:23:11,2000.172,eth0,192.168.1.1,97:1f:ec:10:4c:93,54.02704834938049
1575609793367,2.01,2019-12-06 05:23:11,2000.172,eth1,169.254.8.130,d7:2c:ff:9a:8c:b7,54.31798052787781
1575609794388,2.29,2019-12-06 05:23:11,2000.172,eth2,169.254.8.1,ed:ce:40:54:3e:bf,53.31471347808838
1575609793457,1.56,2019-12-06 05:23:11,2000.165,eth1,169.254.8.130,39:68:18:70:fc:99,54.40733218193054
1575609793953,1.72,2019-12-06 05:23:11,2000.177,eth2,169.254.8.1,55:1c:59:43:e8:b8,54.27460503578186
1575609793524,1.94,2019-12-06 05:23:11,2000.177,eth2,169.254.8.1,41:1a:34:a3:21:84,54.86674642562866
1575609794752,2.66,2019-12-06 05:23:11,2000.187,eth2,169.254.8.1,39:f9:03:77:b0:85,53.88162636756897
1575609794507,1.49,2019-12-06 05:23:11,2000.177,eth1,169.254.8.130,4b:e7:b5:79:6a:8a,54.26640176773071
1575609797585,3.83,2019-12-06 05:23:11,2000.144,lo,127.0.0.1,55:7d:f4:76:1a:93,51.36144828796387
1575609794202,2.78,2019-12-06 05:23:11,2000.176,lo,127.0.0.1,7f:da:be:85:58:65,54.93925452232361
1575609796911,4.36,2019-12-06 05:23:11,2000.144,eth1,169.254.8.130,29:cc:c1:8a:3a:6a,52.39795708656311
1575609797213,3.78,2019-12-06 05:23:12,2000.144,eth2,169.254.8.1,45:8b:87:9e:0b:bf,52.11796307563782
1575609795010,2.39,2019-12-06 05:23:11,2000.187,eth2,169.254.8.1,13:68:e5:91:72:bb,54.47037720680237
1575609793546,2.09,2019-12-06 05:23:11,2000.176,eth0,192.168.1.1,f5:c3:e8:4b:cb:10,56.030205488204956
1575609795628,2.02,2019-12-06 05:23:12,2000.187,eth2,169.254.8.1,91:ae:6a:e5:dd:ca,54.173853397369385
1575609795402,3.21,2019-12-06 05:23:12,2000.161,lo,127.0.0.1,ab:34:ef:01:c9:77,54.62370824813843
1575609794066,2.15,2019-12-06 05:23:11,2000.176,eth0,192.168.1.1,9b:4d:3c:48:02:51,56.193933725357056
1575609794310,2.44,2019-12-06 05:23:11,2000.176,eth1,169.254.8.130,1d:93:ce:7b:02:ec,55.93943548202515
1575609795363,2.15,2019-12-06 05:23:12,2000.176,eth0,192.168.1.1,97:9f:d5:a6:31:47,55.21601986885071
1575609796519,3.14,2019-12-06 05:23:13,2000.161,lo,127.0.0.1,a7:f1:01:06:39:db,54.79183626174927
1575609794389,1.87,2019-12-06 05:23:11,2000.176,lo,127.0.0.1,33:5b:6d:05:d1:f3,57.37101149559021
1575609796633,3.28,2019-12-06 05:23:11,2000.161,eth1,169.254.8.130,49:7b:30:71:82:fa,55.21614146232605
