Mean,Median,50tile,80tile,90tile
19005.428571428572,19073,19073.0,19104.4,19111.6
19211.0,19230.0,19230.0,19258.0,19272.0
13849.444444444445,11629,11629.0,18951.6,19249.600000000002
19293.5,19261.5,19261.5,19435.0,19578.5
18126.666666666668,19070.5,19070.5,19139.0,19165.0
11303.0,9391,9391.0,14230.0,14512.0
17632.428571428572,19068,19068.0,19086.8,19100.199999999997
11602.6,9388.0,9388.0,13639.600000000002,19117.4
18767.5,19089.5,19089.5,19093.0,19095.5
18120.166666666668,19074.0,19074.0,19078.0,19099.5
19078.6,19136,19136.0,19145.8,19151.4
9333.25,9322.5,9322.5,9352.6,9401.8
12258.0,9375,9375.0,17331.4,19063.0
12154.888888888889,9526,9526.0,15247.400000000001,19192.600000000002
19093.0,19094.5,19094.5,19111.0,19125.0
