Mean,Median,50tile,80tile,90tile
11280.727272727272,9343,9343.0,10810.0,19135.0
9362.0,9362.0,9362.0,9388.4,9397.199999999999
19241.428571428572,19222,19222.0,19289.0,19358.0
10997.0,9343.0,9343.0,10723.600000000002,16397.8
12302.3,9312.5,9312.5,12730.400000000001,20009.499999999996
186273.33333333334,19236.0,19236.0,19475.0,520478.5
9874.833333333334,9393.5,9393.5,9510.4,9615.6
9352.076923076924,9348,9348.0,9435.8,9453.4
18096.0,19092,19092.0,19109.600000000002,19115.8
9313.0,9368,9368.0,9382.2,9390.6
9460.846153846154,9448,9448.0,9548.4,9555.2
9658.0,9335.0,9335.0,9336.0,9338.7
10140.545454545454,9326,9326.0,9345.0,9350.0
9297.181818181818,9307,9307.0,9353.0,9372.0
19073.666666666668,19067.5,19067.5,19096.0,19099.5
10224.181818181818,9680,9680.0,11267.0,11331.0
9417.25,9402.0,9402.0,9452.0,9499.9
19104.5,19104.5,19104.5,19125.8,19132.9
19093.166666666668,19091.0,19091.0,19096.0,19151.0
19063.333333333332,19047.0,19047.0,19069.0,19102.0
9336.666666666666,9335.0,9335.0,9394.6,9403.400000000001
11757.3,9584.5,9584.5,14406.2,19047.5
18179.0,19084,19084.0,19141.0,19161.0
18394.833333333332,19212.5,19212.5,19298.0,19314.5
11763.3,9388.5,9388.5,12373.200000000003,19406.6
