Logs,GUID,Error,IP Address,Success,Id,CPU CPI,MAC Address,Request ID,Start Time,Protocol Time,Phases,Phase 1,Phase 2,Phase 3,End Time,Boot ID,Predecessors,Base Sample,Bit-1 Sample,Bit-0 Sample,Warm Start,Tag,Channel,Bit-0 Pvalue,Bit-1 Pvalue
out/02-02-23-12/log,02-02-23-12-1,,169.254.76.1,1,1,7.853357,BE:4D:1B:AB:4D:2F,5af5f4c2-458f-41e7-a64b-6e22ae54d782,2021-02-03 07:12:02,30,3,100,91,36,2021-02-03 07:12:45,645562cb-1ed2-40e3-b7dc-d9c3d44de2bb,,-,-,-,No,DEFAULT,-,-,-
out/02-02-23-12/log,02-02-23-12-64,,169.254.76.1,1,64,7.807310,86:D1:28:74:E9:28,41d818fe-0201-492b-b913-51f266d8ae07,2021-02-03 07:12:01,20,1,64,-1,-1,2021-02-03 07:12:35,b7c3c276-be5a-487d-977d-470eee09580e,,-,-,-,No,DEFAULT,-,-,-
out/02-02-23-12/log,02-02-23-12-11,,169.254.76.1,1,11,7.758607,CE:35:B0:17:BB:F4,80bda764-7424-4f85-920f-2d2242f3baf8,2021-02-03 07:12:02,20,1,11,-1,-1,2021-02-03 07:12:35,43fb16d3-b931-468e-850e-c7809ce409b9,,-,-,-,No,DEFAULT,-,-,-
out/02-02-23-12/log,02-02-23-12-34,,169.254.76.1,1,34,8.376446,BA:82:84:2D:3D:16,593d6a06-cb2a-4ebf-ad94-15ca17ecdd5b,2021-02-03 07:12:01,30,3,100,91,36,2021-02-03 07:12:45,558f0f63-9b2f-4aa2-a28b-91a10d860041,,-,-,-,No,DEFAULT,-,-,-
out/02-02-23-12/log,02-02-23-12-30,,169.254.76.1,1,30,7.787896,D2:97:45:98:2C:53,abc1e8ab-8d05-458e-879f-1c854846982d,2021-02-03 07:12:01,30,2,30,17,-1,2021-02-03 07:12:54,13da4823-4a9c-405e-ac04-c5b5c4b8afe1,,-,-,-,No,DEFAULT,1,-,-
out/02-02-23-12/log,02-02-23-12-9,,169.254.76.1,1,9,7.874127,0E:B0:B4:1D:A7:CE,ccef7b56-bbc9-4ae1-9200-b3ca87ee755c,2021-02-03 07:12:01,30,2,66,9,-1,2021-02-03 07:12:54,c8950d2e-dc55-4a72-89ac-1000c66e1810,,-,out/02-02-23-12/bit1_samples9,-,No,DEFAULT,2,-,-
out/02-02-23-12/log,02-02-23-12-69,,169.254.76.1,1,69,7.883849,BE:90:41:A3:AD:93,2a3eda52-81d3-4c62-a357-22d4d02127ec,2021-02-03 07:12:01,20,1,69,-1,-1,2021-02-03 07:12:35,fd1dbb66-391d-4ea7-8606-ce77a3bbc581,,-,-,-,No,DEFAULT,-,-,-
out/02-02-23-12/log,02-02-23-12-2,,169.254.76.1,1,2,7.974739,86:B1:C1:7C:72:6A,015d9048-0247-4497-a5f6-d2e7f6e82463,2021-02-03 07:12:01,30,2,5,2,-1,2021-02-03 07:12:54,e19a40ff-7ae8-4294-b7da-9c36df6532b2,,-,out/02-02-23-12/bit1_samples2,-,No,DEFAULT,3,-,-
out/02-02-23-12/log,02-02-23-12-55,,169.254.76.1,1,55,7.695002,3E:64:A0:56:BC:C8,2ea990dc-b119-42e1-be95-587606f3fb7f,2021-02-03 07:12:01,20,1,55,-1,-1,2021-02-03 07:12:35,f2fb01a1-3336-488d-ab14-b4e018a11d95,,-,-,-,No,DEFAULT,-,-,-
out/02-02-23-12/log,02-02-23-12-80,,169.254.76.1,1,80,7.936285,0E:A1:0A:21:16:AD,4ea74878-db6b-4168-a5e2-8bda20cf2849,2021-02-03 07:12:01,30,3,80,33,10,2021-02-03 07:12:54,937603d0-7223-4234-9018-6cd4a47c2a2a,,-,-,out/02-02-23-12/bit0_samples80,No,DEFAULT,4,-,-
out/02-02-23-12/log,02-02-23-12-37,,169.254.76.1,1,37,7.757871,66:01:D0:A6:68:DB,1bb24565-cbef-44a1-a42c-64b541750474,2021-02-03 07:12:01,20,1,37,-1,-1,2021-02-03 07:12:35,28041aac-dca8-44d4-87ca-433c5387a2de,,-,-,-,No,DEFAULT,-,-,-
out/02-02-23-12/log,02-02-23-12-67,,169.254.76.1,1,67,7.914583,DE:90:BC:13:C4:D5,ccda3925-7a11-4b80-b603-ff7c6e5f152d,2021-02-03 07:12:01,20,1,67,-1,-1,2021-02-03 07:12:35,a508689c-6e37-47c5-a9bf-5621104256de,,-,-,-,No,DEFAULT,-,-,-
out/02-02-23-12/log,02-02-23-12-56,,169.254.76.1,1,56,7.773657,62:66:89:BD:8D:8B,026c7edf-9f92-4080-b424-af3c4b2e5e47,2021-02-03 07:12:02,30,3,90,88,77,2021-02-03 07:12:45,7bd1e1e3-8520-4b90-bfe0-7f7fa5cb11e1,,-,-,-,No,DEFAULT,-,-,-
out/02-02-23-12/log,02-02-23-12-29,,169.254.76.1,1,29,7.899809,8E:31:3D:BF:2F:4A,2bab6eb4-6d3b-4a38-8987-78cc5783be6e,2021-02-03 07:12:01,30,3,94,75,29,2021-02-03 07:12:45,f6d04d07-8fd8-4808-a890-6965cf06cbb8,,-,-,-,No,DEFAULT,-,-,-
out/02-02-23-12/log,02-02-23-12-41,,169.254.76.1,1,41,7.896643,F6:54:75:C5:67:D5,087db32a-45a8-4bc4-97a4-9b84c92356ac,2021-02-03 07:12:02,30,3,90,88,77,2021-02-03 07:12:45,69f64020-3577-4e24-a670-0a4f93d452fb,,-,-,-,No,DEFAULT,-,-,-
out/02-02-23-12/log,02-02-23-12-38,,169.254.76.1,1,38,7.995814,66:56:82:F9:C1:6F,368a1d67-f090-49c4-8204-62e24183a780,2021-02-03 07:12:02,30,2,63,38,-1,2021-02-03 07:12:54,3c5dc899-ff1e-4e2e-af42-425d716553f5,,-,out/02-02-23-12/bit1_samples38,-,No,DEFAULT,5,-,-
out/02-02-23-12/log,02-02-23-12-85,,169.254.76.1,1,85,7.883759,FE:2B:A6:05:A6:31,be444adf-3bcf-4a51-8901-9b961e9a2cc5,2021-02-03 07:12:02,30,2,85,18,-1,2021-02-03 07:12:54,44819795-5870-4b85-844f-9ae85366b0e0,,-,-,out/02-02-23-12/bit0_samples85,No,DEFAULT,6,-,-
out/02-02-23-12/log,02-02-23-12-51,,169.254.76.1,1,51,7.655856,66:02:CF:4B:6C:1D,87d5a7dc-d84b-4eef-bcce-0b5bdcc17af1,2021-02-03 07:12:02,20,1,51,-1,-1,2021-02-03 07:12:35,2ea5f4ad-c12e-4a1b-aaef-18b9bcffcfec,,-,-,-,No,DEFAULT,-,-,-
out/02-02-23-12/log,02-02-23-12-83,,169.254.76.1,1,83,7.981046,26:C6:19:98:C4:93,cc4e0f9a-7234-4f4a-b442-3bb720f7fa4b,2021-02-03 07:12:01,30,2,83,35,-1,2021-02-03 07:12:54,2982447f-55f2-4836-88ae-b45be094005a,,-,-,-,No,DEFAULT,7,-,-
out/02-02-23-12/log,02-02-23-12-86,,169.254.76.1,1,86,7.941066,82:3A:65:C7:13:7F,15300856-89bc-4fa7-b5da-5a154b4b5e01,2021-02-03 07:12:02,20,1,86,-1,-1,2021-02-03 07:12:35,4385f056-8a1a-4d23-a900-d615fd38f372,,-,-,-,No,DEFAULT,-,-,-
out/02-02-23-12/log,02-02-23-12-49,,169.254.76.1,1,49,7.863293,CA:4A:80:EA:63:64,dc45ff4f-80ab-4d5e-8536-96d202e92f06,2021-02-03 07:12:02,30,3,49,24,22,2021-02-03 07:12:54,5043aca6-c3e3-40ef-85e3-05b767814f88,,-,-,-,No,DEFAULT,8,-,-
out/02-02-23-12/log,02-02-23-12-97,,169.254.76.1,1,97,7.698058,A2:E6:51:8F:1F:F2,74155acb-a2e9-4ff2-bc9b-a1ddb83c3319,2021-02-03 07:12:02,20,1,97,-1,-1,2021-02-03 07:12:35,c6b58385-b37c-41a7-9435-48053c86e5b9,,-,-,-,No,DEFAULT,-,-,-
