Id,Sender,Receiver,Rate,Bits,Sent Data,Rcvd Data,Sender Erasures,Receiver Erasures,SErasures,RErasures,Errors,Error %,Ones,OneErrs,OneErr%,Zeroes,ZeroErrs,ZeroErr%
1,50,10,10,50,11111111111111111111111111111111111111111111111111,11111111111111111111111111111111111111111111111111,,,7,0,0,0.0,50,0,0,0,0,-
2,76,25,10,50,00010000000010000000000000001000010000100000000000,00010000000010000000000000001000010000100000000000,,,2,0,0,0.0,5,0,0,45,0,0
3,40,27,10,50,11111111110111100011010011111110011010101011101011,11111111110111100011010011111110011010101011101011,,,7,0,0,0.0,35,0,0,15,0,0
5,31,18,10,50,01110111100100011100010111111001101100110100111000,01110111100100011100010111111001101100110100111000,,,2,0,0,0.0,28,0,0,22,0,0
6,83,64,10,50,00000100000001001110001110010101001001110000010100,00000100000001001110001110010101001001110000010100,,,8,0,0,0.0,17,0,0,33,0,0
7,34,9,10,50,00000000000000000000100000010000000010000010100000,00000000000000000000100000010000000010000010100000,,,1,0,0,0.0,5,0,0,45,0,0
8,78,32,10,50,11000111010101000111011110001011010010111101001101,11000111010101000111011110001011010010111101001101,,,10,0,0,0.0,28,0,0,22,0,0
9,62,59,10,50,00000000000000000000000000100000010000100000010001,00000000000000000000000000100000010000100000010001,,,0,0,0,0.0,5,0,0,45,0,0
10,39,21,10,50,10011101111111100110111110110100101111110111100111,10011101111111100110111110110100101111110111100111,,,12,0,0,0.0,36,0,0,14,0,0
11,47,26,10,50,01110110111110001111101000011000010001000110001010,01110110111110001111101000011000010001000110001010,,,9,0,0,0.0,24,0,0,26,0,0
13,35,3,10,50,00101000111110001011110000100100110111110001011101,00101000111110001011110000100100110111110001011101,,,11,0,0,0.0,26,0,0,24,0,0
14,49,36,10,50,01011110110101100100110100111100001100000100011000,01011110110101100100110100111100001100000100011000,,,0,0,0,0.0,23,0,0,27,0,0
17,68,20,10,50,11011111101101111111111110011111101110111010111111,11011111101101111111111110011111101110111010111111,,,13,0,0,0.0,41,0,0,9,0,0
18,56,51,10,50,11111011101111111001111111011111111101110111010110,11111011101111111001111111011111111101110111010110,,,5,0,0,0.0,40,0,0,10,0,0
19,58,38,10,50,11101111111110011101001111110111111110111101110110,11101111111110011101001111110111111110111101110110,,,6,0,0,0.0,39,0,0,11,0,0
20,79,74,10,50,01001101111001000110011101111011101011000010111000,01001101111001000110011101111011101011000010111000,,,9,0,0,0.0,27,0,0,23,0,0
21,45,43,10,50,10110111111000010110001110111101110011111101101110,10110111111000010110001110111101110011111101101110,,,7,0,0,0.0,33,0,0,17,0,0
22,93,4,10,50,10000000101111011100000010100000001000100000010110,10000000101111011100000010100000001000100000010110,,,2,0,0,0.0,16,0,0,34,0,0
