Logs,GUID,Error,IP Address,Success,Id,CPU CPI,MAC Address,Request ID,Start Time,Protocol Time,Phases,Phase 1,Phase 2,Phase 3,End Time,Boot ID,Predecessors,Base Sample,Bit-1 Sample,Bit-0 Sample,Warm Start,Tag
out/10-16-20-41/log,10-16-20-41-805,,169.254.76.1,1,805,48.062898,12:62:CF:45:6D:82,f2dfd360-1a93-43bf-9935-f3318152dfa7,2020-10-17 03:41:40,30,3,805,805,805,2020-10-17 03:42:38,56ddfebe-3e02-4d38-95c4-78cf2b199a9b,,-,-,-,No,DEFAULT
out/10-16-20-41/log,10-16-20-41-444,,169.254.76.1,1,444,48.017244,DA:2E:8C:4E:DC:0E,9bd1f9bb-b068-4a5a-bd1a-ed4ae0b31251,2020-10-17 03:41:40,30,3,444,444,444,2020-10-17 03:42:38,0ea6ad63-bd52-416c-b210-e0a63d6fbd54,,-,-,-,No,DEFAULT
out/10-16-20-41/log,10-16-20-41-578,,169.254.76.1,1,578,48.034430,92:EC:88:B2:CE:3A,22cbf568-27f7-43fa-b8b0-a948b3130b3e,2020-10-17 03:41:39,31,3,578,578,578,2020-10-17 03:42:38,145a5986-ff09-4bcb-bf42-93edd06ad362,,-,-,-,No,DEFAULT
out/10-16-20-41/log,10-16-20-41-434,,169.254.76.1,1,434,48.501076,A2:52:15:85:6B:EA,e84f3c37-0139-4f07-8688-a2e9b8e94445,2020-10-17 03:41:40,30,3,441,441,441,2020-10-17 03:42:38,cd4ff1c1-cbc3-4cce-94ba-f31b6d5597c4,,-,-,-,No,DEFAULT
out/10-16-20-41/log,10-16-20-41-471,,169.254.76.1,1,471,47.064826,BA:35:D2:BE:BE:AD,720be815-daf5-4bad-83e8-6a224b4120ae,2020-10-17 03:41:39,31,3,661,661,661,2020-10-17 03:42:39,a75e59d3-4d0f-4cd6-a6d2-881d63f52138,,-,-,-,No,DEFAULT
out/10-16-20-41/log,10-16-20-41-574,,169.254.76.1,1,574,48.493383,EA:5D:50:F7:AE:53,6b1d3348-93f3-4a51-a254-360a377f6a57,2020-10-17 03:41:40,31,3,574,574,574,2020-10-17 03:42:38,8cc3d1b9-920d-4a73-a57b-46d9f0decf51,,-,-,-,No,DEFAULT
out/10-16-20-41/log,10-16-20-41-424,,169.254.76.1,1,424,48.199142,4A:17:37:1A:52:4E,7a7c791c-25a3-4ef6-bf54-b1268659336c,2020-10-17 03:41:39,30,3,424,424,424,2020-10-17 03:42:38,f50fd823-40d6-4798-a8d8-9a487a2e5781,,-,-,-,No,DEFAULT
out/10-16-20-41/log,10-16-20-41-506,,169.254.76.1,1,506,48.010662,0A:72:5C:DB:AE:58,987f99cf-2727-4c50-9c06-07d35978ad66,2020-10-17 03:41:39,31,3,506,506,506,2020-10-17 03:42:38,6a2431d3-4c4f-46a0-8f49-e7289958690f,,-,-,-,No,DEFAULT
out/10-16-20-41/log,10-16-20-41-664,,169.254.76.1,1,664,47.584386,56:B2:72:C9:B5:86,25910332-a526-46d8-894d-0cfec94fc0e9,2020-10-17 03:41:40,30,3,927,927,927,2020-10-17 03:42:38,a856ddcc-c792-41ca-9475-d8e9fbbd66aa,,-,-,-,No,DEFAULT
out/10-16-20-41/log,10-16-20-41-495,,169.254.76.1,1,495,47.965344,BE:00:71:40:58:E1,b7941d67-7a23-4264-92a1-8287e2feba26,2020-10-17 03:41:40,31,3,495,495,495,2020-10-17 03:42:38,12cc295a-a43f-480e-9cf4-92272460f727,,-,-,-,No,DEFAULT
