Logs,GUID,CPU CPI,Error,IP Address,Success,Id,Channel,MAC Address,Request ID,Start Time,Protocol Time,Phases,Phase 1,Phase 2,Phase 3,Predecessors,Bit-1 Sample,End Time,Boot ID,Base Sample,Bit-0 Sample,Warm Start,Tag,Bit-0 Pvalue,Bit-1 Pvalue
out/02-03-18-40/log,02-03-18-40-22,7.864730,,169.254.76.1,1,22,1,EE:4D:CF:54:BE:E4,225da670-d2c5-49b1-9383-995ded01f62d,2021-02-04 02:40:53,30,3,25,22,13,"02-03-18-34-42,02-03-18-37-23",out/02-03-18-40/bit1_samples22,2021-02-04 02:41:46,08add147-922f-4785-8f41-fcd0c5502869,-,-,Yes,DEFAULT,-,-
out/02-03-18-40/log,02-03-18-40-26,7.680764,,169.254.76.1,1,26,2,C2:3A:93:0F:8F:DB,78caf9e4-f43e-4771-b6af-1df6a2fcfba6,2021-02-04 02:40:53,30,2,63,26,-1,02-03-18-37-63,out/02-03-18-40/bit1_samples26,2021-02-04 02:41:46,4ed8390c-4517-4621-a6fa-ba83ed9adb76,-,-,Yes,DEFAULT,-,-
out/02-03-18-40/log,02-03-18-40-5,7.805403,,169.254.76.1,1,5,3,B6:33:1F:49:90:C9,bfb61e65-341f-462b-baa5-32dac3cd0c76,2021-02-04 02:40:53,30,2,18,5,-1,"02-03-18-20-28,02-03-18-23-5,02-03-18-27-56,02-03-18-30-2,02-03-18-34-55,02-03-18-37-18",out/02-03-18-40/bit1_samples5,2021-02-04 02:41:46,4d143fee-6a0c-4667-b7e8-018045955a87,-,-,Yes,DEFAULT,-,-
out/02-03-18-40/log,02-03-18-40-21,7.912749,,169.254.76.1,1,21,4,96:76:76:16:C9:9A,26a442fc-0a53-4652-bba6-d18ccee23716,2021-02-04 02:40:53,30,2,69,21,-1,02-03-18-37-4,out/02-03-18-40/bit1_samples21,2021-02-04 02:41:46,066325f3-e522-458f-81ac-a3c226dc6a2b,-,-,Yes,DEFAULT,-,-
out/02-03-18-40/log,02-03-18-40-32,7.962862,,169.254.76.1,1,32,5,D2:7C:0E:2E:9F:0C,0416e9ab-10ca-4bbb-8ce9-dce988e112e7,2021-02-04 02:40:53,30,2,47,32,-1,"02-03-18-27-16,02-03-18-30-21,02-03-18-34-9,02-03-18-37-42",out/02-03-18-40/bit1_samples32,2021-02-04 02:41:46,aba568a1-626c-495e-8985-2f4c590b5a1a,-,-,Yes,DEFAULT,-,-
out/02-03-18-40/log,02-03-18-40-13,7.723595,,169.254.76.1,1,13,-,B6:00:24:59:43:9C,cf171b5f-dc13-47c5-8600-8d8a81a53b4e,2021-02-04 02:40:53,30,3,25,22,13,"02-03-17-39-18,02-03-17-43-58,02-03-17-46-57,02-03-17-50-62,02-03-17-53-42,02-03-17-56-19,02-03-18-00-13,02-03-18-03-62,02-03-18-06-53,02-03-18-10-89,02-03-18-13-12,02-03-18-17-53,02-03-18-20-59,02-03-18-23-79,02-03-18-27-43,02-03-18-30-62,02-03-18-34-20,02-03-18-37-3",-,2021-02-04 02:41:37,7e8cd3e6-e169-4c0b-962a-d3a38f93d208,-,-,Yes,DEFAULT,-,-
out/02-03-18-40/log,02-03-18-40-59,7.883135,,169.254.76.1,1,59,6,C6:83:71:8D:1D:90,1f2c42a5-fba2-452e-b992-ce1700a3464c,2021-02-04 02:40:53,30,2,59,17,-1,02-03-18-37-41,-,2021-02-04 02:41:46,7b34910f-f557-4ae1-83b5-06db3142a602,-,-,Yes,DEFAULT,-,-
out/02-03-18-40/log,02-03-18-40-10,7.740869,,169.254.76.1,1,10,-,A6:DE:F3:5B:D3:FA,31451ed3-5fb7-4ddf-9d0f-b52bf75778fc,2021-02-04 02:40:53,30,3,92,35,10,"02-03-18-00-50,02-03-18-03-79,02-03-18-06-50,02-03-18-10-16,02-03-18-13-43,02-03-18-17-12,02-03-18-20-53,02-03-18-23-68,02-03-18-27-39,02-03-18-30-77,02-03-18-34-75,02-03-18-37-33",-,2021-02-04 02:41:37,d115467d-8bcf-4ff8-ad3b-9746c1ec3ea5,-,-,Yes,DEFAULT,-,-
out/02-03-18-40/log,02-03-18-40-6,7.761238,,169.254.76.1,1,6,-,2A:B0:C2:09:AD:75,5facfc00-baea-434f-bf78-c090c7d2c9c3,2021-02-04 02:40:53,30,3,92,35,10,"02-03-18-34-77,02-03-18-37-71",-,2021-02-04 02:41:37,c58c0079-c84b-4d64-890b-b6a812b07901,-,-,Yes,DEFAULT,-,-
out/02-03-18-40/log,02-03-18-40-76,7.694834,,169.254.76.1,1,76,-,FE:E5:0A:E7:F8:C6,acd4fdf1-2562-42b7-80bf-f1e4df07b7f4,2021-02-04 02:40:53,20,1,76,-1,-1,02-03-18-37-56,-,2021-02-04 02:41:27,a2fa8e2b-7e1f-400b-84ca-b94b532d60eb,-,-,Yes,DEFAULT,-,-
