Id,Sender,Receiver,Rate,Bits,Sent Data,Rcvd Data,Sender Erasures,Receiver Erasures,RErasures,SErasures,Errors,Error %,Ones,Ones %,Confidence
1,34,10,200,1000,1000001001001001000011110011100011101100101001011010100001110101001011000111010110000001100011101000000101101000001100000100001110000010101001110100001100001100100010101110001000100010011011100001000101100010110100010011000001010000000110101001100100001010011000010000101011000100111000000000000110110100000000011001110110001110010000000100100001010010100000101000110001101001011111000000001000000000110001010100000010000000100101011101100111100101000100100000000000010001110110010001001111010100101000010001010101000001000001011001000000011001010000001001111001000111110001001001111010000110111001000101000110001010011010101100010100011010100000101100101010011010110100110001001110000111101100000110110110000010010110010000011000100101011111111010001000111001100101101010010111001000000001001011001101000010000000000101001001100100000110110011100010101101011100010001101001101000100110000001000000000001011001001110001100011110100000100011001101000100011101101000010100000010010010001010000110110010,1000011001001001010011110011000011101100111001011010110001110101001011000111010111000101100011101100000101101100001101000100011111000010011001110100001101001100100011101110011000100110011011100001010101000010110101010111000001010000000110101101110100001110011000010100111011000100011000000100000111110100000001011001110111001110010000000100110001010110110000101100110001101101011111000100001001000000110001010100010001000000110101011101010111100101010100100100000001010101110110010101001111010100101000010101010101000101010001011101000001011101010001001101111001000111110001001101111000000110111001000101000111001110011011101100010100011110100001101100111011011010110000010101011110000111101101000110110110000110010010010100011001100101011101111110001001111001110101101110010111001100000001001111001101000010010000000101011001100100010111110011110010101101011101010101101001101000110111000001010001000001011001001110001101011110100001100010011101000100011101101100010101000010010001001010010110110110,,,0,40,104,10.4,386,38.6,73
2,95,18,200,1000,1010100111111111111111100110010110001111111111111010111111111110110101000111011111101110011111111011111111011101111110111011101111011111111111001111111111101111111011100010110111111111101111100101111010001010111101101110111111110111010111101111011101111101100101110111101011111111100110100011101110010111101111111101011011101111110100010011101110111111111110101111111111011111110111111010110011111101101110110011111101011010101111111111111110011110111111111111111111111011110011011111111000101111111010101101111111001101111111111111111011111111111111111110111101011110111111110111011111110101111111011101011101100111111101011111111111111111111111100110111011111101111011010111111100111111111111010111111111111001011111110111110100111111000110011111110011111111111111110101101110111111101111111101111111011111111001111111001110111111111111110110111101101111111111101111011011011111111111111111111101101111110111111111111111111111111111111110110011101111111111010111101011111110100101111010101111111111,1110100111111111101111100110000111001111101111111110101111111110100101000111001111101110011111111011111111011001111111111011111110011111111110001111111110101111111010100110110110111111111011100001111010101100101101101110101111110111010111101111010101111001110101110011111011111011110110100011111111010011111111111001011011101011110101010011111111111011111110101111111110011111110110111110110011111101111110110111111100011110111110111111101111011110101111111011111111111011110011011111111000101111111011101101111111001101101111111111101011111011111111111010111101011010111111110111011111110101111111011101011100100111101101011111101111111111101111100010111011111001111011010111101101111011111111010111111111111101011111110011110101111111000111011111110011111011111111110101111110111111111111111101110111011111111001111111011110111111101111110110111101101011101111101111011011011111111110111111111100101111110110111111111110111111111110111110100011101111111111010111111011111110110101111110111110111111,,,0,113,94,9.4,794,79.4,88
3,99,60,200,1000,0110101111011010000011111010101101101100000100011011010111101011111000110011011111110101011100011101110011110101110111010010110011110011101111101110001001110111000111000110100010010000011100000111101111101001110110011101110101111101011110011110101110001111111011110001110101111101110110111111000110011111111101100010101010110111110100011111011010010110101110111111101010011101000101110010110010101111111011111101101110111000111101111001111010101010010010000110110111111010110011001100111101111100110010001001011111101011010000010001001100100010110111010000011011010100111000011010100110101101101000110110111111101101110101111111011000101010101110110000111101010111111101110001101101110011111010010100111100010110110111010111110110100110011001110001110100110111001101110101000011101001010111011100101111111110010000101011100111101010101100100001001001101111011111111001011100110111011111111011100101001011111111000101101010100011101010111110110110101101110111011110100011101100000110101111111011111111,0110001111011110000011111010011101100100000101010101010101101011111000110111011111110101011100011101100011110101110101010110110011110011101111101110001001110111000111000100000010010100011101000111001111101101110100011101110101111101011111010110101110001111010011110001110101111101010111111111010101011111111101100010101011110111000101011111011011010110011110110111101010010101010101110110110010101111111011111101101101111000011101111101111001101110010001000110110111110010110011001100111101110100110011001101011111101011010001010001010101100010110111110100011001010100011000011110100101101101101000110110011101101000100001101101011000100010101100110100011101010111111101110001011101110011111011010100111101010110010111010111110101100110011001110001010101010111011101110101010001101001010111010100101101111110010001101011000111100010101101100001011001100111011101111001011100110111011111110111100101000111111101000101001011100011111000110110110101100101110101011110000011100100000111100111001011111111,,,4,86,119,11.9,607,60.7,80
4,40,16,200,1000,1111111010111110101111011110111110011011111101111111111110111101110101101110110100111111111111111111011010111111110101111111110111111111101111001011101111110110011111111111100101011111111001101110111111111011111101110011111101001110111011110111011011110111111111101101111111111111101111101110111111011101011110111110110111110111111101111111101111101011101011111110000111011111111110010011111011111111011110011111110111100011111110111111111111110011001101111111111111110011110111011111111101111111010101111111111101110110111110110110101110101111011000110101111110111111111111110110111011110111111011111111011011011111111001111111011001101011111111101001111111111110111111101111111110011110111111110111111001110111111101100111111111101011110111111101111111111111111111011010111101111011101111111111011111111001100011111111111110111011101101111011111101111011100110110111111111111111110101111111111111111101011111111010110001011011110110111111111111100101110111101111111101110111111101111101101110110001,1111110010111110100111011110110111011011111101111111111110011101110000101100110100011111110111111111010011111111110101111101110111011111100111001111100111010110010111111101110101011101111001001100111111011111111101010111110101001100111011010111010011110111110111101101111111011111110111101100111111011101010111111100110111110111111101011111110111101011110011111100010111011111111110010111110011111101011110011111110111000011110111111111110111110001011101011111110111110111110111011111111101011111010101111111110101110100111111010110111100101111011001010101110111111111111111110100111011110101110011111111010011011101111001111101011001001111111111001101111111111100110111101101110111011110110111110101111001010101111101000111110111001111110110111101111111011111110111011000110101101011111111111101011111111101110011011111111010011111110101111101110101111101110110010111111111111111110101100111110111011101011111111110110001011111110111111101110111110101110111101101111101010111111101111101111110010101,,,2,150,131,13.1,797,79.7,83
5,88,22,200,1000,0111101111110111011011011111101110101011110101100011101001110001001001011011101101111101111111011010111111011101111111111111110111110100101011101100110101000011111111110100001111101111011010101110100110110011111000101101001011111100111111001100110101101111011111100011110111111111101010111001011110111011011101111001010100011100011110111010111111101011011101100111101001011111111101101111111111111111011110011101111100111011110100110001111111101101111110101100011011111011101011010111110111111011101101011111111111101111100101111001101111011101111110101111111110100010111111101111101111010011011011000111001110010011111111111110010001101110011111011011111111011011100111111100101101011110011011111111101110111011101111111110110011111101111111011010010111110111110110101111111001001011101101011011001011101101011110110010111110110111111111010101111101101111010011111001101111010111110001000001110101111110111010111011100001100110011101100011111110010010100111111011111101011110111111101111000111010111,0111101011100111011011101111101010101010111101100011101001100011001001011010101101101110111111001010111011001111111011111110111111100110101011101110111101000011111011110110001011001110011010101110001010100011111000101110001011101110111011101110110101101111011011100010111111101111101010111000011110101011011001111000011100101100011010111010111111101011011001100110101001101111111001101110111011101110011110101101111100111011111100110001111111101101111010101100011011101010101011000111011111101011101101101111111111101111101001111000101111001111111010101110111110100010111111101110101111110011011011000110001110100010111111101110011001101110011111001011111011011011100011101100101001111110011011101111101010111010101111101110111011101101111111101010011011110110111110101111111001001010101101011010001011101101011010110010111110110110111111000111000001101110010011111010101011110010110001100011110001111110111010111011101001100110011001100010111110100010101011111010111101001110111011101110001111000111,,,1,153,139,13.9,698,69.8,80
6,53,35,200,1000,1100110101101011000111010001101011011111011110011011111111011111111111010101101011101011101000111101101111111111111111111001000110111110111011011111001101111000111101100111111001001011111111111011101101110000101101111011001111101110111111110010110111011110110111110111111110111001101000011101011001111110111111000101011111010110111111101011110110111010111111010101110111000011111111011111010010111101001001110011111001110011001111001001111111110011111111111011111111101011110011110101111101100011100001111111010111010110010111111011101011011010111111011101100110110111011111110110111011110011101110011011110111111011011111011101011101110111011111110011111111011111110110111010111111111110011110100111111010001111101011011111101111011111111100111110111100110111111111101011111100011111110101110101111111101111110111111101111011111111101111110111101011011111010011111011111111101001011101011011100100111000110111011011111001111101110111011111111101111110111011111011110101111011101110001111111110111111,1100111100101011000111010101101011011111011110011101111110011101111110010101111011101011111000111101110110111111101110111111011110111110111011011011010101111000111101100011111000001111101111111010001101110100101100111011010110101110111110110010110110011110110110110011110110111101101001011001010000111100111110000101011110010110111111101011100111111010111111010101110110000111110110011111010010111101001001010011101001110011010111001001110111110011111110111011110111101111110011010101101101100011100001011111000111010100010110111011101011011010111110011101110110110111011110110010101011110011111110011101100111111011011111111101011100110111000001110011111110011111100111011010111111111010011111000111111010101111101011011111111111011101111100111110101100110011111111101011111101011011110101110101111111101111100111111101111011011111101111010011101010011111000011111011111110101101001101011011110100111000110111011011111001011101110110011111101100111100111010111011100100111101101000001111101110111011,,,25,114,119,11.9,726,72.6,83
7,93,28,200,1000,1000001000011000101001000001000000000000110010110011010111000000110001110100001001110000111000010000000000100011001101001101000010010000011100101010010111111011110000100000100000010101000001110000000100000001110100001111000101011000000011010001110000010001010101101010110000100001000111001101000101011010110100110100010101100100100011101001110011000010010111000011000011101000011000100001101101110011110110010000101010110101000000100100010001100100101110010111111001111100111100000101110000100011000110100001101100011010101100001010011001010110100001110010100000011001001010010000010001101110101000010100001001101011100001101000010100101010000100010001011100011100010100110001010101000101010000110000001000101011100000001100110110010000011011100100000011001000110110011011010111011000101010001000110000000000000000101100101000111101101001000010010000001001010110110101010000101101011010000011111000110100010100001010000010001101010010010100111001011000010010100001110111001101001101011000110100100011,1000101010001000101001000000100010000000110010100010110111001000110001101100101001100000111010001000000010101010001111001100000010001000011100101010010111101011110000101100100000011100100001111000100100001001110000001111100001001000000011001001110010000001110011101010110010100000100011001100100011011010110010110100110001101100100011101000110011001010010111000010100011101000111010100000101111100010110110010000101010100101100010100100110001101100101010001111111001101100111100001001110010101010000010101000101010011010101010001010011011010110100011110010100010001001101010000000110011101110101011010100101001101010100011101000010110101010000110001001011010001100110010100001110001001101110000101000001000101011100000001100110010011000111011101100000011001000110010011010010111001000101010001000110010000000000010101100101010111100001001001010110000001000110110101100110000101100111010001011101000101100110000001010100010001100110010001100111001001000010010100000110011001100101001011000110010101010,,,5,111,161,16.1,403,40.3,60
8,76,56,200,1000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,1110111101111110111111101111111011111111111011111111111011111111111111110110111111110111111101111111011111110111111001111110111011111110111111101111011111110111111101111111111001111111011111101111110011100111111101101111111111100111111101101111111111101111111001101111111011111110111011111110011111100111111011110111111001111110011111100111111101111110111111111111111111110110111111110110111111111110011111100111011111100111111101111111111011111111111111110111111001111111111101111110011111100111111101101111111111110111111111111111011111110111111101111111111111100111111111110110111101100111111111111111111011111110111111111111111101111111011111110111111101101011111111100110111111100111111100111111011111111111111101101111111010111011111011111111011011111110111111101111111001101111011111110110111111111110110001101111111011111111111000010001111011101111011111110111111101100110111011101110111001111110011111101111111111100111111101101111011111111111111100111111011111110111111001111110001111100111,,,22,179,168,16.8,1000,100.0,83
9,78,21,200,1000,1110111111111101101101011111100110111111101101111101110011011000111111111011111111111110111011101111111011101011111110011111111110111111111011111111110111111111111111111111011111001111011111101111011110111011111110111111101111011111111110111111111011111111011111111111110111101001110111111111101111001011111001111111110111010111111111011111101111111111111110011101111011111001111111101110111111110111101111101111111101110110111111111111111111111011111110111100111111111011111011111011110100111011111111101101111101101011010110101110000110111011111111111111111011010111111101110111111100111111111010101111110111110110111111011110110111101101111111110111100111110111111101110011101111111001111110101011101111111111011111111111111101111011111011111011101111111111011110111111000101111111011111111100111111011101110111101110111111110011111101011111111011011110010011111110010110101010111111111111101111011110010101111111111100010111111111111111111111111111110011110101110111100111111010110101010110111110,1110111111111111101101011111101110011111101101111111110011100010111111111011111111011110110011101111111011001011111110111111111110111101111000011111110111111101111111011111011011101101011111001111010110111001111110011111100111101111111110111111111011111110011111111110110111101000111111100111101111001011111001111100111111100001111111011111101111111111111010001011111011101011111111101110111111110110101011101111111101110110011111111111111111111011111010001110111011111011111011111010110000111011111011101111111101101011010010101110000110111011111111111111111011010111111101100111111000111110111000101111111111110110111010111110111111101101111111110111101011110111111101110011101111111011111110101011101111111110011011111101111101111011111011111010100111111110011010101111000001111111011111111110111011111111111111101110111111100011101101111111111011111110011011101110011110101010111111111111101111011110011001111111111000110111111111111111111111111111110011110100111111100110111010110100001110101110,,,6,110,104,10.4,807,80.7,87
10,52,37,200,1000,0111111110011011001111111111111111111110111111101011111101110111010111111111010111000111111111111111101101011010111110111111100111101111011101011111111111111011111110010111111111011110111111001111111111110111111110111111110111110101010101111111111111111111011101001011111111011011100111111111011111111000101111101111111111111111110111101111111111111100011111111101111110111110111111111111110100101011011111111111011111111111111101111111111111110111011101111111101000111110111110011101110111110011011111101010110110011011111110111111111110111101111111011111111111110111111111111111111010111101101101111111111110111111111111111111111101111101111111110011110111100110111011111111111011111110100111111111101110111110100111111111001111111111101011001011111110011011011111011111111101111111110111111100001111101111110111110111011111111111111011111111111001111010101111111111111101111111011111100111111110001101111011111111111111101111111111110111110111010101101110111101101110111100101111111011010110110111,0111011110010011001111110111011101110110111101110011111111110111110101110111010101000111111101111111001101011010011100110111000111100111111101010111111101110011011110010111111101010110111101001111011111110111111100110111000101111101010101110111011101111111011001010011011111010011000101110111011111110001001111100111011111110111010111110111111111110100011101111101011100110111111101111111010100101011011101111111011111110111111101111111011111110111111101110111001000111110011100011101010111110011011011110011110100010011011110110111011110110101011101011111011111010101111101111111011100110101001101110111111100111111011101110111011111100000011111000011010111110110111001110111111001110110100101110111101100110111000101110111001101111111001011010011011100010011011111010111011101110111010111011100001111100111010111110111011111110111111101110111111001110010001101111111011101110111111101111111011100011101011111110111011111100111111101110111010101010101001100111101001110110100101101110011010100110111,,,11,133,167,16.7,816,81.6,79
