Mean,Median,50tile,80tile,90tile
18654.5,19076.0,19076.0,19584.2,20123.2
15859.743243243243,19054.5,19054.5,19087.8,19095.0
15336.75641025641,19020.5,19020.5,19141.0,19194.2
19095.636363636364,19093,19093.0,19121.0,24017.0
18956.830769230768,19081,19081.0,19088.6,19112.6
18677.020833333332,19088.0,19088.0,19124.2,19166.8
10132.660550458715,9345,9345.0,9365.8,11432.400000000001
18926.095238095237,19036,19036.0,19104.2,19161.4
19021.716981132075,19090,19090.0,19188.4,19259.0
14624.986111111111,14850.0,14850.0,19215.4,19383.9
14686.867469879518,15110,15110.0,19125.6,19404.2
13850.46511627907,9594.0,9594.0,19083.0,19122.5
10582.131578947368,9339.5,9339.5,9363.0,18176.100000000006
13679.0,9367,9367.0,19081.0,19117.8
19500.645161290322,19228.0,19228.0,19386.8,19810.2
19720.41935483871,19670.5,19670.5,19850.8,19977.800000000003
13879.35,9601.5,9601.5,19173.0,19207.5
19952.4,19447.0,19447.0,20926.2,24671.7
