Logs,GUID,Predecessors,Boot ID,MAC Address,Phase 3,Phase 2,Phase 1,Phases,Start Time,End Time,Id,Request ID,Success,Error,Base Sample,Bit-1 Sample,Bit-0 Sample,Warm Start,Account
out/10-13-23-38/log,10-13-23-38-81,10-13-23-34-966,913da1a2-c67b-48e3-9e53-8029d833b0ad,EE:73:CB:7A:3B:44,921,921,921,3,2020-10-14 06:38:37,2020-10-14 06:40:36,81,43392d0d-2492-4611-a882-7ad5d82ba7a0,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-73,10-13-23-34-465,e89dc026-b805-4aec-a630-1ccf8bd456c1,7A:79:98:CA:29:38,1000,1000,1000,3,2020-10-14 06:38:37,2020-10-14 06:40:36,73,9ce08b96-e0e2-4a5e-9b91-974150e85239,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-65,"10-13-23-26-38,10-13-23-28-81,10-13-23-34-164",07acec7e-2a76-4fb9-a061-c0dd2e7f40bc,A2:11:10:D1:74:1B,289,289,289,3,2020-10-14 06:38:37,2020-10-14 06:40:36,65,4c8cd8e8-79c3-4556-95da-32edd5c55c9a,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-170,10-13-23-34-249,b1053c1f-ef52-47c1-bfd6-40ee7d6d8b68,86:6E:67:82:A9:86,806,806,806,3,2020-10-14 06:38:37,2020-10-14 06:40:36,170,de42838c-9e46-472e-a63e-ddcae01fba8c,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-367,10-13-23-34-39,f64140f8-59aa-48c9-b7d4-7d7cc8f6b914,A2:FE:15:5A:76:93,880,880,880,3,2020-10-14 06:38:37,2020-10-14 06:40:36,367,b6468ff0-7ff0-4783-ab90-8469910c36f2,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-15,10-13-23-34-561,3367a0f9-d6c4-4202-9ff7-4683695a991f,DE:3B:05:A2:0B:DE,614,614,614,3,2020-10-14 06:38:37,2020-10-14 06:40:36,15,f7e14fab-d153-45c4-ae46-1d028bb2da3e,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-288,10-13-23-34-367,feee9204-d8d0-4c7d-9623-272e56bc6430,DE:92:7A:93:51:03,880,880,880,3,2020-10-14 06:38:37,2020-10-14 06:40:36,288,49629eb1-220c-427f-942c-5868047efc05,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-528,10-13-23-34-689,f8d77a91-c3c5-4362-aa48-d9ad123456f4,36:50:94:58:00:42,922,922,922,3,2020-10-14 06:38:41,2020-10-14 06:40:36,528,cb723a64-3ace-4774-a1d2-38be3a12b8f3,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-224,"10-13-23-26-83,10-13-23-28-10,10-13-23-34-101",1a77a20c-cb13-4108-8a67-3b6977999701,B6:BE:02:D4:21:06,398,398,398,3,2020-10-14 06:38:37,2020-10-14 06:40:36,224,79dcad46-4901-4133-94ec-0fc1a91f439f,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-172,10-13-23-34-594,b487e58e-4c3f-4476-a0be-0dd8c4072a17,E2:A9:B5:4A:F5:77,909,909,909,3,2020-10-14 06:38:37,2020-10-14 06:40:36,172,d048b4f3-dbf6-40bc-b937-2589383d8f76,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-4,"10-13-23-26-81,10-13-23-28-22,10-13-23-34-141",2618401a-b1a6-4cb8-8d51-df548f53cebf,92:B8:33:C2:5A:F1,886,886,886,3,2020-10-14 06:38:37,2020-10-14 06:40:36,4,69ee5c55-2e10-4825-ab13-de4d4f9b2d79,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-472,10-13-23-34-574,e840c461-6608-4da5-a2d3-2d85f477d4b2,D6:3D:03:A7:71:84,755,755,755,3,2020-10-14 06:38:54,2020-10-14 06:40:36,472,0df85d10-36a3-41fd-aa62-12cf408e3cbe,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-337,10-13-23-34-273,f09ea2b2-c6a4-4973-b142-39b017af5d9f,D6:88:4B:B0:70:43,943,943,943,3,2020-10-14 06:38:37,2020-10-14 06:40:36,337,5280a690-f748-4fea-89e4-3f835819c92c,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-205,10-13-23-34-957,b7efc642-2ff3-454b-a3f1-d001cae4e139,12:C1:87:C1:58:72,969,969,969,3,2020-10-14 06:38:37,2020-10-14 06:40:36,205,9e15d2d2-ae7f-42e7-9639-28237b9bad1d,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-328,10-13-23-34-844,af0a3f3b-eded-4dc2-8d3f-74b5da2b5dd3,DE:D3:C9:76:57:4E,948,948,948,3,2020-10-14 06:38:37,2020-10-14 06:40:36,328,f9e39a34-1679-417a-9c12-70283ca8a681,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-26,10-13-23-34-575,a5c52aee-93f0-4464-ade5-33b041710c8f,B6:0C:50:BA:0A:8C,988,988,988,3,2020-10-14 06:38:37,2020-10-14 06:40:36,26,6ea1c5c7-bf56-4f8d-a709-cb07033574a6,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-799,10-13-23-34-248,ecbab953-9c99-4c6f-a7cb-2070fbc22639,2A:BC:C3:3F:C5:2B,970,970,970,3,2020-10-14 06:38:42,2020-10-14 06:40:36,799,46d4aeb7-560c-4d2f-bcfb-185b7767b0a5,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-795,10-13-23-34-614,10af2576-92de-45a5-b310-3b97dfeb3298,62:C3:E5:06:1D:8B,989,989,989,3,2020-10-14 06:38:44,2020-10-14 06:40:36,795,1ecf09a1-999c-44c3-bcab-39881fdb9ede,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-274,10-13-23-34-244,92384df4-d187-4991-98de-933cc94b4589,0E:BA:5D:AB:DA:E5,881,881,881,3,2020-10-14 06:38:37,2020-10-14 06:40:36,274,06b5ebc1-d215-46f6-9b46-62e9807d6fc9,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-262,10-13-23-34-672,57702c92-b747-4a14-8ad2-5e2c24ad09af,5A:E8:A9:9D:BB:7C,971,971,971,3,2020-10-14 06:38:37,2020-10-14 06:40:36,262,3905c206-c3db-470d-b153-a478db870095,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-114,10-13-23-34-908,572229f8-cf74-4177-bcec-11dc3943740d,16:0A:E8:2F:C8:A7,708,708,708,3,2020-10-14 06:38:41,2020-10-14 06:40:36,114,83667c74-91bb-49f8-80a6-610d480dccb3,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-212,"10-13-23-26-19,10-13-23-28-20,10-13-23-34-128",070ace65-da28-4dc3-8ca8-7bbaa6f7c08a,AA:B2:AD:11:A6:3A,212,212,212,3,2020-10-14 06:38:37,2020-10-14 06:40:36,212,0539b151-5b9f-40c1-8099-b13777e0dbbc,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-988,10-13-23-34-605,ce6c180a-48bf-46f3-af5d-db32df3999dc,02:29:14:4F:32:71,988,988,988,3,2020-10-14 06:38:51,2020-10-14 06:40:36,988,5898b33e-bca1-4e19-acc9-3106974e6263,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-552,10-13-23-34-621,67b514d3-33ff-41e9-b300-0c77ea6d7082,36:4E:F1:6F:38:0B,867,867,867,3,2020-10-14 06:38:41,2020-10-14 06:40:36,552,17c12fd0-474f-4577-af7c-4bb5cbd71d24,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-400,10-13-23-34-332,52e3a8a6-90fe-4810-91f6-7e869cf93473,1E:44:F2:A3:16:BE,947,947,947,3,2020-10-14 06:38:37,2020-10-14 06:40:36,400,c71aed7c-f28e-4256-be4f-bdc4d1e041e6,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-834,10-13-23-34-436,cd263d24-db3f-40a7-acc0-90eec144615b,7E:00:AA:60:78:3A,948,948,948,3,2020-10-14 06:38:45,2020-10-14 06:40:36,834,f5048100-2928-4d48-82be-dcc33fc7c9b0,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-79,10-13-23-34-307,a2391368-4fb8-4485-aa97-4962cf8d18cd,36:C7:0F:FC:80:19,982,982,982,3,2020-10-14 06:38:37,2020-10-14 06:40:36,79,c676d72b-02b7-4d76-9ff8-4261866fa9c0,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-219,10-13-23-34-577,9d686df6-2a0f-4c9e-98dc-442205952f0d,5E:26:34:24:F5:DB,981,981,981,3,2020-10-14 06:38:37,2020-10-14 06:40:36,219,4e2bd7bf-b299-45b0-ba27-64deeb931489,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-561,10-13-23-34-437,85874eee-e797-4b0a-b950-06ecfc3d5514,32:E5:FB:B2:8C:95,658,658,658,3,2020-10-14 06:38:37,2020-10-14 06:40:36,561,50c1d02f-2c3a-4720-83e0-4ec659385366,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-952,10-13-23-34-48,88162d88-d193-46d7-932f-72174ae81131,4E:D5:08:26:A2:B9,952,952,952,3,2020-10-14 06:38:49,2020-10-14 06:40:36,952,0b59f559-97b8-4022-86ff-a3740dc80631,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-534,10-13-23-34-536,f1e2bac0-e1f1-4583-828e-cc4061192346,1A:3A:97:BE:D0:35,913,913,913,3,2020-10-14 06:38:55,2020-10-14 06:40:36,534,122c088d-4e03-40cc-95ab-cfc702e4f646,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-225,"10-13-23-26-60,10-13-23-28-59,10-13-23-34-129",7b66b4ee-140e-4311-832c-990ac458281c,C6:B7:9F:3E:7B:A8,225,225,225,3,2020-10-14 06:38:37,2020-10-14 06:40:36,225,8a3ee042-a129-405e-a18a-08a328a75331,1,,-,-,-,Yes,017371402075
