Logs,GUID,Error,IP Address,Success,Id,CPU CPI,MAC Address,Request ID,Start Time,Protocol Time,Phases,Phase 1,Phase 2,Phase 3,End Time,Boot ID,Predecessors,Base Sample,Bit-1 Sample,Bit-0 Sample,Warm Start,Tag,Channel,Bit-0 Pvalue,Bit-1 Pvalue
out/02-03-19-42/log,02-03-19-42-1,,169.254.76.1,1,1,7.783104,36:21:95:5E:F1:AD,b39f37b1-2952-4a22-b53a-963576ac36ce,2021-02-04 03:42:42,30,3,90,41,26,2021-02-04 03:43:26,518686d6-c8a4-4fbd-9d2f-d7d9f6734fd7,"02-03-19-33-33,02-03-19-34-81,02-03-19-35-32,02-03-19-39-70",-,-,-,Yes,DEFAULT,-,-,-
out/02-03-19-42/log,02-03-19-42-48,,169.254.76.1,1,48,7.893231,1A:AA:97:A0:51:9B,42cd78fe-31d3-439a-a645-cf674d39bd0a,2021-02-04 03:42:42,30,3,59,48,27,2021-02-04 03:43:35,e4d07b34-d5d0-439a-9c09-a49f19307a24,"02-03-19-33-67,02-03-19-34-29,02-03-19-35-90,02-03-19-39-59",-,out/02-03-19-42/bit1_samples48,-,Yes,DEFAULT,1,-,-
out/02-03-19-42/log,02-03-19-42-2,,169.254.76.1,1,2,7.795907,66:57:00:8F:33:DF,68ac371b-a09d-4a24-b8db-53f663911665,2021-02-04 03:42:42,30,3,96,73,44,2021-02-04 03:43:26,a353e6c7-4160-4f71-ad62-de80ab65715a,"02-03-19-33-20,02-03-19-34-36,02-03-19-35-27,02-03-19-39-98",-,-,-,Yes,DEFAULT,-,-,-
out/02-03-19-42/log,02-03-19-42-33,,169.254.76.1,1,33,8.802193,6A:89:8C:24:11:C3,efc5be6c-2f6d-4118-ad52-efe1668b0081,2021-02-04 03:42:42,30,3,96,73,44,2021-02-04 03:43:26,7feb311a-0499-4194-93cb-96cd5470d482,"02-03-19-33-83,02-03-19-34-22,02-03-19-35-9,02-03-19-39-75",-,-,-,Yes,DEFAULT,-,-,-
out/02-03-19-42/log,02-03-19-42-45,,169.254.76.1,1,45,7.697998,EE:FB:4E:B7:11:6A,3d51faeb-78c9-46fe-9af0-bc86b874f52d,2021-02-04 03:42:42,20,1,45,-1,-1,2021-02-04 03:43:16,737f1206-e60b-450f-9264-28192a54251a,"02-03-19-33-91,02-03-19-34-19,02-03-19-35-61,02-03-19-39-91",-,-,-,Yes,DEFAULT,-,-,-
out/02-03-19-42/log,02-03-19-42-29,,169.254.76.1,1,29,7.934674,F6:7F:70:93:9C:48,b2b2f892-66c7-4c9c-a61f-c669281a8d05,2021-02-04 03:42:42,30,3,100,54,29,2021-02-04 03:43:26,08cf7c31-d91c-417b-bb1d-2c9e612ee86c,"02-03-19-33-88,02-03-19-34-71,02-03-19-35-18,02-03-19-39-28",-,-,-,Yes,DEFAULT,-,-,-
out/02-03-19-42/log,02-03-19-42-47,,169.254.76.1,1,47,7.834455,56:73:E3:DE:F8:E3,cae73697-9e0b-459c-bb1c-53373c9cdea8,2021-02-04 03:42:42,30,3,47,17,16,2021-02-04 03:43:35,49c94c1a-3eab-4d71-a359-305248fc300b,"02-03-19-33-15,02-03-19-34-49,02-03-19-35-55,02-03-19-39-16",-,-,out/02-03-19-42/bit0_samples47,Yes,DEFAULT,2,-,-
out/02-03-19-42/log,02-03-19-42-4,,169.254.76.1,1,4,7.876616,36:B7:96:11:58:2C,c6def022-7305-45b4-a673-2eccb1edc147,2021-02-04 03:42:42,30,2,5,4,-1,2021-02-04 03:43:36,5cf34e18-aa8b-4ab6-9839-6a522cdc1a7b,"02-03-19-33-57,02-03-19-34-64,02-03-19-35-50,02-03-19-39-50",-,-,-,Yes,DEFAULT,3,-,-
out/02-03-19-42/log,02-03-19-42-22,,169.254.76.1,1,22,7.802494,8A:CA:23:CD:56:77,8f38c171-ec06-4051-9991-b266316f9aea,2021-02-04 03:42:42,30,2,36,22,-1,2021-02-04 03:43:35,a68fc494-34bc-4707-a3a4-17ac4e15c4a5,02-03-19-39-86,-,out/02-03-19-42/bit1_samples22,-,Yes,DEFAULT,4,-,-
out/02-03-19-42/log,02-03-19-42-60,,169.254.76.1,1,60,8.021667,6A:44:56:68:CA:3B,9163f4cf-b3f7-4248-81ad-0ae6d0fcc92a,2021-02-04 03:42:42,30,3,60,38,13,2021-02-04 03:43:35,d4472e84-a2dd-4db3-845d-2e458c505f5a,"02-03-19-33-58,02-03-19-34-23,02-03-19-35-39,02-03-19-39-45",-,-,out/02-03-19-42/bit0_samples60,Yes,DEFAULT,5,-,-
out/02-03-19-42/log,02-03-19-42-96,,169.254.76.1,1,96,7.834363,0E:E1:1C:8F:BF:7C,ea05f621-1cde-40a0-970f-9be55517d318,2021-02-04 03:42:42,30,3,96,73,44,2021-02-04 03:43:35,91b6075e-0598-4799-9f3b-9128798bd10d,"02-03-19-33-13,02-03-19-34-30,02-03-19-35-58,02-03-19-39-74",-,-,-,Yes,DEFAULT,6,-,-
out/02-03-19-42/log,02-03-19-42-91,,169.254.76.1,1,91,8.319807,EA:AC:8C:C1:0C:C4,37c576c7-fcc0-4e39-bd91-c918da1b1c3a,2021-02-04 03:42:42,20,1,91,-1,-1,2021-02-04 03:43:16,bd2e1b52-402e-48f4-9369-abae744f5a4a,"02-03-19-33-60,02-03-19-34-83,02-03-19-35-33,02-03-19-39-67",-,-,-,Yes,DEFAULT,-,-,-
out/02-03-19-42/log,02-03-19-42-10,,169.254.76.1,1,10,7.793350,4A:6F:AF:C7:46:84,1c78b3f1-328a-4dd9-a978-97c77670b6b3,2021-02-04 03:42:42,20,1,10,-1,-1,2021-02-04 03:43:16,01c4fabe-f497-4d13-8d4c-880f30c7082c,"02-03-19-33-37,02-03-19-34-33,02-03-19-35-78,02-03-19-39-99",-,-,-,Yes,DEFAULT,-,-,-
out/02-03-19-42/log,02-03-19-42-78,,169.254.76.1,1,78,7.792115,76:0D:45:45:9A:3F,7aefce17-1510-43e9-80ae-3bf9842e1665,2021-02-04 03:42:42,20,1,78,-1,-1,2021-02-04 03:43:16,ec076644-324d-4ec6-895b-78f126c3dc6f,"02-03-19-33-62,02-03-19-34-26,02-03-19-35-62,02-03-19-39-96",-,-,-,Yes,DEFAULT,-,-,-
out/02-03-19-42/log,02-03-19-42-68,,169.254.76.1,1,68,7.916886,36:C3:E9:0C:B0:31,e5a4a701-2d7f-405e-9c01-24c5c59d9ef5,2021-02-04 03:42:42,30,3,68,50,40,2021-02-04 03:43:35,e96676ee-36c8-4c9b-be05-505162b5354e,"02-03-19-33-55,02-03-19-34-70,02-03-19-35-80,02-03-19-39-26",-,-,-,Yes,DEFAULT,7,-,-
out/02-03-19-42/log,02-03-19-42-39,,169.254.76.1,1,39,7.902974,46:91:B4:2B:BB:2D,f2415aa4-b8cd-4a6c-895b-4faddd055d88,2021-02-04 03:42:42,30,2,75,39,-1,2021-02-04 03:43:35,327bd122-4f3a-4ed2-85a3-a6e0eb9154ff,"02-03-19-33-72,02-03-19-34-8,02-03-19-35-41,02-03-19-39-10",-,out/02-03-19-42/bit1_samples39,-,Yes,DEFAULT,8,-,-
out/02-03-19-42/log,02-03-19-42-24,,169.254.76.1,1,24,7.941772,E6:95:69:3C:84:E9,7e359f18-9b0e-4940-b040-25a603e385bb,2021-02-04 03:42:42,30,2,24,15,-1,2021-02-04 03:43:35,7bd2606e-f5d6-458f-afb7-12fc2198002e,02-03-19-39-25,-,-,out/02-03-19-42/bit0_samples24,Yes,DEFAULT,9,-,-
out/02-03-19-42/log,02-03-19-42-92,,169.254.76.1,1,92,7.853020,26:38:F0:27:0D:4B,8d7cb7b8-5ea4-4714-9788-71b7996cbe5a,2021-02-04 03:42:42,20,1,92,-1,-1,2021-02-04 03:43:16,bf8b359e-d812-4e36-ab68-47f0ded29e55,"02-03-19-33-28,02-03-19-34-37,02-03-19-35-45,02-03-19-39-54",-,-,-,Yes,DEFAULT,-,-,-
out/02-03-19-42/log,02-03-19-42-51,,169.254.76.1,1,51,7.816813,8E:A3:AF:CC:28:D5,ce0e254f-0426-4c4c-a7b7-33e3cdc0f3dc,2021-02-04 03:42:42,30,2,51,35,-1,2021-02-04 03:43:35,eeba7cc8-0f7f-40e9-bbad-ea0b12fbd0b6,02-03-19-39-65,-,-,-,Yes,DEFAULT,10,-,-
out/02-03-19-42/log,02-03-19-42-88,,169.254.76.1,1,88,7.802174,0E:C1:E1:C4:A9:CF,09eaa166-1f7e-46a3-b71d-d7f768aefca5,2021-02-04 03:42:42,20,1,88,-1,-1,2021-02-04 03:43:16,5c7d5e4e-d417-4a53-ab40-346b26870e8e,"02-03-19-33-9,02-03-19-34-95,02-03-19-35-81,02-03-19-39-24",-,-,-,Yes,DEFAULT,-,-,-
