Logs,Boot ID,MAC Address,Phase 1,Phases,Start Time,End Time,Id,Request ID,Success,Error,Base Sample,Bit Sample
out/09-09-01-47/log,26ee2c2f-4f59-49da-b8c4-26652601995f,6E:2F:F2:FE:97:C5,130,1,2020-09-09 08:47:35,2020-09-09 08:48:13,70,ca7af26e-8144-4865-b3ec-9ff21e9b59c9,1,,-,-
out/09-09-01-47/log,3cdc0e74-cdcd-4570-a928-cff498a02d40,B6:08:08:5A:20:66,10,1,2020-09-09 08:47:35,2020-09-09 08:48:13,10,8522185e-b0dc-4486-8f21-abce00dc04b9,1,,-,-
out/09-09-01-47/log,3ecdf798-7a75-44bf-837a-51d204e4222e,2A:1A:38:DE:6E:F7,62,1,2020-09-09 08:47:35,2020-09-09 08:48:13,47,068262bb-4fed-4e19-a593-21776205ac99,1,,-,-
out/09-09-01-47/log,8f65f149-fe12-4ddc-8461-1e1b4bd70445,7A:A1:EC:42:87:08,26,1,2020-09-09 08:47:35,2020-09-09 08:48:13,8,0726a042-0f24-487b-a74e-5ed2c9bf1ce6,1,,-,-
out/09-09-01-47/log,3dbe36a9-75a6-4a9d-9407-e681e8c950d2,CE:77:02:9B:64:C3,680,1,2020-09-09 08:47:35,2020-09-09 08:48:13,38,9128bf7e-6022-46c5-b20c-d07012b1b9f8,1,,-,-
out/09-09-01-47/log,d5a6f003-074e-4a6f-9b95-465482baeabf,06:0F:8B:31:38:22,518,1,2020-09-09 08:47:35,2020-09-09 08:48:13,5,2a046337-c3ce-49da-ab4c-b38ce2947831,1,,-,-
out/09-09-01-47/log,68fd51af-049e-4591-ad4f-02c7203c3386,72:A1:00:92:1F:46,772,1,2020-09-09 08:47:35,2020-09-09 08:48:13,22,2604619a-7a6f-40d8-9a11-f39af3334347,1,,-,-
out/09-09-01-47/log,66f61db2-807b-4a29-91d1-3158984a1555,82:9F:37:40:F6:66,93,1,2020-09-09 08:47:35,2020-09-09 08:48:13,88,25180cba-4217-4358-9d2d-09c041ceb796,1,,-,-
out/09-09-01-47/log,63d106a2-023f-4309-8390-953ec09a4de4,CA:EE:53:CA:D2:44,228,1,2020-09-09 08:47:35,2020-09-09 08:48:13,85,3a1368ff-de88-4a24-b124-449620285a45,1,,-,-
out/09-09-01-47/log,493c07a6-c499-41fe-874b-20a84489ae42,32:B6:0D:39:D6:30,907,1,2020-09-09 08:47:35,2020-09-09 08:48:13,19,bd81d08f-f31a-4de7-8cda-228e9ce08122,1,,-,-
