Id,Lambda,Phase,Bit,Base Size,Base Mean,Base Std,Size,Mean,Std,KSvalue,Mean Diff
138,0,1,7,990,7720,6520,1000,6677,4785,1.225607972183772,-1043
726,0,0,2,987,7745,17958,993,6707,4781,0.362345855308125,-1038
753,0,2,9,987,7745,17958,973,6747,5629,0.560700100487312,-998
737,0,1,3,987,7745,17958,932,6755,5227,0.407018515011447,-990
1258,0,2,7,958,7602,6850,994,6650,5012,0.442749007772981,-952
1579,0,2,7,983,7512,6201,995,6583,4346,0.333597595370635,-929
139,0,1,8,990,7720,6520,968,6808,4826,0.831197113618787,-912
1700,0,2,8,1000,7634,6597,990,6796,5547,0.379177013295318,-838
921,0,2,0,961,7367,5798,972,6532,4118,0.576307775279641,-835
530,0,1,3,987,7549,7458,944,6726,4999,1.679579816380098,-823
794,0,1,0,1000,7324,6010,1000,6507,4646,0.652059782918714,-817
2193,0,2,9,1000,7587,6356,995,6771,4657,0.954587426120124,-816
1171,0,2,4,942,7473,6407,1000,6660,4764,0.582767417951433,-813
252,0,1,8,1000,7265,6342,993,6457,4408,0.398016311300091,-808
146,0,2,5,990,7720,6520,987,6916,5384,0.955914073324957,-804
1689,0,0,7,1000,7634,6597,975,6832,4709,0.223780698619792,-802
2209,0,1,7,952,7439,5991,952,6641,4913,0.899799131817843,-798
736,0,1,2,987,7745,17958,947,6961,5561,0.61375719370425,-784
1573,0,1,7,983,7512,6201,1000,6741,5101,0.498436513813871,-771
1249,0,1,7,958,7602,6850,1000,6835,5282,0.750368458366607,-767
1869,0,0,5,988,7233,5676,1000,6466,4094,0.602524261844347,-767
150,0,2,9,990,7720,6520,985,6964,5802,1.122574846196179,-756
1597,0,1,5,1000,7600,6716,951,6852,5397,0.590023978822917,-748
751,0,2,7,987,7745,17958,1000,6999,6187,0.567272740717897,-746
748,0,2,4,987,7745,17958,942,7003,6246,0.720368126377346,-742
528,0,1,0,987,7549,7458,1000,6811,5048,1.221979953779222,-738
731,0,0,7,987,7745,17958,1000,7007,5596,0.146497986360037,-738
728,0,0,4,987,7745,17958,967,7009,5870,0.333237043381597,-736
2314,0,1,7,1000,7371,6233,992,6651,4678,0.444231902531445,-720
21,0,2,0,976,7418,6093,990,6701,5272,0.305720267037054,-717
1645,0,1,8,1000,7339,6137,1000,6628,4877,0.357469007223004,-711
1694,0,1,7,1000,7634,6597,980,6935,5147,0.399194686701987,-699
1188,0,1,1,996,7347,6010,1000,6653,5029,0.64309987233828,-694
