GUID,Success,Id,Boot ID,End Time,Request ID,Start Time,Phases,Phase 1,Phase 2,Phase 3,Logs,Base Sample,Predecessors,Bit-1 Sample,Bit-0 Sample,Bit-1 Pvalue,Error,Bit-0 Pvalue,MAC Address,Warm Start,Account
10-08-23-03-52,1,52,d2732174-c5ca-4500-a0de-f9cfe1beed5f,2020-10-09 06:05:32,cbbb5fee-4723-4a66-a60b-17a8b87c3e80,2020-10-09 06:03:34,3,710,710,710,out/10-08-23-03/log,out/10-08-23-03/base_samples52,,out/10-08-23-03/bit1_samples52,out/10-08-23-03/bit0_samples52,7.27499595610749,,0.495446663758373,DE:B3:7A:03:0B:7E,No,017371402075
10-08-23-03-374,1,374,4b16d2af-1237-4456-9957-f2aa21b1502b,2020-10-09 06:05:32,ff03321f-7549-41c4-a796-f76423c7902f,2020-10-09 06:03:40,3,622,622,622,out/10-08-23-03/log,out/10-08-23-03/base_samples374,,out/10-08-23-03/bit1_samples374,out/10-08-23-03/bit0_samples374,7.81656414629355,,0.983532431819375,DA:58:FD:B7:77:E8,No,017371402075
10-08-23-03-994,1,994,a8fce778-2ad7-43c9-a0ac-264de7d4a0b1,2020-10-09 06:05:32,3b90bd3a-04b8-427d-a3e2-f6a0f5896f15,2020-10-09 06:03:57,3,994,994,994,out/10-08-23-03/log,out/10-08-23-03/base_samples994,,out/10-08-23-03/bit1_samples994,out/10-08-23-03/bit0_samples994,0,,0.232677063519601,56:8B:FC:B6:61:96,No,017371402075
10-08-23-03-297,1,297,7a396930-e235-4122-a3f2-03401c51fc1a,2020-10-09 06:05:32,d454672a-d6a5-4c53-a7b1-c98f4ec78ef2,2020-10-09 06:03:40,3,972,972,972,out/10-08-23-03/log,out/10-08-23-03/base_samples297,,out/10-08-23-03/bit1_samples297,out/10-08-23-03/bit0_samples297,8.62370641047489,,0.532601553044459,E2:0F:3C:06:31:F9,No,017371402075
10-08-23-03-854,1,854,0ffa667d-ace3-42e8-abda-4a460c5d7dc6,2020-10-09 06:05:32,fb16e50b-faed-4543-a5e6-d4563e1a29ef,2020-10-09 06:03:50,3,987,987,987,out/10-08-23-03/log,out/10-08-23-03/base_samples854,,out/10-08-23-03/bit1_samples854,out/10-08-23-03/bit0_samples854,6.27464624848375,,0.284465625107115,EA:C3:F9:C8:B9:B0,No,017371402075
10-08-23-03-837,1,837,514b960b-e208-46eb-9895-92f3ffb04dc0,2020-10-09 06:05:32,4324da75-7ac9-4f73-89ed-c6b3b6bd830a,2020-10-09 06:03:45,3,877,877,877,out/10-08-23-03/log,out/10-08-23-03/base_samples837,,out/10-08-23-03/bit1_samples837,out/10-08-23-03/bit0_samples837,6.20380286265284,,0.375133944245252,06:07:4F:F6:61:6E,No,017371402075
10-08-23-03-343,1,343,5e77c93b-5f2e-404f-8036-20ebea385135,2020-10-09 06:05:32,d67a3a05-4269-446a-9aea-8168b3c1b971,2020-10-09 06:03:34,3,900,900,900,out/10-08-23-03/log,out/10-08-23-03/base_samples343,,out/10-08-23-03/bit1_samples343,out/10-08-23-03/bit0_samples343,8.87819401983423,,0.675570324408041,DA:4C:C8:D2:FD:9D,No,017371402075
10-08-23-03-827,1,827,c7a6aa9b-bffd-404e-b142-44691ca6dc2f,2020-10-09 06:05:32,8664cf88-6ace-4751-b1a5-f30379a77dcb,2020-10-09 06:03:45,3,951,951,951,out/10-08-23-03/log,out/10-08-23-03/base_samples827,,out/10-08-23-03/bit1_samples827,out/10-08-23-03/bit0_samples827,6.12274656599232,,0.613709496930284,72:C3:FC:5C:40:39,No,017371402075
10-08-23-03-755,1,755,39aa47de-d244-48ef-9a39-d3b74ace3b17,2020-10-09 06:05:32,13ca24bc-c854-44fe-bc62-3658fd8bbc00,2020-10-09 06:03:50,3,986,986,986,out/10-08-23-03/log,out/10-08-23-03/base_samples755,,out/10-08-23-03/bit1_samples755,out/10-08-23-03/bit0_samples755,7.70927361885421,,0.371697824971227,0A:6E:3C:69:7D:D9,No,017371402075
10-08-23-03-929,1,929,5fc989ba-38dd-4b31-bc36-13cd0c624aad,2020-10-09 06:05:32,b946dc20-df77-436c-986b-b7fd62a35c9f,2020-10-09 06:03:48,3,929,929,929,out/10-08-23-03/log,out/10-08-23-03/base_samples929,,out/10-08-23-03/bit1_samples929,out/10-08-23-03/bit0_samples929,0,,0.0722870286776652,22:B3:C2:64:D0:8B,No,017371402075
