Logs,Boot ID,MAC Address,Phase 3,Phase 2,Phase 5,Phase 1,Phases,Start Time,Phase 4,End Time,Id,Request ID,Success,Error,Base Sample,Bit Sample
out/08-20-14-08/log,310160eb-bccd-497b-95d4-689dae9fb69e,0E:E4:F0:60:8C:E9,63,63,63,63,5,2020-08-20 21:08:40,63,2020-08-20 21:10:30,63,65c64879-4a4f-4ef1-9117-9e2853968f88,1,,-,-
out/08-20-14-08/log,e61ec15f-192c-4b9d-b6ca-eaabe7382e31,76:4D:46:41:8E:75,684,724,765,765,5,2020-08-20 21:08:45,725,2020-08-20 21:10:30,653,8ab7349d-5fa5-4de9-9488-c4c0fa6c55cc,1,,-,-
out/08-20-14-08/log,117ef264-c179-4313-a031-75fe893b9f9d,16:C1:10:14:13:DB,448,448,635,448,5,2020-08-20 21:08:53,555,2020-08-20 21:10:29,448,80b9abdc-b252-49b5-aa51-4c5992127baa,1,,-,-
out/08-20-14-08/log,948fd808-505f-4c80-ae44-a3f8fdbe8b78,AE:84:AA:AF:88:1F,1010,1014,482,949,5,2020-08-20 21:08:58,966,2020-08-20 21:10:29,406,c8cbf3be-15eb-432e-8a26-88e847a59e7d,1,,-,-
out/08-20-14-08/log,80d8f3ad-bee4-4fb8-b74a-899204cc9626,76:F5:58:1B:E0:3A,320,482,218,458,5,2020-08-20 21:08:40,210,2020-08-20 21:10:29,210,c2b06ffc-9581-47ef-9de0-be00b9d458a9,1,,-,-
out/08-20-14-08/log,b8018791-45bd-4ac8-9460-0ce26cc65a43,06:20:24:01:93:59,891,891,891,891,5,2020-08-20 21:09:10,891,2020-08-20 21:10:30,891,42f9f590-81ea-42b4-8c9d-aa0aee0db424,1,,-,-
out/08-20-14-08/log,00cbdbc3-afa1-4f5b-b9cc-41053f0fa141,C6:1A:E4:F2:F3:19,705,705,705,705,5,2020-08-20 21:09:08,705,2020-08-20 21:10:30,705,e5d1f2b9-4d67-4a24-90a0-4ba3afea4e03,1,,-,-
out/08-20-14-08/log,833696e6-35ea-4e7e-9c65-ba63f5e2cf19,62:39:1A:05:CA:64,914,985,856,920,5,2020-08-20 21:08:40,473,2020-08-20 21:10:29,360,a471372a-ee5d-41ab-aa92-bbe675b1d78b,1,,-,-
out/08-20-14-08/log,05cd7627-e1df-4937-82fa-1b5da055dde9,A6:23:0A:FE:C7:9A,936,1018,995,938,5,2020-08-20 21:08:43,970,2020-08-20 21:10:29,936,6ddeda5e-7fcb-4ee9-88a6-108658287530,1,,-,-
out/08-20-14-08/log,cfd581ab-9826-4afa-9fce-5d2fbcd9bdb3,66:A7:56:EB:C3:7F,505,1017,1017,1016,5,2020-08-20 21:08:40,473,2020-08-20 21:10:29,284,1b86080c-20cc-463b-831b-aaf4121d9369,1,,-,-
